target_name,fold_id,solver_name,convergence_info_code,converged,iterations,maxiter,requested_tolerance,achieved_absolute_residual,achieved_relative_residual,rhs_norm,solution_norm,maximum_absolute_solution_entry,riesz_ridge,scaling_value,cached_scale,elapsed_seconds,contains_nonfinite
asinh_permits_mean,0,scipy.sparse.linalg.cg,600,False,600,600,1e-05,0.0002466264284458272,0.017443075245204945,0.01413893049126324,16.681949751840374,0.27858581202332394,1e-06,326.088375731865,False,1.8370860000140965,False
asinh_permits_mean,1,scipy.sparse.linalg.cg,600,False,600,600,1e-05,0.0012679557250032353,0.08967840498659352,0.01413891923248176,16.72559502510886,0.2752903851485731,1e-06,326.871064240943,False,1.8833655000198632,False
asinh_permits_mean,2,scipy.sparse.linalg.cg,600,False,600,600,1e-05,0.0013811845149066858,0.09768658087405238,0.01413893804602959,16.892053760593768,0.277452647345581,1e-06,328.25815140046734,False,1.835579500067979,False
asinh_permits_mean,3,scipy.sparse.linalg.cg,600,False,600,600,1e-05,9.585658162262483e-05,0.006779619815063054,0.014138931715558642,17.033999717952334,0.28552113946179497,1e-06,327.0734940832924,False,1.8070074999704957,False
asinh_permits_mean,4,scipy.sparse.linalg.cg,600,False,600,600,1e-05,0.003670960896217243,0.25963493103468455,0.014138933007157038,16.86868173437607,0.2891465646395303,1e-06,325.5010769610109,False,1.804526700056158,False
asinh_permits_mean,5,scipy.sparse.linalg.cg,600,False,600,600,1e-05,4.0706436956510904e-05,0.0028790301106422405,0.014138941029494931,16.86824251733503,0.2889800395666162,1e-06,325.31729698282555,False,1.6816431999905035,False
asinh_permits_mean,6,scipy.sparse.linalg.cg,600,False,600,600,1e-05,0.0007411193077503118,0.052416917637877834,0.014138933404484655,16.832637187163122,0.28298922427252626,1e-06,328.5576596339366,False,0.42838850000407547,False
asinh_permits_mean,7,scipy.sparse.linalg.cg,600,False,600,600,1e-05,0.0010154328471151397,0.07181819927652891,0.014138934940506031,17.34591542475007,0.28279818244580046,1e-06,324.6034655323311,False,0.4421426000772044,False
asinh_permits_mean,8,scipy.sparse.linalg.cg,600,False,600,600,1e-05,2.5218194595601455e-05,0.0017835999504563723,0.014138929858766164,16.86467178677024,0.2836287640563159,1e-06,326.47978976157435,False,0.43110779998824,False
asinh_permits_mean,9,scipy.sparse.linalg.cg,600,False,600,600,1e-05,0.0003374601654434794,0.023867453510158912,0.014138926270447882,16.651253343460912,0.28342286642899006,1e-06,325.61558496402034,False,0.4462686999468133,False
