start_date,end_date,T_months,N_complete_msas,NT,NT_over_N_plus_T,number_excluded_for_ZHVI,number_excluded_for_permits_SA,number_excluded_for_employment_SA,number_excluded_for_geographic_ambiguity,number_containing_preliminary_BLS_observations,number_affected_by_X13_warnings,complete_cbsa_codes
2005-06-01,2026-06-01,253,113,28589,78.1120218579235,78,25,0,679,113,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-07-01,2026-06-01,252,116,29232,79.43478260869566,75,25,0,679,116,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-08-01,2026-06-01,251,118,29618,80.26558265582656,73,25,0,679,118,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-09-01,2026-06-01,250,120,30000,81.08108108108108,71,25,0,679,120,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-10-01,2026-06-01,249,121,30129,81.42972972972973,69,25,0,679,121,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-12-01,2026-06-01,247,122,30134,81.6639566395664,68,25,0,679,122,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-07-01,2026-06-01,240,123,29520,81.32231404958678,67,25,0,679,123,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-08-01,2026-06-01,239,125,29875,82.07417582417582,65,25,0,679,125,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-09-01,2026-06-01,238,126,29988,82.38461538461539,64,25,0,679,126,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-11-01,2026-06-01,236,127,29972,82.56749311294766,63,25,0,679,127,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2007-07-01,2026-06-01,228,128,29184,81.97752808988764,62,25,0,679,128,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2007-08-01,2026-06-01,227,129,29283,82.25561797752809,60,25,0,679,129,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2007-12-01,2026-06-01,223,130,28990,82.12464589235128,59,25,0,679,130,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-02-01,2026-06-01,221,131,28951,82.2471590909091,57,25,0,679,131,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;24780;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2008-03-01,2026-06-01,220,133,29260,82.88951841359773,54,25,0,679,133,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;24580;24780;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;34060;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43100;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
