scope,variable,count,number_of_msas,number_of_months,mean,standard_deviation,minimum,p1,p5,p10,p25,median,p75,p90,p95,p99,maximum,zero_count,missing_count
all_vintage:pareto_31_200901_210m_160n,permits units SA,33600,160,210,101151.74551708483,101019.33931539566,-90.125404575521,-0.05776118343846037,6.1006517417142145,14.60804246967629,60.69361460498845,102503.47608268443,202202.0,202409.1,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_31_200901_210m_160n,employment thousands SA,33600,160,210,155.37381845238096,167.23885595418335,18.8,30.2,38.8,48.1,60.4,96.7,178.525,340.3,437.9,1043.9070000000015,1221.9,0,0
all_vintage:pareto_32_200902_209m_162n,ZHVI all-homes SA,33858,162,209,214086.7799493077,109410.09465937687,49348.99715611694,79609.34647435139,102333.39213779598,115589.4803019246,140265.31235400136,183162.98048723518,253491.34848210588,355245.52280392655,432351.0737396421,608287.8832280848,870668.4947126737,0,0
all_vintage:pareto_32_200902_209m_162n,permits units SA,33858,162,209,100669.87220946675,101021.10497670597,-90.125404575521,-0.11648597234838609,5.770462142867034,14.032221609442804,58.91243975259855,1284.792430034355,202202.0,202410.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_32_200902_209m_162n,employment thousands SA,33858,162,209,154.1671244609841,166.63065344308828,18.8,30.300000000000004,38.9,48.1,59.9,95.5,177.9,339.6,436.1,1035.4750000000008,1221.9,0,0
all_vintage:pareto_33_200903_208m_163n,ZHVI all-homes SA,33904,163,208,214247.4218359677,109270.87055959263,49348.99715611694,79647.34770916987,102597.29976233811,115740.57739642568,140582.85943786445,183491.1635544354,253766.19450074795,355138.7687394592,432256.18309976225,608001.3870985119,870668.4947126737,0,0
all_vintage:pareto_33_200903_208m_163n,permits units SA,33904,163,208,101153.01513476745,101022.46823816455,-90.125404575521,-0.09982602191820593,5.893002436853533,14.110725335835639,58.97258439252273,102503.97608268443,202202.25,202410.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_33_200903_208m_163n,employment thousands SA,33904,163,208,153.63865620575743,166.3350478603003,18.8,30.3,39.0,48.2,59.9,94.8,177.6,339.0,435.58499999999987,1032.7850000000005,1221.9,0,0
all_vintage:pareto_34_200907_204m_165n,ZHVI all-homes SA,33660,165,204,215080.96321702396,109456.87653425676,49348.99715611694,79803.35559515083,103043.60519371781,116188.19286096623,140991.8926582947,184831.28197742614,254962.8621601653,356232.1008678447,432895.1830625707,608846.1032546478,870668.4947126737,0,0
all_vintage:pareto_34_200907_204m_165n,permits units SA,33660,165,204,101157.7422656998,101026.80762887593,-90.125404575521,-0.08994192280133145,6.1006517417142145,14.41296216288702,60.71066053261102,102548.97608268443,202203.25,202410.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_34_200907_204m_165n,employment thousands SA,33660,165,204,152.75148841354724,165.8843174345093,19.1,30.4,39.19500000000001,48.5,59.8,92.65,177.0,338.1,434.70499999999987,1032.122999999999,1221.9,0,0
all_vintage:pareto_35_200909_202m_166n,ZHVI all-homes SA,33532,166,202,215802.50321106508,109516.4226664449,49348.99715611694,79920.73415587658,103206.75747390802,116421.48552189248,141587.6942875942,186013.32620384803,255936.14418558244,356574.24595336645,433147.7679555989,609273.4306412983,870668.4947126737,0,0
all_vintage:pareto_35_200909_202m_166n,permits units SA,33532,166,202,101159.55237104239,101028.78103047304,-90.125404575521,-0.08267565619270817,6.239406340294357,14.588641008049802,60.6485483972502,102549.47608268443,202204.0,202410.0,202508.0,202604.0,202606.0,0,0
all_vintage:pareto_35_200909_202m_166n,employment thousands SA,33532,166,202,152.3611326494095,165.65887135673262,19.1,30.431,39.2,48.6,59.9,91.5,176.8,336.7,434.2,1031.6280000000029,1221.9,0,0
all_vintage:pareto_36_200911_200m_167n,ZHVI all-homes SA,33400,167,200,216271.4663408579,109506.5734728436,49348.99715611694,80252.42463166063,103459.7572319241,116655.49901338894,142148.6697812517,186539.62609122333,256569.30342645687,356758.57260721363,433552.8624044324,609631.790680096,870668.4947126737,0,0
all_vintage:pareto_36_200911_200m_167n,permits units SA,33400,167,200,101161.23622951473,101030.94666131896,-90.125404575521,-0.10039305238371964,6.168709196226735,14.257417144489072,60.12279421798955,102549.97608268443,202204.25,202410.1,202508.05000000002,202604.01,202606.0,0,0
all_vintage:pareto_36_200911_200m_167n,employment thousands SA,33400,167,200,151.86826946107786,165.50561517154705,19.2,30.5,39.3,48.3,59.7,90.6,176.4,336.1,433.50499999999994,1030.8120000000024,1221.9,0,0
all_vintage:pareto_37_200912_199m_168n,ZHVI all-homes SA,33432,168,199,217607.6542830026,110491.014855012,49348.99715611694,80474.1254618553,103642.45728290401,116859.14844212135,142500.24907530777,187427.37106034296,258811.08519379993,360078.7474531046,437219.6275228377,609558.9469975444,870668.4947126737,0,0
all_vintage:pareto_37_200912_199m_168n,permits units SA,33432,168,199,100655.17780495698,101031.94263345594,-90.125404575521,-0.14109540521854266,6.02012706497651,14.026671729615003,58.96482656607045,1266.6362818643502,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
all_vintage:pareto_37_200912_199m_168n,employment thousands SA,33432,168,199,151.27894831299352,165.30485191155992,19.2,30.5,39.2,47.7,59.4,90.0,176.0,334.1700000000004,432.6,1030.0800000000047,1221.9,0,0
all_vintage:pareto_38_201001_198m_169n,ZHVI all-homes SA,33462,169,198,217161.02699390103,110729.52596186654,49348.99715611694,80261.7555254128,101890.37892061131,116058.20236150242,141976.57914225932,187069.55778695934,258697.99930615982,360002.72410200036,436948.74555748113,609490.9914810779,870668.4947126737,0,0
all_vintage:pareto_38_201001_198m_169n,permits units SA,33462,169,198,101162.6342946476,101033.45648388573,-90.125404575521,-0.1597655986490092,5.642483975568641,13.762008253663499,58.94647176538756,102550.47608268443,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
all_vintage:pareto_38_201001_198m_169n,employment thousands SA,33462,169,198,150.74928575697805,165.07271952891475,19.2,30.5,39.2,47.6,59.1,89.6,175.6,332.1800000000003,431.7949999999997,1026.686999999998,1221.9,0,0
all_vintage:pareto_39_201002_197m_170n,ZHVI all-homes SA,33490,170,197,217204.6819080091,110647.40922820181,49348.99715611694,80308.44823068628,102100.88363224056,116237.38946690944,141957.9288262133,187145.60184499423,258571.58753941904,359826.4173728384,436932.57562583056,609427.5663323766,870668.4947126737,0,0
all_vintage:pareto_39_201002_197m_170n,permits units SA,33490,170,197,100651.58455208593,101034.32093652121,-90.125404575521,-0.1623498337481251,5.647816974587752,13.76197170830273,58.206094392770176,1260.891278030645,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
all_vintage:pareto_39_201002_197m_170n,employment thousands SA,33490,170,197,150.22679605852494,164.84203607838467,19.2,30.589,39.2,47.6,58.9,89.1,175.1,331.0,431.4,1025.133,1221.9,0,0
all_vintage:pareto_40_201008_191m_171n,ZHVI all-homes SA,32661,171,191,219061.37202848215,111263.52441007695,49348.99715611694,80862.15140325594,102956.81624858432,116873.76387407347,143155.64648810826,188925.4419520298,260436.79598872477,362742.1316585785,439819.48482010723,611370.9212934207,870668.4947126737,0,0
all_vintage:pareto_40_201008_191m_171n,permits units SA,32661,171,191,100641.76243049814,101040.3375465044,-90.125404575521,-0.08235644385933613,5.92404541498116,13.9155188336459,58.0809502451614,1248.42476776285,202207.0,202411.0,202509.0,202605.0,202606.0,0,0
all_vintage:pareto_40_201008_191m_171n,employment thousands SA,32661,171,191,149.9661614769909,165.04562348343828,19.2,30.7,38.5,47.3,58.7,88.8,175.0,331.0,431.4,1029.500000000003,1221.9,0,0
all_vintage:pareto_41_201009_190m_172n,ZHVI all-homes SA,32680,172,190,219457.81018889768,111130.4108530873,49348.99715611694,81014.9034200637,103154.58157400192,117104.56311988788,143563.98604056842,189769.55152767105,261027.68070008353,362628.55721081217,439790.995112979,611341.3356784596,870668.4947126737,0,0
all_vintage:pareto_41_201009_190m_172n,permits units SA,32680,172,190,101170.59537320375,101041.89351046857,-90.125404575521,-0.06939858708945698,6.095570092548985,13.95214547666893,58.218231027153074,102552.47608268443,202207.0,202411.09999999998,202509.0,202605.0,202606.0,0,0
all_vintage:pareto_41_201009_190m_172n,employment thousands SA,32680,172,190,149.3946358629131,164.85346372171114,19.2,30.7,38.4,46.8,58.5,88.15,174.3,330.11000000000024,431.0,1026.0929999999971,1221.9,0,0
all_vintage:pareto_42_201104_183m_173n,ZHVI all-homes SA,31659,173,183,221519.67647327253,111938.14622008777,49348.99715611694,81769.3185199328,103552.53215596391,117674.09782689014,144826.3297019704,192311.99189087775,263929.0450499464,366196.9235222897,443184.8196686758,614118.6162258437,870668.4947126737,0,0
all_vintage:pareto_42_201104_183m_173n,permits units SA,31659,173,183,100627.41838000999,101049.05674220124,-90.125404575521,-0.058370692717570255,6.287832416504669,14.106504484179261,57.46132932732975,1235.4704504508,202209.0,202412.0,202509.0,202605.0,202606.0,0,0
all_vintage:pareto_42_201104_183m_173n,employment thousands SA,31659,173,183,149.29173062952086,165.08759066222657,19.2,30.758,38.6,46.8,58.4,87.8,174.3,330.2200000000001,431.10999999999984,1031.3039999999978,1221.9,0,0
all_vintage:pareto_43_201105_182m_174n,ZHVI all-homes SA,31668,174,182,221446.92554350526,111917.86174539497,49348.99715611694,81987.3190442216,103709.33793889332,117791.19751076598,144738.5739815547,192107.18516460643,263802.38522638613,366090.6812436399,443173.0262854736,614051.211232428,870668.4947126737,0,0
all_vintage:pareto_43_201105_182m_174n,permits units SA,31668,174,182,101179.46619292701,101050.69563741739,-90.125404575521,-0.057139687703779425,6.4005293799482725,14.301511202985582,57.757753968330526,102554.47608268443,202209.0,202412.0,202509.0,202605.0,202606.0,0,0
all_vintage:pareto_43_201105_182m_174n,employment thousands SA,31668,174,182,149.02555260831124,164.74520496770725,19.2,30.799999999999997,38.6,46.9,58.5,88.4,173.7,329.3599999999999,430.19999999999993,1030.7329999999997,1221.9,0,0
all_vintage:pareto_44_201201_174m_175n,ZHVI all-homes SA,30450,175,174,224501.484984246,112659.00091154662,49348.99715611694,83023.37164428429,105259.02664241064,120169.63876869773,147241.77331761768,195567.52830514492,267616.86178301915,370974.807089843,448293.5094262479,619832.7072277754,870668.4947126737,0,0
all_vintage:pareto_44_201201_174m_175n,permits units SA,30450,175,174,101187.87708470854,101058.3797811865,-90.125404575521,-0.03697006093885005,6.527823176863294,14.346049429741681,57.94193453278798,102600.47608268443,202211.0,202501.0,202510.0,202605.0,202606.0,0,0
all_vintage:pareto_44_201201_174m_175n,employment thousands SA,30450,175,174,149.0911592775041,164.9927539284602,19.2,30.849,38.7,47.0,58.7,88.1,173.7,330.0100000000002,431.0,1033.6159999999975,1221.9,0,0
all_vintage:pareto_45_201202_173m_176n,ZHVI all-homes SA,30448,176,173,225067.7398896633,112603.10460419921,49858.91078157383,83334.96671482403,105506.1409446388,120589.22096324003,147689.89558375924,196294.35847323752,268574.84301754204,371214.8662374929,448298.81794081035,619834.2163929231,870668.4947126737,0,0
all_vintage:pareto_45_201202_173m_176n,permits units SA,30448,176,173,100605.40616554643,101058.96306992712,-90.125404575521,-0.037084434837816135,6.509141461942463,14.251152313830111,56.720767427520244,1213.94241347927,202211.0,202501.0,202510.0,202605.0,202606.0,0,0
all_vintage:pareto_45_201202_173m_176n,employment thousands SA,30448,176,173,148.61837887545983,164.75106013553963,19.2,30.9,38.8,47.1,58.5,87.6,173.2,329.12999999999994,430.1,1032.5649999999994,1221.9,0,0
all_vintage:pareto_46_201206_169m_177n,ZHVI all-homes SA,29913,177,169,226535.13262099912,112862.00878194814,53935.16819948612,83884.95223862524,106244.61812693559,121821.10680483836,149146.52436659313,197538.64317351254,270537.69362966745,373774.3171822425,449483.9111842129,620947.3376914994,870668.4947126737,0,0
all_vintage:pareto_46_201206_169m_177n,permits units SA,29913,177,169,100595.65730587162,101062.96940900077,-90.125404575521,0.017573219301843565,6.7020304388452665,14.473472169068362,56.4607024059012,1207.32997334936,202212.0,202502.0,202510.0,202605.0,202606.0,0,0
all_vintage:pareto_46_201206_169m_177n,employment thousands SA,29913,177,169,148.3939257179153,164.69565770200722,19.2,31.012,38.8,47.10000000000001,58.6,87.3,172.9,329.0799999999999,430.0399999999998,1034.2080000000017,1221.9,0,0
all_vintage:pareto_47_201209_166m_178n,ZHVI all-homes SA,29548,178,166,227575.12911987424,113033.86186090183,55844.545029282446,84908.28579557734,107145.21114734511,122854.88235563022,150099.77522056527,198575.39647154498,271680.6328156291,375379.812607059,450764.5958090137,622054.3571424823,870668.4947126737,0,0
all_vintage:pareto_47_201209_166m_178n,permits units SA,29548,178,166,101195.80898490366,101066.82174380572,-90.125404575521,0.06915479542844703,6.6898416376728225,14.46303844025434,56.87478998196775,102602.47608268443,202301.0,202502.0,202510.0,202605.0,202606.0,0,0
all_vintage:pareto_47_201209_166m_178n,employment thousands SA,29548,178,166,148.0047448219846,164.636461758584,19.2,31.2,38.9,46.7,58.5,87.0,172.6,328.62999999999994,429.9299999999996,1035.7249999999972,1221.9,0,0
all_vintage:pareto_48_201401_150m_189n,ZHVI all-homes SA,28350,189,150,237077.86425686962,118733.15543758884,67804.82631024103,89492.35149384574,110705.48087713387,127596.80307929304,156551.7643687259,206525.89955420623,281653.3445905026,390801.48382917466,470524.81412431295,679290.0190553048,893691.3277472038,0,0
all_vintage:pareto_48_201401_150m_189n,permits units SA,28350,189,150,101211.72882133807,101084.6834701997,-90.125404575521,0.400209283656905,7.39486407845457,14.69809514967655,56.197030092003004,102650.47608268443,202305.0,202503.1,202511.0,202605.0,202606.0,0,0
all_vintage:pareto_48_201401_150m_189n,employment thousands SA,28350,189,150,145.20967195767196,164.1465403411973,19.2,27.8,37.14500000000001,43.0,56.7,83.8,170.9,330.61000000000024,435.6,1031.411999999998,1221.9,0,0
all_vintage:pareto_49_201404_147m_190n,ZHVI all-homes SA,27930,190,147,238578.480488667,118877.44280177851,69308.24910349563,90435.30970048788,111777.90680506683,128718.30115123249,157841.00291943504,208087.68695768033,283385.63077802985,392229.92216282344,471882.05924051284,680410.5280024572,893691.3277472038,0,0
all_vintage:pareto_49_201404_147m_190n,permits units SA,27930,190,147,100528.07099514178,101086.3052171693,-90.125404575521,0.5823702019127537,7.539610229452469,14.799178897835962,55.413613479190204,1159.10345761155,202306.0,202504.0,202511.0,202605.0,202606.0,0,0
all_vintage:pareto_49_201404_147m_190n,employment thousands SA,27930,190,147,144.90749373433584,164.05347044531888,19.2,27.829,37.2,43.1,56.5,83.5,170.6,329.81000000000023,435.1549999999999,1032.2129999999997,1221.9,0,0
all_vintage:pareto_50_201409_142m_191n,ZHVI all-homes SA,27122,191,142,240963.33880812826,119328.84485503632,73789.37512106508,91518.45076080578,112884.93885132103,130485.46381361448,159833.60595524558,210361.24854432145,285439.9260362177,394735.03573301045,474228.0181974948,684744.1444477299,893691.3277472038,0,0
all_vintage:pareto_50_201409_142m_191n,permits units SA,27122,191,142,101220.17263487838,101092.59240780362,-90.125404575521,0.8112412542057021,7.99413296744148,15.237477230918012,56.163309884699004,102652.47608268443,202307.0,202504.0,202511.0,202605.0,202606.0,0,0
all_vintage:pareto_50_201409_142m_191n,employment thousands SA,27122,191,142,144.6958373276307,164.09302500541256,19.2,27.9,37.2,43.2,56.2,83.2,170.5,328.89000000000016,434.9,1036.3750000000023,1221.9,0,0
all_vintage:pareto_51_201601_126m_192n,ZHVI all-homes SA,24192,192,126,249382.7494464221,121579.44085706722,76816.6438767935,95523.34019372448,116364.52227758747,135730.9217153546,166437.3021816596,218460.2202371587,294869.7739067947,404306.53829864494,490749.49682305736,695495.8371086639,893691.3277472038,0,0
all_vintage:pareto_51_201601_126m_192n,permits units SA,24192,192,126,101237.01607869366,101109.76361054814,-78.5609617717921,0.962993879980108,8.421236747885546,15.56063506077426,56.49356689717255,102700.47608268443,202311.0,202506.0,202512.0,202605.0,202606.0,0,0
all_vintage:pareto_51_201601_126m_192n,employment thousands SA,24192,192,126,144.88022900132276,164.84835753227662,19.2,26.1,36.655,42.6,56.1,83.2,170.8,329.19000000000017,435.0450000000001,1059.7540000000001,1221.9,0,0
all_vintage:pareto_52_201602_125m_194n,ZHVI all-homes SA,24250,194,125,249632.35307464912,121213.4191337879,76816.6438767935,95789.99384669955,116927.11947956451,136269.45858214857,167054.79597138305,218798.09537086816,294608.1984089582,403953.353587672,489978.04036733153,695411.8951748594,893691.3277472038,0,0
all_vintage:pareto_52_201602_125m_194n,permits units SA,24250,194,125,100430.09114817722,101108.44994131161,-78.5609617717921,0.967589251191951,8.430070214316782,15.58614049921775,56.550338075743724,1122.05635120214,202311.0,202506.0,202512.0,202605.0,202606.0,0,0
all_vintage:pareto_52_201602_125m_194n,employment thousands SA,24250,194,125,144.34007422680412,164.17022026085738,19.2,26.149,36.7,42.8,56.3,83.2,169.4,327.4,434.3,1058.031999999995,1221.9,0,0
all_vintage:pareto_53_201801_102m_195n,ZHVI all-homes SA,19890,195,102,264782.5993521044,124282.83925290016,79317.3508097806,103054.0941437864,127671.63478653008,146153.50093900593,179162.6445994619,232541.31489548628,314610.1600125467,419581.602395192,514125.3796385933,736516.1343589958,893691.3277472038,0,0
all_vintage:pareto_53_201801_102m_195n,permits units SA,19890,195,102,101261.17411892602,101136.15340474446,-78.5609617717921,2.4587569915639547,9.628337283248147,16.78680395451018,57.824762595664374,102368.24465579538,202405.0,202508.0,202601.0,202605.0,202606.0,0,0
all_vintage:pareto_53_201801_102m_195n,employment thousands SA,19890,195,102,144.78830568124684,165.03478783465874,19.2,25.6,36.7,42.8,56.1,83.2,169.775,329.1,435.0,1038.407000000008,1221.9,0,0
all_vintage:pareto_54_201904_87m_196n,ZHVI all-homes SA,17052,196,87,276515.89167779253,126276.24654755628,86255.88988322286,108859.39758819889,137223.56823921687,154589.5586987487,191210.60351298278,243819.5886387116,330720.9792268979,433243.2458278412,536214.2855729032,757003.7374897778,893691.3277472038,0,0
all_vintage:pareto_54_201904_87m_196n,permits units SA,17052,196,87,100114.67004202938,101148.5332897874,-78.5609617717921,2.348636080886747,9.463779195243148,16.539406753511035,55.659588064877525,911.6994556495745,202409.0,202510.0,202602.0,202606.0,202606.0,0,0
all_vintage:pareto_54_201904_87m_196n,employment thousands SA,17052,196,87,145.3048557353976,165.09819484653303,19.2,25.351,36.6,42.8,56.2,83.7,171.525,329.2,435.38999999999976,1016.1140000000458,1221.9,0,0
all_vintage:start_2004,ZHVI all-homes SA,26460,98,270,214545.14760028478,112706.27429920538,70773.62398823531,84187.94328400063,104373.12401285187,114534.73375581409,136704.30774196313,182800.90726148442,254462.52382958744,365634.964845175,438766.0516378496,622354.5687812195,870668.4947126737,0,0
all_vintage:start_2004,permits units SA,26460,98,270,101094.42434571606,100952.10620929186,-90.125404575521,-0.08228537056677623,4.840906354946867,13.826959373673379,70.1277262576963,102400.47608268443,202011.0,202403.09999999998,202505.0,202604.0,202606.0,0,0
all_vintage:start_2004,employment thousands SA,26460,98,270,184.40889266817837,188.44650107656983,27.3,32.8,39.6,53.6,67.1,126.7,213.3,378.6,519.3,1159.346,1221.9,0,0
all_vintage:start_2005,ZHVI all-homes SA,27864,108,258,216287.2349668554,113682.68998156098,70773.62398823531,85776.62756313609,104903.88591974952,114601.6870225141,137517.89350811995,184803.45790425193,256897.2654694664,369156.40519131836,438605.9955780271,638329.6668089139,870668.4947126737,0,0
all_vintage:start_2005,permits units SA,27864,108,258,101106.77613663048,100964.64980832001,-90.125404575521,-0.08923591572155537,4.694965077944632,13.32337603118551,68.56347154593607,102403.47608268443,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
all_vintage:start_2005,employment thousands SA,27864,108,258,179.8912539477462,188.68258313444343,27.3,33.3,40.0,51.0,62.5,116.2,202.9,380.2400000000001,536.0,1144.974,1221.9,0,0
all_vintage:start_2010,ZHVI all-homes SA,33462,169,198,217161.02699390103,110729.52596186654,49348.99715611694,80261.7555254128,101890.37892061131,116058.20236150242,141976.57914225932,187069.55778695934,258697.99930615982,360002.72410200036,436948.74555748113,609490.9914810779,870668.4947126737,0,0
all_vintage:start_2010,permits units SA,33462,169,198,101162.6342946476,101033.45648388573,-90.125404575521,-0.1597655986490092,5.642483975568641,13.762008253663499,58.94647176538756,102550.47608268443,202205.0,202411.0,202509.0,202605.0,202606.0,0,0
all_vintage:start_2010,employment thousands SA,33462,169,198,150.74928575697805,165.07271952891475,19.2,30.5,39.2,47.6,59.1,89.6,175.6,332.1800000000003,431.7949999999997,1026.686999999998,1221.9,0,0
final_only:at_least_120m,ZHVI all-homes SA,24056,194,124,249080.2808475851,120989.71967562215,76816.6438767935,95661.6946780356,116749.2208480539,136169.58091931662,166746.30596948546,218272.27891425882,293943.00792818813,403424.87952966546,488259.0595015412,694949.6896526642,893691.3277472038,0,0
final_only:at_least_120m,permits units SA,24056,194,124,101238.92482196557,101111.74411723024,-78.5609617717921,0.9681086377845962,8.467384496613812,15.64694157276095,57.380165442289325,102700.97608268443,202311.25,202506.0,202512.0,202605.0,202606.0,0,0
final_only:at_least_120m,employment thousands SA,24056,194,124,144.28404556035917,164.10163876963412,19.2,26.155,36.7,42.8,56.3,83.2,169.4,327.29999999999995,434.12500000000006,1057.8400000000024,1221.9,0,0
final_only:at_least_180m,ZHVI all-homes SA,31494,174,181,220900.4756086168,111589.16373994402,49348.99715611694,81969.01011700524,103642.97352943938,117648.19753387058,144472.73737559505,191585.1784581914,263052.51200105104,365080.11819376727,442286.44833835104,612838.056452801,870668.4947126737,0,0
final_only:at_least_180m,permits units SA,31494,174,181,101737.67329952748,101049.23680074586,-90.125404575521,-0.05785037991833011,6.411496178989444,14.333859986285162,58.26073558638885,201812.0,202209.0,202412.0,202509.0,202605.0,202606.0,0,0
final_only:at_least_180m,employment thousands SA,31494,174,181,148.96407569695813,164.67185495720267,19.2,30.8,38.6,46.89999999999999,58.5,88.4,173.6,329.2,430.03499999999985,1030.707,1221.9,0,0
final_only:at_least_240m,ZHVI all-homes SA,30012,122,246,215980.2922803402,111541.21301826525,70773.62398823531,87282.725719885,105545.28364376012,115765.50690247648,139803.9430934034,184633.09556708572,255243.7500020814,361340.24920935434,436580.14402499853,625294.3120591436,870668.4947126737,0,0
final_only:at_least_240m,permits units SA,30012,122,246,101119.88237121985,100976.40738996264,-90.125404575521,-0.15613354842632507,4.916555720408082,13.407958089522099,65.88076323021107,102450.47608268443,202105.0,202406.0,202506.0,202604.0,202606.0,0,0
final_only:at_least_240m,employment thousands SA,30012,122,246,174.57283086765293,181.95046077750035,27.3,33.9,41.1,51.0,62.1,111.6,201.2,374.09000000000015,514.8,1117.0679999999993,1221.9,0,0
final_only:longest_feasible_common_window,ZHVI all-homes SA,26362,98,269,214089.2574070635,112361.21386943737,70773.62398823531,84152.93933502736,104302.99280865864,114470.5082837457,136556.93545145052,182286.51899350778,253649.1994206061,364382.5442777959,437737.92361791135,621199.6921209489,870668.4947126737,0,0
final_only:longest_feasible_common_window,permits units SA,26362,98,269,101469.58671556505,100951.53246525185,-90.125404575521,-0.08249754328184411,4.836337107983605,13.832824106052872,70.39495153131185,201504.0,202011.0,202404.0,202505.0,202604.0,202606.0,0,0
final_only:longest_feasible_common_window,employment thousands SA,26362,98,269,184.3425347090509,188.3728840413294,27.3,32.8,39.6,53.6,67.1,126.7,213.17499999999998,378.5,518.9949999999997,1158.9779999999998,1221.9,0,0
final_only:pareto_01_200401_269m_98n,ZHVI all-homes SA,26362,98,269,214089.2574070635,112361.21386943737,70773.62398823531,84152.93933502736,104302.99280865864,114470.5082837457,136556.93545145052,182286.51899350778,253649.1994206061,364382.5442777959,437737.92361791135,621199.6921209489,870668.4947126737,0,0
final_only:pareto_01_200401_269m_98n,permits units SA,26362,98,269,101469.58671556505,100951.53246525185,-90.125404575521,-0.08249754328184411,4.836337107983605,13.832824106052872,70.39495153131185,201504.0,202011.0,202404.0,202505.0,202604.0,202606.0,0,0
final_only:pareto_01_200401_269m_98n,employment thousands SA,26362,98,269,184.3425347090509,188.3728840413294,27.3,32.8,39.6,53.6,67.1,126.7,213.17499999999998,378.5,518.9949999999997,1158.9779999999998,1221.9,0,0
final_only:pareto_02_200405_265m_99n,ZHVI all-homes SA,26235,99,265,216904.57273189173,114970.45927492794,70773.62398823531,84475.85101055681,105087.99087139044,115049.71164420649,137512.635581886,184716.98239511528,257401.81561226805,371220.41079527384,443380.58544463676,643325.9411244235,870668.4947126737,0,0
final_only:pareto_02_200405_265m_99n,permits units SA,26235,99,265,101479.92439204383,100954.96995626146,-90.125404575521,-0.08234492715486377,4.972345031466527,14.13485955247408,71.98970979699149,201506.0,202012.0,202404.0,202505.0,202604.0,202606.0,0,0
final_only:pareto_02_200405_265m_99n,employment thousands SA,26235,99,265,183.56992567181246,187.8555272296977,27.3,32.8,39.6,53.89999999999999,67.7,125.6,211.0,377.56000000000023,518.3299999999999,1158.5659999999998,1221.9,0,0
final_only:pareto_03_200408_262m_102n,ZHVI all-homes SA,26724,102,262,218376.8218961958,114535.36014914616,70773.62398823531,84868.76302872365,105927.87130278627,115772.66500756847,138767.93755871852,186626.10032651975,259265.13389087535,373161.4979936089,441695.7170053823,640591.0933372041,870668.4947126737,0,0
final_only:pareto_03_200408_262m_102n,permits units SA,26724,102,262,101104.7962752313,100958.15743577697,-90.125404575521,-0.08178965022144108,5.113685083162261,14.190472615356072,71.08330276502895,102402.47608268443,202101.0,202404.0,202505.0,202604.0,202606.0,0,0
final_only:pareto_03_200408_262m_102n,employment thousands SA,26724,102,262,185.79235892830414,191.65437940878465,27.3,32.9,40.0,52.7,66.0,123.8,213.7,392.37000000000006,560.9249999999993,1152.977,1221.9,0,0
final_only:pareto_04_200409_261m_103n,ZHVI all-homes SA,26883,103,261,218232.08655721392,114237.01290303271,70773.62398823531,84987.6606338908,106146.46700179078,115895.00011254812,138866.6341475655,186610.65146611896,259259.45594346846,372333.19705553085,440957.0106754437,639717.5396703896,870668.4947126737,0,0
final_only:pareto_04_200409_261m_103n,permits units SA,26883,103,261,101491.44535062977,100957.56085140735,-90.125404575521,-0.06078534579477095,5.294085867791697,14.535556532800044,71.9056797948883,201508.0,202101.0,202404.0,202505.0,202604.0,202606.0,0,0
final_only:pareto_04_200409_261m_103n,employment thousands SA,26883,103,261,184.56693077409514,191.20192417936025,27.3,32.9,40.21000000000002,52.3,64.85,122.0,211.0,390.55999999999983,556.469999999995,1151.7520000000004,1221.9,0,0
final_only:pareto_05_200410_260m_104n,ZHVI all-homes SA,27040,104,260,218288.9593930917,113880.11330389768,70773.62398823531,85251.28227703221,106417.97455626712,116122.05772321712,139349.5094952507,186628.15139301505,259265.13389087535,371544.00231661636,440301.6736566733,638684.8971831122,870668.4947126737,0,0
final_only:pareto_05_200410_260m_104n,permits units SA,27040,104,260,101106.16350484056,100961.01432405048,-90.125404575521,-0.05979688615581018,5.361624792842762,14.512213384481289,70.39167370531747,102402.97608268443,202101.25,202404.09999999998,202505.05000000002,202604.0,202606.0,0,0
final_only:pareto_05_200410_260m_104n,employment thousands SA,27040,104,260,183.36290680473374,190.75074443831997,27.3,33.0,40.3,52.3,63.9,120.6,208.9,388.6,550.8,1149.6,1221.9,0,0
final_only:pareto_06_200411_259m_106n,ZHVI all-homes SA,27454,106,259,217104.82064550018,113468.16986688599,70773.62398823531,85516.82531479976,105532.23843032052,115635.94187007447,138655.1365397757,185582.6588466887,257908.8210420242,369583.95376376703,438830.2895497753,638332.1417827073,870668.4947126737,0,0
final_only:pareto_06_200411_259m_106n,permits units SA,27454,106,259,101495.38416912983,100960.8165848749,-90.125404575521,-0.07122540508245978,5.065382482999439,14.12746163347947,71.17126684016836,201509.0,202102.0,202405.0,202506.0,202604.0,202606.0,0,0
