start_date,end_date,T_months,N_complete_msas,NT,NT_over_N_plus_T,number_excluded_for_ZHVI,number_excluded_for_permits_SA,number_excluded_for_employment_SA,number_excluded_for_geographic_ambiguity,number_containing_preliminary_BLS_observations,number_affected_by_X13_warnings,complete_cbsa_codes
2005-06-01,2026-05-01,252,113,28476,78.01643835616439,78,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-07-01,2026-05-01,251,116,29116,79.33514986376022,75,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-08-01,2026-05-01,250,118,29500,80.16304347826087,73,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-09-01,2026-05-01,249,120,29880,80.97560975609755,71,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-10-01,2026-05-01,248,121,30008,81.32249322493224,69,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48900;49340;49420;49740
2005-12-01,2026-05-01,246,122,30012,81.55434782608695,68,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-07-01,2026-05-01,239,123,29397,81.20718232044199,67,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-08-01,2026-05-01,238,125,29750,81.95592286501378,65,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;17020;17420;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-09-01,2026-05-01,237,126,29862,82.26446280991736,64,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2006-11-01,2026-05-01,235,127,29845,82.44475138121547,63,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2007-07-01,2026-05-01,227,128,29056,81.84788732394367,62,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
2007-08-01,2026-05-01,226,129,29154,82.12394366197184,60,25,0,679,0,0,10420;10500;10740;11020;11460;11540;11700;12620;12700;12940;12980;13020;13380;13460;13780;13820;14020;14260;14500;14540;16180;16300;16620;16820;17020;17420;17660;17820;17860;18020;18140;18580;19460;20020;21300;21340;21500;21780;22180;22380;22500;23060;23420;23460;23540;23580;24020;24300;24540;25980;26300;26620;26820;27060;27140;27180;27260;27340;27740;27780;27860;28740;28940;29180;29540;29740;29940;30620;30700;30980;31180;31340;31540;32780;32900;33540;33660;33700;33780;33860;35300;35660;36100;36260;36420;37900;38300;38340;38940;39380;39460;39740;39820;39900;40060;40340;40380;40420;40660;40980;41060;41420;41500;41540;42140;42340;43900;44100;44140;44180;44220;44300;45060;45220;45780;45820;46060;46140;46220;46700;47220;47300;47580;48620;48700;48900;49340;49420;49740
