candidate_id,date,variable,p10,p25,median,p75,p90,n
pareto_28_200807_216m_139n,2008-07-01,ZHVI all-homes SA,113667.94378709079,129245.00431266743,161854.94204142466,211098.5573440193,269434.74665292044,139
pareto_28_200807_216m_139n,2008-08-01,ZHVI all-homes SA,113262.56371940652,129024.20228810383,161664.75294259013,208183.0505969138,265463.3989717683,139
pareto_28_200807_216m_139n,2008-09-01,ZHVI all-homes SA,112974.65502287712,128772.97999900964,161140.05094659099,205692.05651948263,261960.91018476317,139
pareto_28_200807_216m_139n,2008-10-01,ZHVI all-homes SA,112755.66832656646,128838.29835390046,158765.6357230892,202039.84856563556,260406.85011477608,139
pareto_28_200807_216m_139n,2008-11-01,ZHVI all-homes SA,113236.38412426201,128890.33012074887,157474.86206775648,199396.56623312412,258796.74418815316,139
pareto_28_200807_216m_139n,2008-12-01,ZHVI all-homes SA,113000.86778920527,128381.23089587655,156714.2085144846,197832.70129174698,257101.5954105971,139
pareto_28_200807_216m_139n,2009-01-01,ZHVI all-homes SA,112674.09578479524,128003.37435755646,154314.42503476507,195698.2222105477,255665.24273241893,139
pareto_28_200807_216m_139n,2009-02-01,ZHVI all-homes SA,112275.10924156039,127684.03571751274,153308.56798667528,193221.97796525777,252113.42171647405,139
pareto_28_200807_216m_139n,2009-03-01,ZHVI all-homes SA,111958.31715884936,127486.13025671079,152414.38167973305,192652.43303848722,247531.91142886732,139
pareto_28_200807_216m_139n,2009-04-01,ZHVI all-homes SA,111196.3624211426,127133.61884552703,152080.32139970842,191608.20828531732,245272.88364747586,139
pareto_28_200807_216m_139n,2009-05-01,ZHVI all-homes SA,110883.52321285708,125822.3217497096,152089.44304679908,190468.8838087549,241947.31260576128,139
pareto_28_200807_216m_139n,2009-06-01,ZHVI all-homes SA,110749.90295788198,125630.79201236839,152185.7249917095,189695.36911156232,238925.78414511977,139
pareto_28_200807_216m_139n,2009-07-01,ZHVI all-homes SA,110579.45145549937,125576.72186572666,152151.9303760519,189034.45959042828,237161.9011141803,139
