date,median,n_available,p10,p25,p75,p90,variable
2004-01-01,201504.0,138,201504.0,201504.0,201504.0,201504.0,permits units SA
2004-02-01,36.1225369338021,137,2.42038388489075,8.09799724409365,104.944292439069,241.32257590431703,permits units SA
2004-03-01,201505.0,138,201505.0,201505.0,201505.0,201505.0,permits units SA
2004-04-01,34.66825205827005,138,1.1353864081652951,9.443672629090035,103.168188317461,236.58598913525032,permits units SA
2004-05-01,201506.0,139,201506.0,201506.0,201506.0,201506.0,permits units SA
2004-06-01,39.7429018183074,139,1.0776377547865978,11.4171764013003,106.958643444383,223.3892502560954,permits units SA
2004-07-01,201507.0,137,201507.0,201507.0,201507.0,201507.0,permits units SA
2004-08-01,37.123090156858,137,1.6739102344512613,9.6562320651285,131.724680856387,294.3660524202296,permits units SA
2004-09-01,201508.0,138,201508.0,201508.0,201508.0,201508.0,permits units SA
2004-10-01,32.6413497192696,139,2.6510596192062867,10.197223982877649,119.5836107229155,254.75307160497982,permits units SA
2004-11-01,201509.0,142,201509.0,201509.0,201509.0,201509.0,permits units SA
2004-12-01,32.9615613018807,142,1.1942909505655903,8.203908255981897,123.484852281799,222.04474258823757,permits units SA
2005-01-01,201510.0,142,201510.0,201510.0,201510.0,201510.0,permits units SA
2005-02-01,37.637433316492,143,1.0176547569906749,10.351393955459049,119.987717537739,259.22010920020335,permits units SA
2005-03-01,201511.0,143,201511.0,201511.0,201511.0,201511.0,permits units SA
2005-04-01,37.0875793003451,144,1.0211877388091906,10.643145033364,123.2475020890875,245.9047147730679,permits units SA
2005-05-01,201512.0,144,201512.0,201512.0,201512.0,201512.0,permits units SA
2005-06-01,43.9030003713767,143,1.5246428836950863,11.1583924564774,88.52212712170065,236.4537658070766,permits units SA
2005-07-01,201601.0,146,201601.0,201601.0,201601.0,201601.0,permits units SA
2005-08-01,38.93987491372795,148,2.217622321509399,9.695081642504322,114.035555789612,235.12546718360693,permits units SA
2005-09-01,201602.0,148,201602.0,201602.0,201602.0,201602.0,permits units SA
2005-10-01,35.9652836787231,150,1.5046625912308533,10.438071264159626,119.51236782887975,250.9904801862389,permits units SA
2005-11-01,201603.0,150,201603.0,201603.0,201603.0,201603.0,permits units SA
2005-12-01,37.0188841991423,151,2.23289814915096,11.0318751696958,107.72275238319301,241.788396501505,permits units SA
2006-01-01,201604.0,151,201604.0,201604.0,201604.0,201604.0,permits units SA
2006-02-01,34.1986818034123,151,2.23952702874214,8.79984703233771,101.917160763306,246.715926289502,permits units SA
2006-03-01,201605.0,151,201605.0,201605.0,201605.0,201605.0,permits units SA
2006-04-01,35.725458350572296,150,1.4445902952205443,7.58855251463957,95.71640140534177,217.91129012784006,permits units SA
2006-05-01,201606.0,149,201606.0,201606.0,201606.0,201606.0,permits units SA
2006-06-01,44.68176327053535,150,1.961324975927405,8.085703018916808,132.72135564426327,258.94548264399947,permits units SA
2006-07-01,201607.0,151,201607.0,201607.0,201607.0,201607.0,permits units SA
2006-08-01,33.8262892888113,152,0.5348721479740902,9.211450424577242,113.49167568556275,272.2042719778545,permits units SA
2006-09-01,201608.0,152,201608.0,201608.0,201608.0,201608.0,permits units SA
2006-10-01,34.14495530184,152,1.5134768716658331,8.969198154070115,121.68438125239601,259.9574542419573,permits units SA
2006-11-01,201609.0,153,201609.0,201609.0,201609.0,201609.0,permits units SA
2006-12-01,34.713307894741,153,1.11799304653192,9.15116938411259,125.527458858601,260.3647697212809,permits units SA
2007-01-01,201610.0,153,201610.0,201610.0,201610.0,201610.0,permits units SA
2007-02-01,41.5705395024789,153,0.9927758555536338,10.0529239394364,101.269018673127,242.92527015437574,permits units SA
2007-03-01,201611.0,153,201611.0,201611.0,201611.0,201611.0,permits units SA
2007-04-01,39.1490159081712,153,2.897087939311154,8.56053868874476,118.17957862169,253.64839454141088,permits units SA
2007-05-01,201612.0,153,201612.0,201612.0,201612.0,201612.0,permits units SA
2007-06-01,38.82873222395785,154,1.405029978799005,10.293366119997374,123.53178152476825,263.84423210956527,permits units SA
2007-07-01,201701.0,155,201701.0,201701.0,201701.0,201701.0,permits units SA
2007-08-01,40.919887944467,156,1.879423022807715,11.95349864049895,98.85075404153224,239.47939175840753,permits units SA
