target_name,fold_id,solver_name,convergence_info_code,converged,iterations,maxiter,requested_tolerance,achieved_absolute_residual,achieved_relative_residual,rhs_norm,solution_norm,maximum_absolute_solution_entry,riesz_ridge,scaling_value,cached_scale,elapsed_seconds,contains_nonfinite
asinh_permits_mean,0,scipy.sparse.linalg.cg,0,True,979,2000,1e-05,3.4847140664549e-08,6.343444913802377e-06,0.005493409517709674,5.2611185772410085,0.04200941189864056,1e-06,323.5689390518691,False,10.927368399919942,False
asinh_permits_mean,1,scipy.sparse.linalg.cg,0,True,944,2000,1e-05,5.0750225988353496e-08,9.238384624764388e-06,0.005493409080664664,5.236238334964932,0.04149468566748707,1e-06,321.68784946068655,False,4.431968600023538,False
asinh_permits_mean,2,scipy.sparse.linalg.cg,0,True,969,2000,1e-05,4.519800981294319e-08,8.227676375266028e-06,0.005493411231975175,5.2031828780667375,0.04093986203578485,1e-06,322.29040708469546,False,4.3066561000887305,False
asinh_permits_mean,3,scipy.sparse.linalg.cg,0,True,950,2000,1e-05,5.220066177421719e-08,9.5024146518195e-06,0.005493410221182247,5.212130528219834,0.0418669887749124,1e-06,322.8563546136843,False,4.329569700057618,False
asinh_permits_mean,4,scipy.sparse.linalg.cg,0,True,955,2000,1e-05,5.24244976446535e-08,9.54316543484782e-06,0.005493407612239458,5.234133961705619,0.04087546200138158,1e-06,322.7856399191401,False,4.592167499940842,False
asinh_permits_mean,5,scipy.sparse.linalg.cg,0,True,949,2000,1e-05,5.040716158439588e-08,9.175932226127589e-06,0.00549341040694114,5.2499571459342205,0.040465653868070606,1e-06,321.6529972459928,False,4.300258900038898,False
asinh_permits_mean,6,scipy.sparse.linalg.cg,0,True,961,2000,1e-05,4.6618444325414e-08,8.486247274187969e-06,0.005493411023646471,5.145005920002334,0.04343177592334297,1e-06,322.6483986242716,False,4.627721199998632,False
asinh_permits_mean,7,scipy.sparse.linalg.cg,0,True,1021,2000,1e-05,3.6213501278826166e-08,6.592174743601365e-06,0.005493407363628592,5.175658669099942,0.04565166906293006,1e-06,321.6677338571315,False,4.1854544000234455,False
asinh_permits_mean,8,scipy.sparse.linalg.cg,0,True,950,2000,1e-05,4.647271138189019e-08,8.459719532016583e-06,0.005493410414613624,5.205756188779683,0.040907533608767505,1e-06,321.28720654549744,False,3.8873239000095055,False
asinh_permits_mean,9,scipy.sparse.linalg.cg,0,True,962,2000,1e-05,3.4160295446583935e-08,6.21841357306154e-06,0.005493410022544647,5.2534148726080065,0.04078467552707812,1e-06,321.74593683513245,False,3.661882600048557,False
lag_log_zhvi_mean,0,scipy.sparse.linalg.cg,0,True,972,2000,1e-05,4.674472322055742e-08,8.507539626999142e-06,0.005494505493951563,5.604681226712097,0.04322562898130029,1e-06,322.6364440746816,False,9.95543740002904,False
lag_log_zhvi_mean,1,scipy.sparse.linalg.cg,0,True,936,2000,1e-05,4.6043331904976447e-08,8.379886407424153e-06,0.005494505494034429,5.57748552962699,0.042645522604884044,1e-06,320.59240176469666,False,4.046109599992633,False
lag_log_zhvi_mean,2,scipy.sparse.linalg.cg,0,True,959,2000,1e-05,5.2879919930780595e-08,9.624145428194641e-06,0.005494505494053008,5.539202639428928,0.041979907898961964,1e-06,321.3566577595768,False,4.632619599928148,False
lag_log_zhvi_mean,3,scipy.sparse.linalg.cg,0,True,948,2000,1e-05,4.93582043459239e-08,8.98319319163948e-06,0.005494505494088764,5.541127971526301,0.04290409235983192,1e-06,321.87269933605506,False,4.340500400052406,False
lag_log_zhvi_mean,4,scipy.sparse.linalg.cg,0,True,948,2000,1e-05,2.73072181341228e-08,4.969913700908228e-06,0.005494505493955063,5.575345474672543,0.042000809181473545,1e-06,321.71916913980476,False,4.3285937999607995,False
lag_log_zhvi_mean,5,scipy.sparse.linalg.cg,0,True,940,2000,1e-05,3.5980554864501427e-08,6.5484609860311e-06,0.0054945054939250036,5.592575720422956,0.041544608488946956,1e-06,320.5782296777154,False,4.762887499993667,False
lag_log_zhvi_mean,6,scipy.sparse.linalg.cg,0,True,956,2000,1e-05,3.2341788055832916e-08,5.8862054266622295e-06,0.005494505494038171,5.459218594161202,0.04443701078818945,1e-06,321.63314395030324,False,4.74366719997488,False
lag_log_zhvi_mean,7,scipy.sparse.linalg.cg,0,True,1015,2000,1e-05,5.3368921898593746e-08,9.713143786172813e-06,0.005494505494149825,5.481166452626775,0.04667898657511543,1e-06,320.59447239013906,False,4.656140399980359,False
lag_log_zhvi_mean,8,scipy.sparse.linalg.cg,0,True,941,2000,1e-05,4.5893218158482144e-08,8.352565705657083e-06,0.0054945054939704654,5.5432965706495505,0.04203479385350119,1e-06,320.1542263740215,False,3.984469100018032,False
lag_log_zhvi_mean,9,scipy.sparse.linalg.cg,0,True,953,2000,1e-05,5.214282501487665e-08,9.489994153593398e-06,0.0054945054939926075,5.596166087507779,0.0418696158490111,1e-06,320.683062663174,False,3.7119309999980032,False
log_employment_mean,0,scipy.sparse.linalg.cg,0,True,886,2000,1e-05,2.084585157565667e-10,6.8146240949089505e-06,3.0589877424391066e-05,0.05337873162827103,0.0012236131273197842,1e-06,338.23164195391627,False,5.877053999924101,False
log_employment_mean,1,scipy.sparse.linalg.cg,0,True,924,2000,1e-05,4.1074649948572555e-10,9.397684410570638e-06,4.370720291731786e-05,0.07011519355434102,0.0017680642621093437,1e-06,332.54546619374986,False,5.096157300053164,False
log_employment_mean,2,scipy.sparse.linalg.cg,0,True,948,2000,1e-05,2.870567875398699e-10,9.798670379307125e-06,2.929548361439708e-05,0.044183216424200186,0.001318136693095895,1e-06,314.6562444705676,False,4.097515199915506,False
log_employment_mean,3,scipy.sparse.linalg.cg,0,True,935,2000,1e-05,4.2888769959777117e-10,9.036016748681094e-06,4.746424354075838e-05,0.0698149777553663,0.0016946752316471094,1e-06,291.7918099049584,False,4.0683992999838665,False
log_employment_mean,4,scipy.sparse.linalg.cg,0,True,869,2000,1e-05,3.1249514706976377e-10,6.786011688865657e-06,4.604989814304316e-05,0.0728036508503888,0.0018657085916684573,1e-06,328.4966702752116,False,3.799944799975492,False
log_employment_mean,5,scipy.sparse.linalg.cg,0,True,933,2000,1e-05,1.320305700727283e-10,8.231285481274897e-06,1.6040091231567737e-05,0.02891337936300907,0.0006716305231208966,1e-06,340.58635913550495,False,4.2831954000284895,False
log_employment_mean,6,scipy.sparse.linalg.cg,0,True,868,2000,1e-05,6.57491595539504e-10,9.039467535325682e-06,7.273565538789397e-05,0.11626786290977865,0.0029349563643806527,1e-06,327.7950247335353,False,3.9538187000434846,False
log_employment_mean,7,scipy.sparse.linalg.cg,0,True,996,2000,1e-05,1.088437987101662e-09,9.766967826037024e-06,0.0001114407261791195,0.18364779534589282,0.004695602979266432,1e-06,328.42146467395054,False,3.6200955000240356,False
log_employment_mean,8,scipy.sparse.linalg.cg,0,True,933,2000,1e-05,1.3344881838757955e-10,7.172286585521549e-06,1.8606174864368656e-05,0.03245763513310824,0.0008424509595078929,1e-06,338.37265356472176,False,3.6584834000095725,False
log_employment_mean,9,scipy.sparse.linalg.cg,0,True,940,2000,1e-05,2.4101626296674556e-10,9.90649643625687e-06,2.432911216569443e-05,0.044992766278987975,0.0009391811736528506,1e-06,339.215428852947,False,3.513727799989283,False
