sample,R,bias,rmse,empirical_sd_error,mean_se,median_se,mean_se_over_empirical_sd,size,coverage,z_mean,z_sd,lower_tail_rejection,upper_tail_rejection
feasible,100,0.00029230464598975964,0.05399754874510086,0.05426878326295786,0.04864247222497903,0.04849159793570579,0.8963250933650622,0.09,0.91,0.02266599343675324,1.1309604291352335,0.04,0.05
oracle,100,-0.0009471665022954668,0.052965276739367816,0.053223593686862115,0.04934285463312068,0.04909350342610083,0.927086113790558,0.07,0.93,-0.009062080726473609,1.0936671183920237,0.03,0.04
