rep,feasible_true,oracle_true,truth_diff,feasible_estimate,oracle_estimate,diff_estimate,feasible_se,oracle_se,diff_se,feasible_z,oracle_z,diff_z,feasible_reject,oracle_reject,diff_reject
0,0.3289480873811259,0.3289480873811259,0.0,0.3521833984236393,0.3498964842747766,-0.0022869141488627287,0.06828654110430656,0.06455819765756834,-0.003728343446738211,0.3402619413248925,0.32448856464001435,-0.01577337668487816,0,0,0
1,0.3791780591255846,0.3791780591255846,0.0,0.48566856649827317,0.4865461318848102,0.0008775653865370492,0.058712932817211475,0.06023948596846046,0.0015265531512489855,1.8137487306965403,1.7823537341510554,-0.03139499654548494,0,0,0
2,0.319381984243261,0.319381984243261,0.0,0.28228342844017845,0.28547116386245297,0.003187735422274518,0.052323200761691314,0.05431401270560362,0.0019908119439123045,-0.7090268802944565,-0.6243475429556947,0.08467933733876176,0,0,0
3,0.22431269013502864,0.22431269013502864,0.0,0.32455338355658453,0.30411534000504326,-0.020438043551541274,0.046893040970804996,0.04880938982666683,0.001916348855861831,2.137645402096325,1.6349856073475177,-0.5026597947488074,1,0,-1
4,0.4321439390041508,0.4321439390041508,0.0,0.4589068493267848,0.44829953404705425,-0.010607315279730578,0.03355306097912485,0.0339829154813913,0.00042985450226644406,0.7976294722941861,0.47540344358476444,-0.3222260287094217,0,0,0
5,0.42673311062039665,0.42673311062039665,0.0,0.4623160967534896,0.4589442623408075,-0.0033718344126821287,0.03740371013914257,0.037450839636141216,4.712949699864355e-05,0.9513223688431849,0.8600915769409367,-0.09123079190224814,0,0,0
6,0.562680527288824,0.562680527288824,0.0,0.5559057141464993,0.5702000780662441,0.014294363919744812,0.05169232606694042,0.054346859503710605,0.002654533436770183,-0.1310603267021012,0.13836219509439457,0.26942252179649573,0,0,0
7,0.3907337443922353,0.3907337443922353,0.0,0.2741798811616635,0.28591332062881125,0.011733439467147777,0.05117427182119653,0.05388024502191269,0.0027059732007161594,-2.2775871367122194,-1.9454333164371167,0.33215382027510265,1,0,-1
8,0.4009937915645918,0.4009937915645918,0.0,0.40869838741761644,0.4016660771227825,-0.007032310294833921,0.05527394536042117,0.05534642785783983,7.248249741866053e-05,0.13938928735384784,0.012146864471859158,-0.12724242288198867,0,0,0
9,0.2603787187501076,0.2603787187501076,0.0,0.17672014211901885,0.18401684783632988,0.007296705717311031,0.047999339772509184,0.04923705227571347,0.0012377125032042857,-1.7429109864340842,-1.5509025700030332,0.19200841643105093,0,0,0
10,0.32465242287665663,0.32465242287665663,0.0,0.3659489166691618,0.3616326514326839,-0.004316265236477879,0.05455268090453378,0.05477566647030311,0.00022298556576932915,0.7570020960981421,0.6751214716132444,-0.08188062448489764,0,0,0
11,0.20577830975558434,0.20577830975558434,0.0,0.1435964309327103,0.11899203524177711,-0.024604395690933187,0.05343545855141226,0.05374384265188915,0.0003083841004768856,-1.1636819540539083,-1.6148133484972647,-0.45113139444335637,0,0,0
12,0.5628128453550114,0.5628128453550114,0.0,0.48554427725213295,0.48639200934188215,0.000847732089749198,0.05218880755468717,0.049638109213178294,-0.002550698341508874,-1.480558221643806,-1.5395597701944799,-0.059001548550673855,0,0,0
13,0.36245180040503877,0.36245180040503877,0.0,0.34100971365635424,0.34550734899263724,0.004497635336283001,0.046835386632460695,0.04735216985624295,0.0005167832237822564,-0.45781807924317286,-0.357838964166656,0.09997911507651686,0,0,0
14,0.43019729054836875,0.43019729054836875,0.0,0.46198584550531047,0.4661526442485578,0.004166798743247324,0.04845518995797824,0.04850458419402219,4.939423604394949e-05,0.6560402504769806,0.7412774338269713,0.08523718334999075,0,0,0
15,0.48487032792911045,0.48487032792911045,0.0,0.4704915754422395,0.4512424860367662,-0.01924908940547332,0.045044674322198885,0.046553456659516136,0.0015087823373172507,-0.31921093232956954,-0.7223489791164686,-0.403138046786899,0,0,0
16,0.41110381534582274,0.41110381534582274,0.0,0.3515747288857619,0.35294306678064447,0.0013683378948825542,0.051065345120674364,0.05120739571831883,0.00014205059764446637,-1.1657433494160374,-1.1357880585278812,0.029955290888156183,0,0,0
17,0.37392662339528787,0.37392662339528787,0.0,0.43333086969434564,0.4343436370369413,0.001012767342595644,0.053791444856377865,0.054925283464211286,0.0011338386078334206,1.1043437568495507,1.0999854680954078,-0.004358288754142903,0,0,0
18,0.4582196409365398,0.4582196409365398,0.0,0.45464609741426554,0.425559172361353,-0.02908692505291255,0.05107662634393706,0.04821882063556214,-0.002857805708374919,-0.06996436096250562,-0.6773386023278051,-0.6073742413652995,0,0,0
