geometry,tuning,N,usable_T,maxiter,tol,ridge,number_of_solves,convergence_fraction,iterations_mean,iterations_median,iterations_max,relative_residual_median,relative_residual_max,solution_norm_median,solution_norm_max,number_reaching_maxiter,number_containing_nonfinite_values,target_name,estimate,se_white,se_xs,delta_estimate_vs_baseline,delta_white_se_vs_baseline,delta_xs_se_vs_baseline,total_runtime_sec,first_stage_monotone,first_stage_sweep_cap_hit_rate,first_stage_final_relative_objective_decrease_mean,retained_nonvalidation,retained_total,ranks
A_tiny_N20_T60,baseline,20,60,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.0015464079496417846,0.012222458842894636,34.185763502634316,37.33560334664963,30,0,asinh_permits_mean,0.03815864902884155,0.0469701440671725,0.013427068896687292,0.0,0.0,0.0,11.406269499915652,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,baseline,20,60,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.0015464079496417846,0.012222458842894636,34.185763502634316,37.33560334664963,30,0,lag_log_zhvi_mean,0.9706019798370404,0.021756576666855015,0.01573037626129487,0.0,0.0,0.0,11.406269499915652,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,baseline,20,60,600,1e-05,1e-06,30,0.0,600.0,600.0,600,0.0015464079496417846,0.012222458842894636,34.185763502634316,37.33560334664963,30,0,log_employment_mean,-0.0006865391653086944,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,11.406269499915652,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,maxiter_2000,20,60,2000,1e-05,1e-06,30,1.0,790.8333333333334,782.0,865,7.992617703157735e-06,9.772277195211795e-06,34.18577603677847,37.33560544940322,0,0,asinh_permits_mean,0.038154357532952654,0.04697907558083938,0.013431613231802657,-4.291495888895935e-06,8.931513666876612e-06,4.5443351153647005e-06,21.432963999919593,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,maxiter_2000,20,60,2000,1e-05,1e-06,30,1.0,790.8333333333334,782.0,865,7.992617703157735e-06,9.772277195211795e-06,34.18577603677847,37.33560544940322,0,0,lag_log_zhvi_mean,0.9706072487092879,0.02176145327876345,0.015732947408978352,5.268872247499168e-06,4.876611908434525e-06,2.5711476834833213e-06,21.432963999919593,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,maxiter_2000,20,60,2000,1e-05,1e-06,30,1.0,790.8333333333334,782.0,865,7.992617703157735e-06,9.772277195211795e-06,34.18577603677847,37.33560544940322,0,0,log_employment_mean,-0.0006865172100198865,0.0008333333333333334,0.0008333333333333334,2.1955288807915668e-08,0.0,0.0,21.432963999919593,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,tol_1e-5_ridge_1e-6,20,60,2000,1e-05,1e-06,30,1.0,790.8333333333334,782.0,865,7.992617703157735e-06,9.772277195211795e-06,34.18577603677847,37.33560544940322,0,0,asinh_permits_mean,0.038154357532952654,0.04697907558083938,0.013431613231802657,-4.291495888895935e-06,8.931513666876612e-06,4.5443351153647005e-06,21.070108300074935,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,tol_1e-5_ridge_1e-6,20,60,2000,1e-05,1e-06,30,1.0,790.8333333333334,782.0,865,7.992617703157735e-06,9.772277195211795e-06,34.18577603677847,37.33560544940322,0,0,lag_log_zhvi_mean,0.9706072487092879,0.02176145327876345,0.015732947408978352,5.268872247499168e-06,4.876611908434525e-06,2.5711476834833213e-06,21.070108300074935,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,tol_1e-5_ridge_1e-6,20,60,2000,1e-05,1e-06,30,1.0,790.8333333333334,782.0,865,7.992617703157735e-06,9.772277195211795e-06,34.18577603677847,37.33560544940322,0,0,log_employment_mean,-0.0006865172100198865,0.0008333333333333334,0.0008333333333333334,2.1955288807915668e-08,0.0,0.0,21.070108300074935,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,tol_1e-5_ridge_1e-5,20,60,2000,1e-05,1e-05,30,1.0,349.7,351.5,375,8.320892083128284e-06,9.845628854585053e-06,4.063675467831333,4.419574518277827,0,0,asinh_permits_mean,0.0676277134978524,0.004767364516522407,0.0019380331322807747,0.029469064469010854,-0.0422027795506501,-0.011489035764406517,13.847715799929574,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
A_tiny_N20_T60,tol_1e-5_ridge_1e-5,20,60,2000,1e-05,1e-05,30,1.0,349.7,351.5,375,8.320892083128284e-06,9.845628854585053e-06,4.063675467831333,4.419574518277827,0,0,lag_log_zhvi_mean,0.9269575458103243,0.00219461363546685,0.0017562141738485559,-0.04364443402671614,-0.019561963031388165,-0.013974162087446312,13.847715799929574,True,1.0,1.5465861867541557e-05,0.9021296296296295,0.8119166666666666,"1,1,1,2"
