cbsa_code,zhvi_earliest,zhvi_latest,zhvi_internal_missing_months,zhvi_longest_contiguous,permits_nsa_earliest,permits_nsa_latest,permits_nsa_internal_missing_months,permits_nsa_longest_contiguous,permits_sa_earliest,permits_sa_latest,permits_sa_internal_missing_months,permits_sa_longest_contiguous,employment_official_sa_earliest,employment_official_sa_latest,employment_official_sa_internal_missing_months,employment_official_sa_longest_contiguous,employment_local_x13_sa_earliest,employment_local_x13_sa_latest,employment_local_x13_sa_internal_missing_months,employment_local_x13_sa_longest_contiguous
09240,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
09270,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
09999,,,0,0,2000-01,2003-12,0,48,,,0,0,,,0,0,,,0,0
10180,2009-01,2026-06,0,210,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
10420,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
10500,2000-01,2026-06,1,257,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
10540,2008-01,2026-06,0,222,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
10580,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
10740,2002-06,2026-06,0,289,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
10780,2000-01,2026-06,5,169,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
10900,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11020,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11100,2009-01,2026-06,0,210,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11180,2009-03,2026-06,0,208,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11200,,,0,0,2024-01,2026-06,0,30,,,0,0,,,0,0,,,0,0
11260,2000-01,2026-06,2,229,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11300,,,0,0,2004-01,2013-12,0,120,2004-01,2013-12,0,120,,,0,0,,,0,0
11340,,,0,0,2004-01,2013-12,0,120,2004-01,2013-12,0,120,,,0,0,,,0,0
11460,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11500,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11540,2005-05,2026-06,0,254,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
11700,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12020,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12060,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12100,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12220,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12260,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12420,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12540,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12580,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12620,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12700,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12940,2002-04,2026-06,0,291,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
12980,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13020,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13140,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13220,2000-01,2026-06,3,211,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
13380,2000-12,2026-06,0,307,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13460,2000-01,2026-06,3,266,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13740,2009-01,2026-06,0,210,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13780,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13820,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13900,2009-01,2026-06,0,210,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
13980,,,0,0,2004-01,2026-06,120,138,2015-01,2026-06,0,138,,,0,0,,,0,0
14010,2000-01,2026-06,0,318,2014-01,2026-06,0,150,2014-01,2026-06,0,150,,,0,0,,,0,0
14020,2003-08,2026-06,0,275,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
14060,,,0,0,2004-01,2013-12,0,120,2004-01,2013-12,0,120,,,0,0,,,0,0
14100,,,0,0,2014-01,2023-12,0,120,2014-01,2023-12,0,120,,,0,0,,,0,0
14260,2001-01,2026-06,3,250,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
14460,,,0,0,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
14500,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
14540,2000-01,2026-06,0,318,2004-01,2026-06,0,270,2004-01,2026-06,0,270,,,0,0,,,0,0
14580,2009-01,2026-06,0,210,2024-01,2026-06,0,30,,,0,0,,,0,0,,,0,0
