sample,R,bias,rmse,empirical_sd_error,mean_se,median_se,mean_se_over_empirical_sd,size,coverage,z_mean,z_sd,lower_tail_rejection,upper_tail_rejection
feasible,8,0.016485647014563218,0.06974750058085707,0.07245047395911523,0.05000488558255234,0.05143329894406848,0.6901940435996424,0.25,0.75,0.365366696443294,1.4220495292272446,0.125,0.125
oracle,8,0.01565927161492415,0.06307492714403586,0.06531885439215376,0.050947743225181884,0.05409712886375816,0.7799852538641865,0.0,1.0,0.330738032795734,1.2094618119987923,0.0,0.0
