Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202409,101,10180,2,Abilene  TX ,32,32,8869,3,6,931,0,0,0,0,0,0,31,31,8778,3,6,931,0,0,0,0,0,0
202409,101,45020,5,Sweetwater  TX ,1,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,104,10580,2,Albany-Schenectady-Troy  NY ,85,85,30996,0,0,0,1,3,524,13,93,11512,44,44,16629,0,0,0,0,0,0,9,72,9277
202409,104,11220,5,Amsterdam  NY ,4,4,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,104,24020,2,Glens Falls  NY ,25,25,8407,0,0,0,0,0,0,0,0,0,24,24,8217,0,0,0,0,0,0,0,0,0
202409,104,24100,5,Gloversville  NY ,5,5,1983,0,0,0,0,0,0,1,5,1333,2,2,775,0,0,0,0,0,0,0,0,0
202409,104,26460,5,Hudson  NY ,12,12,5200,0,0,0,0,0,0,0,0,0,4,4,1115,0,0,0,0,0,0,0,0,0
202409,105,10740,2,Albuquerque  NM ,157,157,46810,0,0,0,0,0,0,1,82,6474,134,134,39983,0,0,0,0,0,0,1,82,6474
202409,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,105,31060,5,Los Alamos  NM ,3,3,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,105,42140,2,Santa Fe  NM ,23,23,7354,0,0,0,0,0,0,2,38,6314,0,0,0,0,0,0,0,0,0,0,0,0
202409,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,118,118,32303,0,0,0,0,0,0,6,48,5824,82,82,22905,0,0,0,0,0,0,6,48,5824
202409,106,20700,5,East Stroudsburg  PA ,23,23,7971,0,0,0,0,0,0,1,52,4680,16,16,5575,0,0,0,0,0,0,1,52,4680
202409,107,11020,2,Altoona  PA ,6,6,1434,0,0,0,1,4,381,0,0,0,2,2,516,0,0,0,0,0,0,0,0,0
202409,107,26500,5,Huntingdon  PA ,5,5,1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,108,11100,2,Amarillo  TX ,75,75,21473,0,0,0,0,0,0,0,0,0,71,71,20419,0,0,0,0,0,0,0,0,0
202409,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,118,11540,2,Appleton  WI ,45,45,17162,6,12,2409,0,0,0,0,0,0,39,39,15083,5,10,2052,0,0,0,0,0,0
202409,118,36780,2,Oshkosh-Neenah  WI ,30,30,9191,0,0,0,0,0,0,2,34,4209,25,25,7511,0,0,0,0,0,0,2,34,4209
202409,120,11700,2,Asheville  NC ,183,183,80625,0,0,0,0,0,0,4,45,7039,76,76,41967,0,0,0,0,0,0,2,34,5051
202409,120,14820,5,Brevard  NC ,16,16,9454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,120,48200,5,Waynesville  NC ,15,15,6651,1,2,300,0,0,0,7,150,21750,1,1,252,1,2,300,0,0,0,7,150,21750
202409,122,12020,2,Athens-Clarke County  GA ,60,60,23397,0,0,0,0,0,0,1,12,1709,27,27,13882,0,0,0,0,0,0,1,12,1709
202409,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,1723,1723,498696,25,50,10230,11,44,7238,41,975,149334,1553,1553,452969,25,50,10230,11,44,7238,38,943,143396
202409,122,15660,5,Calhoun  GA ,54,54,8833,0,0,0,0,0,0,0,0,0,45,45,6280,0,0,0,0,0,0,0,0,0
202409,122,16340,5,Cedartown  GA ,6,6,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202409,122,18460,5,Cornelia  GA ,15,15,5066,0,0,0,0,0,0,0,0,0,2,2,815,0,0,0,0,0,0,0,0,0
202409,122,23580,2,Gainesville  GA ,88,88,20748,0,0,0,1,3,234,1,5,403,35,35,8795,0,0,0,0,0,0,0,0,0
202409,122,27600,5,Jefferson  GA ,132,132,35542,0,0,0,1,3,284,3,17,1784,52,52,13247,0,0,0,0,0,0,0,0,0
202409,122,29300,5,LaGrange  GA-AL ,28,28,6784,0,0,0,0,0,0,0,0,0,22,22,5690,0,0,0,0,0,0,0,0,0
202409,122,40660,2,Rome  GA ,30,30,8253,0,0,0,0,0,0,0,0,0,30,30,8253,0,0,0,0,0,0,0,0,0
202409,122,45580,5,Thomaston  GA ,9,9,1532,0,0,0,0,0,0,0,0,0,3,3,589,0,0,0,0,0,0,0,0,0
202409,132,12940,2,Baton Rouge  LA ,258,258,62032,0,0,0,0,0,0,2,20,2234,67,67,13306,0,0,0,0,0,0,1,5,700
202409,132,25220,2,Hammond  LA ,57,57,10151,0,0,0,0,0,0,1,27,2570,0,0,0,0,0,0,0,0,0,0,0,0
202409,142,13820,2,Birmingham  AL ,250,250,79669,1,2,1182,0,0,0,1,19,3009,180,180,61010,0,0,0,0,0,0,0,0,0
202409,142,18980,5,Cullman  AL ,8,8,2044,1,2,214,0,0,0,0,0,0,7,7,1904,1,2,214,0,0,0,0,0,0
202409,142,45180,5,Talladega-Sylacauga  AL ,19,19,3134,0,0,0,0,0,0,0,0,0,19,19,3134,0,0,0,0,0,0,0,0,0
202409,144,13260,5,Bedford  IN ,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
