Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9403,0040,9999, ,Abilene TX MSA,25,25,2972,0,0,0,0,0,0,0,0,0,25,25,2972,0,0,0,0,0,0,0,0,0
9403,0120,9999, ,Albany GA MSA,46,46,3719,6,12,397,3,10,230,1,20,360,46,46,3719,6,12,397,3,10,230,1,20,360
9403,0160,9999, ,Albany-Schenectady-Troy NY MSA,151,151,17616,0,0,0,2,8,100,14,113,2960,133,133,15875,0,0,0,2,8,100,13,108,2777
9403,0200,9999, ,Albuquerque NM MSA,511,511,46707,0,0,0,0,0,0,0,0,0,511,511,46707,0,0,0,0,0,0,0,0,0
9403,0220,9999, ,Alexandria LA MSA,32,32,2859,0,0,0,0,0,0,0,0,0,32,32,2859,0,0,0,0,0,0,0,0,0
9403,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,164,164,17196,0,0,0,0,0,0,2,11,250,164,164,17196,0,0,0,0,0,0,2,11,250
9403,0280,9999, ,Altoona PA MSA,17,17,1111,0,0,0,0,0,0,0,0,0,16,16,1040,0,0,0,0,0,0,0,0,0
9403,0320,9999, ,Amarillo TX MSA,60,60,7010,0,0,0,0,0,0,0,0,0,60,60,7010,0,0,0,0,0,0,0,0,0
9403,0380,9999, ,Anchorage AK MSA,75,75,11771,0,0,0,0,0,0,0,0,0,75,75,11771,0,0,0,0,0,0,0,0,0
9403,0450,9999, ,Anniston AL MSA,10,10,834,1,2,65,0,0,0,0,0,0,3,3,302,1,2,65,0,0,0,0,0,0
9403,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,170,170,17026,20,40,2426,1,4,100,9,120,3308,106,106,10978,16,32,1976,1,4,100,8,112,3136
9403,0480,9999, ,Asheville NC MSA,100,100,10812,3,6,219,0,0,0,0,0,0,100,100,10812,3,6,219,0,0,0,0,0,0
9403,0500,9999, ,Athens GA MSA,92,92,8422,6,12,322,0,0,0,10,77,3090,81,81,7446,6,12,322,0,0,0,10,77,3090
9403,0520,9999, ,Atlanta GA MSA,3649,3649,334762,12,24,699,8,32,753,20,162,6644,3617,3617,333123,12,24,699,8,32,753,20,162,6644
9403,0600,9999, ,Augusta-Aiken GA-SC MSA,294,294,26814,0,0,0,0,0,0,0,0,0,294,294,26814,0,0,0,0,0,0,0,0,0
9403,0640,9999, ,Austin-San Marcos TX MSA,675,675,77453,4,8,292,0,0,0,36,708,23380,655,655,75900,3,6,241,0,0,0,36,708,23380
9403,0680,9999, ,Bakersfield CA MSA,289,289,28657,0,0,0,4,16,1035,0,0,0,289,289,28657,0,0,0,4,16,1035,0,0,0
9403,0730,9999, ,Bangor ME MSA,6,6,511,0,0,0,0,0,0,0,0,0,4,4,353,0,0,0,0,0,0,0,0,0
9403,0740,9999, ,Barnstable-Yarmouth MA MSA,87,87,9983,0,0,0,0,0,0,0,0,0,87,87,9983,0,0,0,0,0,0,0,0,0
9403,0760,9999, ,Baton Rouge LA MSA,197,197,15287,0,0,0,0,0,0,0,0,0,194,194,15073,0,0,0,0,0,0,0,0,0
9403,0840,9999, ,Beaumont-Port Arthur TX MSA,66,66,5786,2,4,159,0,0,0,0,0,0,52,52,4480,2,4,159,0,0,0,0,0,0
9403,0860,9999, ,Bellingham WA MSA,106,106,12813,16,32,3698,1,3,267,1,8,293,99,99,12199,16,32,3698,1,3,267,1,8,293
9403,0870,9999, ,Benton Harbor MI MSA,17,17,2160,0,0,0,1,4,150,0,0,0,8,8,1219,0,0,0,1,4,150,0,0,0
9403,0880,9999, ,Billings MT MSA,48,48,5183,1,2,153,0,0,0,3,15,477,48,48,5183,1,2,153,0,0,0,3,15,477
9403,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,222,222,13738,2,4,150,3,10,400,1,5,128,208,208,12851,2,4,150,3,10,400,1,5,128
9403,0960,9999, ,Binghamton NY MSA,3,3,190,0,0,0,0,0,0,0,0,0,3,3,190,0,0,0,0,0,0,0,0,0
9403,1000,9999, ,Birmingham AL MSA,378,378,40275,0,0,0,0,0,0,1,5,113,292,292,32734,0,0,0,0,0,0,0,0,0
9403,1010,9999, ,Bismarck ND MSA,60,60,5991,0,0,0,0,0,0,1,14,946,60,60,5991,0,0,0,0,0,0,1,14,946
9403,1020,9999, ,Bloomington IN MSA,92,92,9228,4,8,398,0,0,0,0,0,0,92,92,9228,4,8,398,0,0,0,0,0,0
9403,1040,9999, ,Bloomington-Normal IL MSA,97,97,8087,1,2,145,0,0,0,0,0,0,97,97,8087,1,2,145,0,0,0,0,0,0
9403,1080,9999, ,Boise City ID MSA,531,531,50816,3,6,337,20,80,2662,20,236,10294,531,531,50816,3,6,337,20,80,2662,20,236,10294
