Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9003,0040,9999, ,Abilene TX MSA,8,8,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9003,0120,9999, ,Albany GA MSA,13,13,1012,2,4,126,0,0,0,0,0,0,13,13,1012,2,4,126,0,0,0,0,0,0
9003,0160,9999, ,Albany-Schenectady-Troy NY MSA,177,177,17775,2,4,210,3,12,632,6,43,1822,122,122,12299,1,2,90,3,12,632,4,32,1424
9003,0200,9999, ,Albuquerque NM MSA,207,207,16614,0,0,0,1,3,170,1,17,408,41,41,3940,0,0,0,0,0,0,0,0,0
9003,0220,9999, ,Alexandria LA MSA,6,6,470,1,2,15,0,0,0,0,0,0,6,6,470,1,2,15,0,0,0,0,0,0
9003,0240,9999, ,Allentown-Bethlehem PA-NJ MSA,208,208,17956,0,0,0,0,0,0,1,23,398,193,193,17005,0,0,0,0,0,0,1,23,398
9003,0280,9999, ,Altoona PA MSA,14,14,780,0,0,0,1,4,100,0,0,0,8,8,335,0,0,0,1,4,100,0,0,0
9003,0320,9999, ,Amarillo TX MSA,11,11,1249,1,2,147,0,0,0,0,0,0,11,11,1249,1,2,147,0,0,0,0,0,0
9003,0380,9999, ,Anchorage AK MSA,25,25,3990,0,0,0,0,0,0,0,0,0,25,25,3990,0,0,0,0,0,0,0,0,0
9003,0400,9999, ,Anderson IN MSA,9,9,893,1,2,140,0,0,0,0,0,0,9,9,893,1,2,140,0,0,0,0,0,0
9003,0405,9999, ,Anderson SC MSA,68,68,4515,0,0,0,1,4,90,0,0,0,68,68,4515,0,0,0,1,4,90,0,0,0
9003,0450,9999, ,Anniston AL MSA,20,20,1152,2,4,60,1,3,77,0,0,0,11,11,617,2,4,60,0,0,0,0,0,0
9003,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,81,81,6695,4,8,322,1,3,143,4,45,996,44,44,3938,2,4,189,1,3,143,3,40,900
9003,0480,9999, ,Asheville NC MSA,72,72,6412,0,0,0,0,0,0,0,0,0,72,72,6412,0,0,0,0,0,0,0,0,0
9003,0500,9999, ,Athens GA MSA,61,61,4657,1,2,66,1,3,393,2,25,972,28,28,2289,0,0,0,0,0,0,0,0,0
9003,0520,9999, ,Atlanta GA MSA,2620,2620,221034,9,18,521,1,3,45,3,217,6934,2558,2558,217760,8,16,498,0,0,0,2,212,6832
9003,0560,9999, ,Atlantic City NJ MSA,83,83,7348,10,20,1237,0,0,0,6,102,3823,76,76,6593,4,8,369,0,0,0,5,86,2495
9003,0600,9999, ,Augusta GA-SC MSA,202,202,14940,0,0,0,0,0,0,0,0,0,201,201,14910,0,0,0,0,0,0,0,0,0
9003,0640,9999, ,Austin TX MSA,158,158,15758,0,0,0,0,0,0,0,0,0,157,157,15717,0,0,0,0,0,0,0,0,0
9003,0680,9999, ,Bakersfield CA MSA,441,441,39617,0,0,0,2,6,232,3,24,891,441,441,39617,0,0,0,2,6,232,3,24,891
9003,0720,9999, ,Baltimore MD MSA,952,952,70867,0,0,0,0,0,0,6,101,3307,939,939,70043,0,0,0,0,0,0,6,101,3307
9003,0730,9999, ,Bangor ME MSA,23,23,1555,0,0,0,0,0,0,6,48,2082,20,20,1330,0,0,0,0,0,0,6,48,2082
9003,0760,9999, ,Baton Rouge LA MSA,91,91,7009,0,0,0,0,0,0,0,0,0,89,89,6908,0,0,0,0,0,0,0,0,0
9003,0780,9999, ,Battle Creek MI MSA,4,4,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9003,0840,9999, ,Beaumont-Port Arthur TX MSA,11,11,1174,0,0,0,0,0,0,0,0,0,11,11,1174,0,0,0,0,0,0,0,0,0
9003,0860,9999, ,Bellingham WA MSA,61,61,5017,5,10,527,2,7,330,1,20,766,30,30,2924,3,6,296,2,7,330,1,20,766
9003,0870,9999, ,Benton Harbor MI MSA,8,8,1281,0,0,0,0,0,0,0,0,0,8,8,1281,0,0,0,0,0,0,0,0,0
9003,0880,9999, ,Billings MT MSA,15,15,1560,0,0,0,1,4,450,0,0,0,15,15,1560,0,0,0,1,4,450,0,0,0
9003,0920,9999, ,Biloxi-Gulfport MS MSA,45,45,2430,0,0,0,0,0,0,0,0,0,45,45,2430,0,0,0,0,0,0,0,0,0
9003,0960,9999, ,Binghamton NY MSA,26,26,2499,0,0,0,0,0,0,1,64,2500,23,23,2309,0,0,0,0,0,0,1,64,2500
9003,1000,9999, ,Birmingham AL MSA,233,233,24253,1,2,50,0,0,0,1,8,101,218,218,23211,1,2,50,0,0,0,1,8,101
9003,1010,9999, ,Bismarck ND MSA,10,10,867,0,0,0,0,0,0,1,42,1200,9,9,790,0,0,0,0,0,0,1,42,1200
