Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202212,104,10580,C,Albany-Schenectady-Troy  NY ,63,63,22544,0,0,0,0,0,0,19,126,24626,33,33,13200,0,0,0,0,0,0,18,121,24385
202212,104,24020,C,Glens Falls  NY ,10,10,3821,0,0,0,0,0,0,0,0,0,4,4,2347,0,0,0,0,0,0,0,0,0
202212,106,10740,C,Albuquerque  NM ,83,83,20264,0,0,0,1,3,384,3,53,3556,36,36,9774,0,0,0,0,0,0,0,0,0
202212,106,42140,C,Santa Fe  NM ,9,9,2624,0,0,0,0,0,0,3,58,6383,0,0,0,0,0,0,0,0,0,0,0,0
202212,107,11020,C,Altoona  PA ,2,2,260,0,0,0,0,0,0,0,0,0,2,2,260,0,0,0,0,0,0,0,0,0
202212,108,11100,C,Amarillo  TX ,32,32,8328,1,2,260,0,0,0,5,38,4848,31,31,7943,1,2,260,0,0,0,5,38,4848
202212,118,11540,C,Appleton  WI ,16,16,6691,1,2,300,0,0,0,2,13,1124,13,13,5757,1,2,300,0,0,0,0,0,0
202212,118,36780,C,Oshkosh-Neenah  WI ,18,18,8615,1,2,200,0,0,0,0,0,0,16,16,7827,1,2,200,0,0,0,0,0,0
202212,120,11700,C,Asheville  NC ,172,172,60605,0,0,0,0,0,0,4,99,10383,89,89,33557,0,0,0,0,0,0,0,0,0
202212,122,12020,C,Athens-Clarke County  GA ,31,31,11358,1,2,185,0,0,0,1,117,16485,9,9,4801,1,2,185,0,0,0,1,117,16485
202212,122,12060,C,Atlanta-Sandy Springs-Alpharetta  GA ,1176,1176,317956,4,8,755,9,30,4188,32,1719,198771,996,996,277940,3,6,555,8,27,3232,30,1705,196203
202212,122,23580,C,Gainesville  GA ,55,55,12880,0,0,0,0,0,0,3,184,30786,7,7,1565,0,0,0,0,0,0,3,184,30786
202212,122,40660,C,Rome  GA ,23,23,5726,0,0,0,0,0,0,0,0,0,23,23,5726,0,0,0,0,0,0,0,0,0
202212,140,13460,C,Bend  OR ,56,56,23369,8,16,3039,0,0,0,2,287,32492,56,56,23369,8,16,3039,0,0,0,2,287,32492
202212,142,13820,C,Birmingham-Hoover  AL ,182,182,57999,0,0,0,0,0,0,0,0,0,135,135,41372,0,0,0,0,0,0,0,0,0
202212,144,14020,C,Bloomington  IN ,7,7,1468,0,0,0,0,0,0,0,0,0,7,7,1468,0,0,0,0,0,0,0,0,0
202212,145,14010,C,Bloomington  IL ,9,9,2760,1,2,146,0,0,0,0,0,0,5,5,1708,0,0,0,0,0,0,0,0,0
202212,146,14100,C,Bloomsburg-Berwick  PA ,8,8,2625,0,0,0,0,0,0,1,5,454,3,3,1018,0,0,0,0,0,0,0,0,0
202212,147,14260,C,Boise City  ID ,221,221,60356,2,4,764,2,8,906,3,170,30018,209,209,57353,2,4,764,2,8,906,3,170,30018
202212,148,12700,C,Barnstable Town  MA ,48,48,32322,0,0,0,0,0,0,0,0,0,35,35,24678,0,0,0,0,0,0,0,0,0
202212,148,14460,C,Boston-Cambridge-Newton  MA-NH ,319,319,117085,22,44,10223,13,44,9287,54,728,168688,190,190,79278,15,30,7622,10,35,6929,11,383,127172
202212,148,31700,C,Manchester-Nashua  NH ,36,36,10139,2,4,677,0,0,0,1,20,2500,15,15,4469,1,2,400,0,0,0,1,20,2500
202212,148,39300,C,Providence-Warwick  RI-MA ,84,84,21128,8,16,1969,2,6,843,3,15,1234,32,32,10011,5,10,800,2,6,843,0,0,0
202212,148,49340,C,Worcester  MA-CT ,72,72,24002,6,12,2408,0,0,0,6,269,59574,41,41,15461,3,6,988,0,0,0,2,223,53884
202212,150,14540,C,Bowling Green  KY ,42,42,10845,0,0,0,0,0,0,0,0,0,41,41,10695,0,0,0,0,0,0,0,0,0
202212,154,15180,C,Brownsville-Harlingen  TX ,72,72,10847,10,20,1927,2,7,641,4,33,3038,9,9,3071,5,10,1100,0,0,0,0,0,0
202212,160,15380,C,Buffalo-Cheektowaga  NY ,53,53,20399,3,6,1025,0,0,0,2,16,3588,39,39,16767,2,4,725,0,0,0,0,0,0
202212,162,15540,C,Burlington-South Burlington  VT ,19,19,6580,5,10,1300,1,3,595,2,13,1373,8,8,3624,4,8,1000,1,3,595,0,0,0
202212,163,15980,C,Cape Coral-Fort Myers  FL ,465,465,97455,17,34,3746,0,0,0,31,944,96831,269,269,55678,8,16,1383,0,0,0,29,860,90599
202212,163,34940,C,Naples-Marco Island  FL ,244,244,118986,0,0,0,1,4,457,7,320,1297,244,244,118986,0,0,0,1,4,457,7,320,1297
202212,164,16020,C,Cape Girardeau  MO-IL ,6,6,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,168,16300,C,Cedar Rapids  IA ,23,23,7134,0,0,0,0,0,0,0,0,0,22,22,7053,0,0,0,0,0,0,0,0,0
202212,168,26980,C,Iowa City  IA ,22,22,7541,2,4,1080,0,0,0,1,7,1003,12,12,5065,2,4,1080,0,0,0,0,0,0
202212,170,16620,C,Charleston  WV ,10,10,671,0,0,0,0,0,0,0,0,0,8,8,388,0,0,0,0,0,0,0,0,0
202212,170,26580,C,Huntington-Ashland  WV-KY-OH ,13,13,2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202212,172,16740,C,Charlotte-Concord-Gastonia  NC-SC ,1087,1087,292856,39,78,20020,0,0,0,9,525,93348,961,961,255996,39,78,20020,0,0,0,6,467,86301
