Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201501,104,10580,C,Albany-Schenectady-Troy  NY ,49,49,12564,0,0,0,2,7,325,3,15,838,38,38,10312,0,0,0,1,4,100,1,5,100
201501,104,24020, ,Glens Falls  NY ,10,10,1864,0,0,0,0,0,0,0,0,0,6,6,1449,0,0,0,0,0,0,0,0,0
201501,106,10740,C,Albuquerque  NM ,135,135,26074,0,0,0,2,6,503,1,5,208,72,72,14822,0,0,0,0,0,0,0,0,0
201501,106,42140,C,Santa Fe  NM ,6,6,1427,0,0,0,0,0,0,0,0,0,6,6,1427,0,0,0,0,0,0,0,0,0
201501,108,11100, ,Amarillo  TX ,32,32,7986,0,0,0,0,0,0,29,300,24337,32,32,7986,0,0,0,0,0,0,29,300,24337
201501,118,11540, ,Appleton  WI ,12,12,2678,0,0,0,4,16,1461,0,0,0,12,12,2678,0,0,0,4,16,1461,0,0,0
201501,118,36780, ,Oshkosh-Neenah  WI ,17,17,5127,0,0,0,0,0,0,1,73,9000,17,17,5127,0,0,0,0,0,0,1,73,9000
201501,120,11700, ,Asheville  NC ,90,90,22262,0,0,0,0,0,0,1,5,160,26,26,6570,0,0,0,0,0,0,0,0,0
201501,122,12020, ,Athens-Clarke County  GA ,42,42,10971,0,0,0,0,0,0,0,0,0,42,42,10971,0,0,0,0,0,0,0,0,0
201501,122,12060, ,Atlanta-Sandy Springs-Roswell  GA ,1269,1269,267903,2,4,728,2,8,1836,11,297,23167,1213,1213,255887,2,4,728,2,8,1836,9,273,20348
201501,122,23580, ,Gainesville  GA ,42,42,8923,0,0,0,0,0,0,0,0,0,42,42,8923,0,0,0,0,0,0,0,0,0
201501,140,13460, ,Bend-Redmond  OR ,100,100,29786,3,6,1090,0,0,0,0,0,0,93,93,28490,3,6,1090,0,0,0,0,0,0
201501,142,13820,C,Birmingham-Hoover  AL ,187,187,48337,0,0,0,0,0,0,2,41,8800,152,152,40103,0,0,0,0,0,0,1,36,8482
201501,144,14020,C,Bloomington  IN ,8,8,1450,1,2,205,0,0,0,2,12,955,0,0,0,0,0,0,0,0,0,0,0,0
201501,145,14010, ,Bloomington  IL ,11,11,2107,0,0,0,0,0,0,1,7,369,2,2,280,0,0,0,0,0,0,0,0,0
201501,146,14100,C,Bloomsburg-Berwick  PA ,4,4,766,0,0,0,0,0,0,0,0,0,1,1,181,0,0,0,0,0,0,0,0,0
201501,147,14260,C,Boise City  ID ,277,277,66569,0,0,0,5,20,1154,0,0,0,277,277,66569,0,0,0,5,20,1154,0,0,0
201501,148,12700, ,Barnstable Town  MA ,7,7,2684,0,0,0,0,0,0,0,0,0,5,5,1799,0,0,0,0,0,0,0,0,0
201501,148,14460,C,Boston-Cambridge-Newton  MA-NH ,233,233,67086,13,26,4296,2,6,975,31,1200,161743,162,162,48744,10,20,3364,0,0,0,18,977,129603
201501,148,31700, ,Manchester-Nashua  NH ,17,17,3157,0,0,0,0,0,0,0,0,0,14,14,2552,0,0,0,0,0,0,0,0,0
201501,148,39300,C,Providence-Warwick  RI-MA ,74,74,13962,0,0,0,0,0,0,2,17,3112,54,54,10791,0,0,0,0,0,0,0,0,0
201501,148,49340, ,Worcester  MA-CT ,9,9,1795,0,0,0,0,0,0,1,10,467,4,4,750,0,0,0,0,0,0,0,0,0
201501,150,14540, ,Bowling Green  KY ,37,37,7977,0,0,0,0,0,0,0,0,0,37,37,7977,0,0,0,0,0,0,0,0,0
201501,154,15180, ,Brownsville-Harlingen  TX ,39,39,3901,1,2,81,0,0,0,0,0,0,39,39,3901,1,2,81,0,0,0,0,0,0
201501,160,15380,C,Buffalo-Cheektowaga-Niagara Falls  NY ,54,54,13868,0,0,0,3,12,1894,5,53,4400,37,37,10674,0,0,0,3,12,1894,3,43,3445
201501,162,15980,C,Cape Coral-Fort Myers  FL ,254,254,68802,0,0,0,5,20,3700,27,400,30260,254,254,68802,0,0,0,5,20,3700,27,400,30260
201501,162,34940, ,Naples-Immokalee-Marco Island  FL ,171,171,40154,0,0,0,4,16,2966,4,24,2966,171,171,40154,0,0,0,4,16,2966,4,24,2966
201501,164,16020, ,Cape Girardeau  MO-IL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,168,16300, ,Cedar Rapids  IA ,11,11,1304,1,2,173,0,0,0,0,0,0,10,10,1154,1,2,173,0,0,0,0,0,0
201501,168,26980, ,Iowa City  IA ,10,10,3359,0,0,0,0,0,0,0,0,0,9,9,3222,0,0,0,0,0,0,0,0,0
201501,170,16620, ,Charleston  WV ,7,7,2621,0,0,0,0,0,0,1,14,1050,6,6,2490,0,0,0,0,0,0,1,14,1050
201501,170,26580, ,Huntington-Ashland  WV-KY-OH ,1,1,47,0,0,0,2,6,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,874,874,211263,2,4,297,1,4,449,9,197,12569,786,786,186561,2,4,297,1,4,449,8,190,11780
201501,174,16860, ,Chattanooga  TN-GA ,118,118,18656,0,0,0,0,0,0,0,0,0,118,118,18656,0,0,0,0,0,0,0,0,0
201501,174,17420, ,Cleveland  TN ,20,20,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201501,176,16980, ,Chicago-Naperville-Elgin  IL-IN-WI ,321,321,94805,0,0,0,2,7,890,8,88,22073,286,286,85018,0,0,0,2,7,890,7,83,21817
