Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202406,146,14100,5,Bloomsburg-Berwick  PA ,6,6,1607,0,0,0,0,0,0,0,0,0,2,2,382,0,0,0,0,0,0,0,0,0
202406,146,30260,5,Lewisburg  PA ,4,4,1900,0,0,0,0,0,0,0,0,0,2,2,1055,0,0,0,0,0,0,0,0,0
202406,146,42780,5,Selinsgrove  PA ,5,5,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,146,44980,5,Sunbury  PA ,6,6,1854,0,0,0,0,0,0,0,0,0,2,2,820,0,0,0,0,0,0,0,0,0
202406,147,14260,2,Boise City  ID ,695,695,196345,7,14,1757,4,14,1728,2,37,4982,530,530,146421,6,12,1455,2,8,1098,1,24,2790
202406,147,34300,5,Mountain Home  ID ,3,3,885,0,0,0,0,0,0,0,0,0,1,1,414,0,0,0,0,0,0,0,0,0
202406,147,36620,5,Ontario  OR-ID ,16,16,4289,0,0,0,2,8,1000,0,0,0,11,11,2723,0,0,0,2,8,1000,0,0,0
202406,148,12700,2,Barnstable Town  MA ,50,50,34087,1,2,622,1,3,750,0,0,0,38,38,26775,1,2,622,1,3,750,0,0,0
202406,148,14460,2,Boston-Cambridge-Newton  MA-NH ,395,395,166569,22,44,12378,6,18,4380,35,661,141595,259,259,115949,16,32,9411,5,15,3968,22,538,118006
202406,148,18180,5,Concord  NH ,27,27,9053,2,4,678,0,0,0,1,6,887,11,11,4131,1,2,337,0,0,0,1,6,887
202406,148,29060,5,Laconia  NH ,22,22,9833,0,0,0,0,0,0,1,5,1950,13,13,5995,0,0,0,0,0,0,1,5,1950
202406,148,31700,2,Manchester-Nashua  NH ,38,38,14563,1,2,594,0,0,0,2,41,8240,16,16,8546,0,0,0,0,0,0,0,0,0
202406,148,39300,2,Providence-Warwick  RI-MA ,156,156,48526,6,12,2035,2,6,840,0,0,0,83,83,28459,2,4,837,2,6,840,0,0,0
202406,148,49340,2,Worcester  MA ,146,146,51760,2,4,1016,0,0,0,2,31,3417,100,100,35789,1,2,300,0,0,0,1,26,3000
202406,150,14540,2,Bowling Green  KY ,74,74,10089,0,0,0,4,12,1500,0,0,0,74,74,10089,0,0,0,4,12,1500,0,0,0
202406,150,23190,5,Franklin  KY ,12,12,2583,0,0,0,0,0,0,0,0,0,12,12,2583,0,0,0,0,0,0,0,0,0
202406,150,23980,5,Glasgow  KY ,12,12,4100,0,0,0,0,0,0,0,0,0,12,12,4100,0,0,0,0,0,0,0,0,0
202406,152,15060,5,Brookings  OR ,6,6,1978,0,0,0,0,0,0,0,0,0,6,6,1978,0,0,0,0,0,0,0,0,0
202406,152,18860,5,Crescent City  CA ,2,2,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,154,15180,2,Brownsville-Harlingen  TX ,144,144,25803,8,16,2090,2,6,533,1,5,411,32,32,5064,3,6,823,0,0,0,0,0,0
202406,154,39700,5,Raymondville  TX ,4,4,1356,0,0,0,0,0,0,0,0,0,4,4,1356,0,0,0,0,0,0,0,0,0
202406,160,15380,2,Buffalo-Cheektowaga  NY ,83,83,31034,0,0,0,3,11,2873,5,92,8602,68,68,26759,0,0,0,2,8,2400,4,82,6360
202406,160,36460,5,Olean  NY ,11,11,2546,0,0,0,0,0,0,0,0,0,2,2,800,0,0,0,0,0,0,0,0,0
202406,161,15460,5,Burlington  IA-IL ,0,0,0,0,0,0,0,0,0,1,5,699,0,0,0,0,0,0,0,0,0,0,0,0
202406,161,22800,5,Fort Madison  IA ,2,2,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,162,12740,5,Barre  VT ,16,16,6014,0,0,0,0,0,0,0,0,0,4,4,2180,0,0,0,0,0,0,0,0,0
202406,162,15540,2,Burlington-South Burlington  VT ,42,42,16906,3,6,1196,0,0,0,2,44,7231,22,22,10624,1,2,550,0,0,0,1,39,7000
202406,163,15980,2,Cape Coral-Fort Myers  FL ,931,931,248228,9,18,3145,0,0,0,11,331,112357,931,931,248228,9,18,3145,0,0,0,11,331,112357
202406,163,17500,5,Clewiston  FL ,65,65,11272,0,0,0,0,0,0,0,0,0,65,65,11272,0,0,0,0,0,0,0,0,0
202406,163,34940,2,Naples-Marco Island  FL ,248,248,117156,1,2,703,1,4,612,3,41,50933,6,6,7265,0,0,0,0,0,0,0,0,0
202406,164,16020,2,Cape Girardeau  MO-IL ,8,8,2417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,164,43460,5,Sikeston  MO ,20,20,2317,4,8,548,0,0,0,0,0,0,17,17,1710,4,8,548,0,0,0,0,0,0
202406,166,16060,5,Carbondale  IL ,1,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,166,32060,5,Marion-Herrin  IL ,8,8,1349,0,0,0,1,3,220,0,0,0,5,5,918,0,0,0,0,0,0,0,0,0
202406,168,16300,2,Cedar Rapids  IA ,37,37,12439,3,6,1090,0,0,0,2,227,37074,34,34,11483,3,6,1090,0,0,0,2,227,37074
202406,168,26980,2,Iowa City  IA ,34,34,12983,1,2,329,0,0,0,1,5,966,18,18,8557,0,0,0,0,0,0,0,0,0
202406,169,16580,2,Champaign-Urbana  IL ,13,13,5259,0,0,0,0,0,0,1,115,17582,11,11,4705,0,0,0,0,0,0,1,115,17582
202406,169,19180,5,Danville  IL ,3,3,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202406,170,16620,2,Charleston  WV ,6,6,638,0,0,0,0,0,0,0,0,0,4,4,400,0,0,0,0,0,0,0,0,0
202406,170,26580,2,Huntington-Ashland  WV-KY-OH ,19,19,4002,0,0,0,1,3,286,0,0,0,1,1,340,0,0,0,0,0,0,0,0,0
