Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201210,102,18700, ,Corvallis  OR ,4,4,961,2,4,614,2,8,527,2,23,2545,0,0,0,0,0,0,0,0,0,0,0,0
201210,104,10580, ,Albany-Schenectady-Troy  NY ,85,85,21591,0,0,0,0,0,0,14,193,38471,72,72,18633,0,0,0,0,0,0,11,171,37665
201210,104,24020, ,Glens Falls  NY ,22,22,4880,0,0,0,0,0,0,0,0,0,13,13,2897,0,0,0,0,0,0,0,0,0
201210,112,11180, ,Ames  IA ,16,16,2452,0,0,0,0,0,0,1,12,866,16,16,2452,0,0,0,0,0,0,1,12,866
201210,118,11540, ,Appleton  WI ,51,51,11434,1,2,220,0,0,0,5,52,2247,50,50,11252,1,2,220,0,0,0,4,40,1694
201210,118,36780, ,Oshkosh-Neenah  WI ,12,12,2723,0,0,0,0,0,0,0,0,0,12,12,2723,0,0,0,0,0,0,0,0,0
201210,120,11700, ,Asheville  NC ,106,106,21845,0,0,0,0,0,0,0,0,0,90,90,18571,0,0,0,0,0,0,0,0,0
201210,122,12060,C,Atlanta-Sandy Springs-Marietta  GA ,1033,1033,201308,0,0,0,0,0,0,17,542,80459,980,980,190974,0,0,0,0,0,0,17,542,80459
201210,122,23580, ,Gainesville  GA ,30,30,4974,0,0,0,0,0,0,0,0,0,30,30,4974,0,0,0,0,0,0,0,0,0
201210,126,12420,C,Austin-Round Rock-San Marcos  TX ,739,739,125960,8,16,2426,2,8,939,44,1383,85116,639,639,111033,8,16,2426,2,8,939,29,1247,75997
201210,132,12940, ,Baton Rouge  LA ,280,280,50736,1,2,158,0,0,0,2,10,815,131,131,28420,0,0,0,0,0,0,0,0,0
201210,140,13460,C,Bend  OR ,75,75,18918,3,6,871,0,0,0,0,0,0,75,75,18918,3,6,871,0,0,0,0,0,0
201210,142,13820,C,Birmingham-Hoover  AL ,146,146,31439,0,0,0,1,4,560,0,0,0,111,111,23753,0,0,0,1,4,560,0,0,0
201210,148,14460,C,Boston-Cambridge-Quincy  MA-NH ,396,396,120137,17,34,3106,4,13,2263,19,251,29775,292,292,93549,10,20,2230,3,10,1583,9,166,22338
201210,148,31700, ,Manchester-Nashua  NH ,32,32,5075,1,2,285,0,0,0,0,0,0,26,26,3981,1,2,285,0,0,0,0,0,0
201210,148,39300, ,Providence-New Bedford-Fall River  RI-MA ,86,86,15955,2,4,319,1,3,130,0,0,0,57,57,10501,1,2,160,0,0,0,0,0,0
201210,148,49340, ,Worcester  MA ,57,57,12787,0,0,0,0,0,0,0,0,0,40,40,9156,0,0,0,0,0,0,0,0,0
201210,154,15180, ,Brownsville-Harlingen  TX ,78,78,8719,4,8,493,0,0,0,0,0,0,65,65,7072,4,8,493,0,0,0,0,0,0
201210,160,15380, ,Buffalo-Niagara Falls  NY ,59,59,13684,0,0,0,1,3,493,4,32,2660,50,50,10923,0,0,0,0,0,0,4,32,2660
201210,164,16020, ,Cape Girardeau-Jackson  MO-IL ,11,11,2269,1,2,365,0,0,0,0,0,0,4,4,1212,1,2,365,0,0,0,0,0,0
201210,172,16740,C,Charlotte-Gastonia-Rock Hill  NC-SC ,583,583,114286,0,0,0,11,41,1666,6,506,14570,576,576,112554,0,0,0,11,41,1666,6,506,14570
201210,174,16860, ,Chattanooga  TN-GA ,88,88,14323,1,2,92,0,0,0,1,9,837,60,60,10021,0,0,0,0,0,0,0,0,0
201210,174,17420, ,Cleveland  TN ,32,32,3673,0,0,0,1,3,250,0,0,0,32,32,3673,0,0,0,1,3,250,0,0,0
201210,176,16980,C,Chicago-Joliet-Naperville  IL-IN-WI ,667,667,173019,8,16,2011,6,20,2711,15,418,70089,584,584,153774,7,14,1775,5,16,2225,14,407,69524
201210,176,28100, ,Kankakee-Bradley  IL ,2,2,405,0,0,0,0,0,0,0,0,0,2,2,405,0,0,0,0,0,0,0,0,0
201210,176,33140, ,Michigan City-La Porte  IN ,6,6,1522,0,0,0,0,0,0,0,0,0,6,6,1522,0,0,0,0,0,0,0,0,0
201210,178,17140,C,Cincinnati-Middletown  OH-KY-IN ,250,250,48301,0,0,0,0,0,0,12,146,9748,183,183,33572,0,0,0,0,0,0,10,108,7254
201210,184,10420, ,Akron  OH ,38,38,10474,0,0,0,0,0,0,0,0,0,38,38,10474,0,0,0,0,0,0,0,0,0
201210,184,17460,C,Cleveland-Elyria-Mentor  OH ,196,196,37701,0,0,0,0,0,0,2,16,1398,146,146,27871,0,0,0,0,0,0,1,8,550
201210,192,17900,C,Columbia  SC ,247,247,43700,0,0,0,0,0,0,4,53,3824,59,59,14008,0,0,0,0,0,0,0,0,0
201210,194,12220,C,Auburn-Opelika  AL ,44,44,13757,0,0,0,0,0,0,0,0,0,44,44,13757,0,0,0,0,0,0,0,0,0
201210,194,17980, ,Columbus  GA-AL ,52,52,8368,0,0,0,1,4,182,2,16,1214,28,28,5828,0,0,0,0,0,0,0,0,0
201210,198,18140,C,Columbus  OH ,305,305,56007,9,18,2030,4,14,1576,20,317,26104,290,290,52955,9,18,2030,4,14,1576,20,317,26104
201210,204,18580, ,Corpus Christi  TX ,83,83,12996,0,0,0,1,3,307,3,29,1717,9,9,1085,0,0,0,0,0,0,0,0,0
201210,206,19100,C,Dallas-Fort Worth-Arlington  TX ,1666,1666,416632,2,4,1062,6,22,2269,28,1312,106296,1528,1528,379376,2,4,1062,6,22,2269,28,1312,106296
201210,206,43300, ,Sherman-Denison  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
