Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200803,220,22420, ,Flint  MI ,4,4,654,0,0,0,0,0,0,0,0,0,3,3,470,0,0,0,0,0,0,0,0,0
200803,220,33780, ,Monroe  MI ,8,8,1296,0,0,0,0,0,0,0,0,0,8,8,1296,0,0,0,0,0,0,0,0,0
200803,222,20020, ,Dothan  AL ,24,24,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,232,20740, ,Eau Claire  WI ,10,10,1489,0,0,0,1,4,250,0,0,0,10,10,1489,0,0,0,1,4,250,0,0,0
200803,244,22020, ,Fargo  ND-MN ,11,11,1863,0,0,0,0,0,0,2,84,4650,11,11,1863,0,0,0,0,0,0,2,84,4650
200803,252,22540, ,Fond du Lac  WI ,2,2,428,0,0,0,0,0,0,1,5,241,1,1,230,0,0,0,0,0,0,0,0,0
200803,258,23060,C,Fort Wayne  IN ,56,56,9545,0,0,0,0,0,0,0,0,0,56,56,9545,0,0,0,0,0,0,0,0,0
200803,260,23420, ,Fresno  CA ,141,141,27687,0,0,0,2,6,438,1,5,307,70,70,15406,0,0,0,0,0,0,0,0,0
200803,260,31460, ,Madera  CA ,19,19,3504,0,0,0,0,0,0,0,0,0,19,19,3504,0,0,0,0,0,0,0,0,0
200803,266,24340,C,Grand Rapids-Wyoming  MI ,81,81,14163,0,0,0,0,0,0,0,0,0,57,57,10898,0,0,0,0,0,0,0,0,0
200803,266,26100, ,Holland-Grand Haven  MI ,26,26,5339,0,0,0,0,0,0,0,0,0,17,17,3698,0,0,0,0,0,0,0,0,0
200803,266,34740, ,Muskegon-Norton Shores  MI ,5,5,1220,0,0,0,0,0,0,0,0,0,5,5,1220,0,0,0,0,0,0,0,0,0
200803,268,15500, ,Burlington  NC ,68,68,10690,0,0,0,0,0,0,2,48,1360,68,68,10690,0,0,0,0,0,0,2,48,1360
200803,268,24660,C,Greensboro-High Point  NC ,236,236,36797,0,0,0,1,3,67,11,192,7807,180,180,24278,0,0,0,0,0,0,11,192,7807
200803,268,49180, ,Winston-Salem  NC ,120,120,21457,0,0,0,0,0,0,7,168,3430,105,105,18840,0,0,0,0,0,0,7,168,3430
200803,273,11340, ,Anderson  SC ,74,74,12495,0,0,0,0,0,0,0,0,0,74,74,12495,0,0,0,0,0,0,0,0,0
200803,273,24860,C,Greenville  SC ,197,197,28145,8,16,1531,0,0,0,3,56,5728,42,42,9715,8,16,1531,0,0,0,2,47,4876
200803,273,43900, ,Spartanburg  SC ,100,100,11148,0,0,0,0,0,0,0,0,0,100,100,11148,0,0,0,0,0,0,0,0,0
200803,274,25060, ,Gulfport-Biloxi  MS ,194,194,22208,9,18,20433,3,12,948,8,300,12167,145,145,15690,9,18,20433,3,12,948,8,300,12167
200803,274,37700, ,Pascagoula  MS ,60,60,8582,0,0,0,1,3,75,2,22,1606,26,26,4172,0,0,0,0,0,0,2,22,1606
200803,276,25420, ,Harrisburg-Carlisle  PA ,87,87,14050,0,0,0,0,0,0,0,0,0,76,76,12121,0,0,0,0,0,0,0,0,0
200803,276,30140, ,Lebanon  PA ,30,30,5156,0,0,0,0,0,0,0,0,0,27,27,4632,0,0,0,0,0,0,0,0,0
200803,278,25540, ,Hartford-West Hartford-East Hartford  CT ,99,99,21504,2,4,272,0,0,0,6,52,3938,69,69,16354,0,0,0,0,0,0,2,18,1896
200803,288,26420,C,Houston-Sugar Land-Baytown  TX ,2950,2950,529989,4,8,715,24,95,9477,95,2057,197833,2813,2813,505700,3,6,544,23,92,9477,93,2031,196884
200803,290,19460, ,Decatur  AL ,15,15,2549,0,0,0,0,0,0,0,0,0,15,15,2549,0,0,0,0,0,0,0,0,0
200803,290,26620, ,Huntsville  AL ,255,255,22259,0,0,0,0,0,0,0,0,0,155,155,8172,0,0,0,0,0,0,0,0,0
200803,292,26820, ,Idaho Falls  ID ,45,45,5169,0,0,0,0,0,0,0,0,0,45,45,5169,0,0,0,0,0,0,0,0,0
200803,294,11300, ,Anderson  IN ,9,9,1656,0,0,0,0,0,0,0,0,0,2,2,356,0,0,0,0,0,0,0,0,0
200803,294,18020, ,Columbus  IN ,20,20,4862,0,0,0,0,0,0,0,0,0,20,20,4862,0,0,0,0,0,0,0,0,0
200803,294,26900,C,Indianapolis-Carmel  IN ,410,410,81312,2,4,449,5,18,2251,2,11,791,384,384,76159,2,4,449,5,18,2251,1,6,502
200803,296,27060, ,Ithaca  NY ,2,2,324,1,2,100,0,0,0,3,79,17597,2,2,324,1,2,100,0,0,0,2,74,17280
