Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9902,1122,6450,,Portsmouth-Rochester  NH-ME PMSA ,73,73,10227,1,2,123,0,0,0,0,0,0,47,47,6336,0,0,0,0,0,0,0,0,0
9902,1122,9240,,Worcester  MA-CT PMSA ,117,117,13804,1,2,124,0,0,0,0,0,0,89,89,10365,1,2,124,0,0,0,0,0,0
9902,1240,9999,,Brownsville-Harlingen-San Benito  TX MSA ,157,157,10041,0,0,0,0,0,0,8,64,2672,106,106,7251,0,0,0,0,0,0,8,64,2672
9902,1260,9999,,Bryan-College Station  TX MSA ,71,71,5936,3,6,294,0,0,0,2,22,985,0,0,0,0,0,0,0,0,0,0,0,0
9902,1280,9999,,Buffalo-Niagara Falls  NY MSA ,83,83,11164,0,0,0,0,0,0,6,52,1717,66,66,8467,0,0,0,0,0,0,5,40,1460
9902,1305,9999,,Burlington  VT MSA ,28,28,3903,0,0,0,0,0,0,0,0,0,18,18,2665,0,0,0,0,0,0,0,0,0
9902,1320,9999,,Canton-Massillon  OH MSA ,77,77,10546,0,0,0,0,0,0,0,0,0,73,73,10146,0,0,0,0,0,0,0,0,0
9902,1350,9999,,Casper  WY MSA ,4,4,492,0,0,0,0,0,0,0,0,0,4,4,492,0,0,0,0,0,0,0,0,0
9902,1360,9999,,Cedar Rapids  IA MSA ,30,30,2983,8,16,1521,2,8,445,2,12,692,30,30,2983,8,16,1521,2,8,445,2,12,692
9902,1400,9999,,Champaign-Urbana  IL MSA ,18,18,2469,1,2,188,1,3,295,14,177,10213,18,18,2469,1,2,188,1,3,295,14,177,10213
9902,1440,9999,,Charleston-North Charleston  SC MSA ,323,323,44312,0,0,0,1,3,225,3,36,2175,222,222,29480,0,0,0,1,3,225,1,8,478
9902,1480,9999,,Charleston  WV MSA ,23,23,2753,0,0,0,0,0,0,0,0,0,16,16,1599,0,0,0,0,0,0,0,0,0
9902,1520,9999,,Charlotte-Gastonia-Rock Hill  NC-SC MSA ,1383,1383,155204,8,16,951,0,0,0,19,391,14913,1345,1345,151080,7,14,869,0,0,0,19,391,14913
9902,1540,9999,,Charlottesville  VA MSA ,81,81,11203,2,4,321,1,3,196,1,21,640,15,15,1990,0,0,0,0,0,0,0,0,0
9902,1560,9999,,Chattanooga  TN-GA MSA ,214,214,20563,1,2,85,0,0,0,1,5,260,210,210,20229,1,2,85,0,0,0,0,0,0
9902,1580,9999,,Cheyenne  WY MSA ,43,43,4667,0,0,0,0,0,0,0,0,0,43,43,4667,0,0,0,0,0,0,0,0,0
9902,1602,1600,,Chicago  IL PMSA ,1715,1715,250023,11,22,1703,27,91,7951,31,418,22150,1616,1616,233796,9,18,1425,25,85,7513,27,392,20675
9902,1602,2960,,Gary  IN PMSA ,138,138,18435,5,10,674,1,3,136,1,8,384,129,129,16486,5,10,674,0,0,0,1,8,384
9902,1602,3740,,Kankakee  IL PMSA ,27,27,3120,3,6,435,0,0,0,0,0,0,24,24,2736,3,6,435,0,0,0,0,0,0
9902,1602,3800,,Kenosha  WI PMSA ,38,38,5371,2,4,325,1,4,250,0,0,0,38,38,5371,2,4,325,1,4,250,0,0,0
9902,1620,9999,,Chico-Paradise  CA MSA ,57,57,6483,0,0,0,1,3,57,0,0,0,57,57,6483,0,0,0,1,3,57,0,0,0
9902,1642,1640,,Cincinnati  OH-KY-IN PMSA ,633,633,71557,2,4,217,6,23,1577,15,129,5950,556,556,63838,1,2,120,6,23,1577,11,103,4871
9902,1642,3200,,Hamilton-Middletown  OH PMSA ,156,156,20210,3,6,263,1,3,181,1,5,170,134,134,18071,1,2,80,0,0,0,0,0,0
9902,1660,9999,,Clarksville-Hopkinsville  TN-KY MSA ,111,111,7323,0,0,0,1,4,140,1,8,168,111,111,7323,0,0,0,1,4,140,1,8,168
9902,1692,0080,,Akron  OH PMSA ,158,158,28264,7,14,1030,2,6,450,2,16,481,122,122,22634,7,14,1030,1,3,300,0,0,0
9902,1692,1680,,Cleveland-Lorain-Elyria  OH PMSA ,386,386,68383,5,10,715,7,24,1923,3,15,953,264,264,51699,4,8,578,5,17,1516,0,0,0
9902,1720,9999,,Colorado Springs  CO MSA ,358,358,43802,2,4,345,2,8,280,0,0,0,358,358,43802,2,4,345,2,8,280,0,0,0
9902,1740,9999,,Columbia  MO MSA ,62,62,6073,0,0,0,0,0,0,0,0,0,62,62,6073,0,0,0,0,0,0,0,0,0
9902,1760,9999,,Columbia  SC MSA ,312,312,59409,0,0,0,0,0,0,1,16,600,312,312,59409,0,0,0,0,0,0,1,16,600
9902,1800,9999,,Columbus  GA-AL MSA ,82,82,9489,3,6,55,0,0,0,0,0,0,82,82,9489,3,6,55,0,0,0,0,0,0
9902,1840,9999,,Columbus  OH MSA ,497,497,68249,5,10,521,12,45,1214,11,119,3295,219,219,35783,0,0,0,1,3,350,1,5,214
9902,1880,9999,,Corpus Christi  TX MSA ,46,46,5181,0,0,0,0,0,0,0,0,0,46,46,5181,0,0,0,0,0,0,0,0,0
9902,1900,9999,,Cumberland  MD-WV MSA ,9,9,721,0,0,0,0,0,0,0,0,0,9,9,721,0,0,0,0,0,0,0,0,0
9902,1922,1920,,Dallas  TX PMSA ,1945,1945,293527,1,2,89,1,4,550,88,1453,58517,1606,1606,244015,0,0,0,1,4,550,86,1355,54957
9902,1922,2800,,Fort Worth-Arlington  TX PMSA ,889,889,101110,7,14,514,0,0,0,0,0,0,709,709,74000,7,14,514,0,0,0,0,0,0
9902,1950,9999,,Danville  VA MSA ,27,27,3018,0,0,0,0,0,0,0,0,0,2,2,550,0,0,0,0,0,0,0,0,0
9902,1960,9999,,Davenport-Moline-Rock Island  IA-IL MSA ,43,43,5109,0,0,0,0,0,0,0,0,0,43,43,5109,0,0,0,0,0,0,0,0,0
9902,2000,9999,,Dayton-Springfield  OH MSA ,110,110,16277,0,0,0,6,24,1072,1,16,512,95,95,14412,0,0,0,6,24,1072,1,16,512
9902,2020,9999,,Daytona Beach  FL MSA ,326,326,30334,0,0,0,0,0,0,1,5,924,225,225,23645,0,0,0,0,0,0,0,0,0
