cbsa_code,date,unemployment_rate_sa,seasonal_adjustment_source,preliminary_flag,laus_source,raw_line_number
10180,1995-04-01,4.8,official BLS smoothed SA metro table,0,ssamatab1.txt,25079
10180,1995-05-01,4.9,official BLS smoothed SA metro table,0,ssamatab1.txt,25472
10180,1995-06-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,25865
10180,1995-07-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,26258
10180,1995-08-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,26651
10180,1995-09-01,4.9,official BLS smoothed SA metro table,0,ssamatab1.txt,27044
10180,1995-10-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,27437
10180,1995-11-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,27830
10180,1995-12-01,5.1,official BLS smoothed SA metro table,0,ssamatab1.txt,28223
10180,1996-01-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,28616
10180,1996-02-01,5.2,official BLS smoothed SA metro table,0,ssamatab1.txt,29009
10180,1996-03-01,5.1,official BLS smoothed SA metro table,0,ssamatab1.txt,29402
10180,1996-04-01,5.0,official BLS smoothed SA metro table,0,ssamatab1.txt,29795
10180,1996-05-01,4.8,official BLS smoothed SA metro table,0,ssamatab1.txt,30188
10180,1996-06-01,4.7,official BLS smoothed SA metro table,0,ssamatab1.txt,30581
10180,1996-07-01,4.5,official BLS smoothed SA metro table,0,ssamatab1.txt,30974
10180,1996-08-01,4.4,official BLS smoothed SA metro table,0,ssamatab1.txt,31367
10180,1996-09-01,4.3,official BLS smoothed SA metro table,0,ssamatab1.txt,31760
10180,1996-10-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,32153
10180,1996-11-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,32546
10180,1996-12-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,32939
10180,1997-01-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,33332
10180,1997-02-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,33725
10180,1997-03-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,34118
10180,1997-04-01,4.2,official BLS smoothed SA metro table,0,ssamatab1.txt,34511
10180,1997-05-01,4.1,official BLS smoothed SA metro table,0,ssamatab1.txt,34904
10180,1997-06-01,4.0,official BLS smoothed SA metro table,0,ssamatab1.txt,35297
10180,1997-07-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,35690
10180,1997-08-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,36083
10180,1997-09-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,36476
10180,1997-10-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,36869
10180,1997-11-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,37262
10180,1997-12-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,37655
10180,1998-01-01,3.4,official BLS smoothed SA metro table,0,ssamatab1.txt,38048
10180,1998-02-01,3.4,official BLS smoothed SA metro table,0,ssamatab1.txt,38441
10180,1998-03-01,3.4,official BLS smoothed SA metro table,0,ssamatab1.txt,38834
10180,1998-04-01,3.5,official BLS smoothed SA metro table,0,ssamatab1.txt,39227
10180,1998-05-01,3.6,official BLS smoothed SA metro table,0,ssamatab1.txt,39620
10180,1998-06-01,3.7,official BLS smoothed SA metro table,0,ssamatab1.txt,40013
10180,1998-07-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,40406
10180,1998-08-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,40799
10180,1998-09-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,41192
10180,1998-10-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,41585
10180,1998-11-01,3.9,official BLS smoothed SA metro table,0,ssamatab1.txt,41978
10180,1998-12-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,42371
10180,1999-01-01,3.8,official BLS smoothed SA metro table,0,ssamatab1.txt,42764
