Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9304,0040,9999, ,Abilene TX MSA,21,21,1958,0,0,0,0,0,0,0,0,0,21,21,1958,0,0,0,0,0,0,0,0,0
9304,0120,9999, ,Albany GA MSA,21,21,1701,3,6,159,0,0,0,0,0,0,21,21,1701,3,6,159,0,0,0,0,0,0
9304,0160,9999, ,Albany-Schenectady-Troy NY MSA,208,208,22682,0,0,0,0,0,0,4,37,1055,171,171,19267,0,0,0,0,0,0,3,32,1020
9304,0200,9999, ,Albuquerque NM MSA,312,312,26527,0,0,0,0,0,0,1,6,228,48,48,4616,0,0,0,0,0,0,0,0,0
9304,0220,9999, ,Alexandria LA MSA,7,7,781,0,0,0,0,0,0,0,0,0,7,7,781,0,0,0,0,0,0,0,0,0
9304,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,203,203,21177,1,2,90,0,0,0,3,27,1180,174,174,18318,1,2,90,0,0,0,2,22,1032
9304,0280,9999, ,Altoona PA MSA,12,12,987,0,0,0,0,0,0,0,0,0,11,11,914,0,0,0,0,0,0,0,0,0
9304,0320,9999, ,Amarillo TX MSA,34,34,4127,0,0,0,0,0,0,0,0,0,34,34,4127,0,0,0,0,0,0,0,0,0
9304,0380,9999, ,Anchorage AK MSA,119,119,19128,0,0,0,0,0,0,1,100,13003,119,119,19128,0,0,0,0,0,0,1,100,13003
9304,0450,9999, ,Anniston AL MSA,13,13,654,0,0,0,0,0,0,3,24,888,13,13,654,0,0,0,0,0,0,3,24,888
9304,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,121,121,12126,3,6,308,1,4,205,3,22,590,42,42,4199,0,0,0,1,4,205,1,6,246
9304,0480,9999, ,Asheville NC MSA,228,228,22250,2,4,184,0,0,0,2,30,560,219,219,21467,1,2,140,0,0,0,0,0,0
9304,0500,9999, ,Athens GA MSA,58,58,5041,3,6,183,0,0,0,1,6,233,58,58,5041,3,6,183,0,0,0,1,6,233
9304,0520,9999, ,Atlanta GA MSA,2781,2781,248185,2,4,171,0,0,0,1,6,484,2774,2774,247766,2,4,171,0,0,0,1,6,484
9304,0600,9999, ,Augusta-Aiken GA-SC MSA,182,182,16193,0,0,0,0,0,0,0,0,0,179,179,16059,0,0,0,0,0,0,0,0,0
9304,0640,9999, ,Austin-San Marcos TX MSA,622,622,56098,2,4,102,0,0,0,11,226,9268,613,613,55392,2,4,102,0,0,0,11,226,9268
9304,0680,9999, ,Bakersfield CA MSA,229,229,20541,1,2,72,1,4,182,1,5,174,101,101,8932,0,0,0,0,0,0,0,0,0
9304,0730,9999, ,Bangor ME MSA,14,14,1186,0,0,0,0,0,0,0,0,0,8,8,755,0,0,0,0,0,0,0,0,0
9304,0740,9999, ,Barnstable-Yarmouth MA MSA,98,98,10124,0,0,0,1,4,360,0,0,0,98,98,10124,0,0,0,1,4,360,0,0,0
9304,0760,9999, ,Baton Rouge LA MSA,150,150,11139,0,0,0,0,0,0,0,0,0,149,149,11066,0,0,0,0,0,0,0,0,0
9304,0840,9999, ,Beaumont-Port Arthur TX MSA,24,24,2129,0,0,0,0,0,0,0,0,0,24,24,2129,0,0,0,0,0,0,0,0,0
9304,0860,9999, ,Bellingham WA MSA,80,80,8391,3,6,562,12,47,3561,1,5,211,20,20,3206,2,4,326,11,44,3376,0,0,0
9304,0870,9999, ,Benton Harbor MI MSA,8,8,933,0,0,0,0,0,0,0,0,0,6,6,655,0,0,0,0,0,0,0,0,0
9304,0880,9999, ,Billings MT MSA,56,56,6399,2,4,285,0,0,0,0,0,0,55,55,6331,2,4,285,0,0,0,0,0,0
9304,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,151,151,9090,0,0,0,0,0,0,0,0,0,137,137,8195,0,0,0,0,0,0,0,0,0
9304,0960,9999, ,Binghamton NY MSA,14,14,1579,0,0,0,0,0,0,0,0,0,13,13,1469,0,0,0,0,0,0,0,0,0
9304,1000,9999, ,Birmingham AL MSA,337,337,35830,1,2,69,0,0,0,18,259,8501,204,204,24410,0,0,0,0,0,0,17,254,8343
9304,1010,9999, ,Bismarck ND MSA,51,51,5098,0,0,0,0,0,0,0,0,0,51,51,5098,0,0,0,0,0,0,0,0,0
9304,1020,9999, ,Bloomington IN MSA,60,60,5880,6,12,617,0,0,0,3,26,716,28,28,3004,2,4,223,0,0,0,1,6,217
9304,1040,9999, ,Bloomington-Normal IL MSA,83,83,8726,1,2,130,0,0,0,1,5,190,68,68,6945,1,2,130,0,0,0,1,5,190
9304,1080,9999, ,Boise City ID MSA,445,445,40905,4,8,408,17,68,2507,0,0,0,374,374,35471,4,8,408,17,68,2507,0,0,0
9304,1122,1120, ,Boston MA-NH-ME-CT PMSA,1062,1062,122013,8,16,1125,1,3,270,2,10,340,659,659,77690,6,12,835,0,0,0,0,0,0
