Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202502,101,10180,2,Abilene  TX ,51,51,14380,10,20,3105,0,0,0,0,0,0,50,50,14094,10,20,3105,0,0,0,0,0,0
202502,101,45020,5,Sweetwater  TX ,1,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,104,10580,2,Albany-Schenectady-Troy  NY ,69,69,24659,1,2,710,0,0,0,2,62,3241,43,43,15203,0,0,0,0,0,0,1,57,3000
202502,104,11220,5,Amsterdam  NY ,4,4,942,0,0,0,0,0,0,0,0,0,1,1,350,0,0,0,0,0,0,0,0,0
202502,104,24020,2,Glens Falls  NY ,16,16,5272,0,0,0,0,0,0,0,0,0,15,15,4980,0,0,0,0,0,0,0,0,0
202502,104,24100,5,Gloversville  NY ,3,3,1053,0,0,0,0,0,0,1,5,1333,0,0,0,0,0,0,0,0,0,0,0,0
202502,104,26460,5,Hudson  NY ,17,17,7661,0,0,0,0,0,0,0,0,0,6,6,1845,0,0,0,0,0,0,0,0,0
202502,105,10740,2,Albuquerque  NM ,147,147,35831,0,0,0,0,0,0,1,70,1425,126,126,29598,0,0,0,0,0,0,1,70,1425
202502,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,105,31060,5,Los Alamos  NM ,3,3,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,105,42140,2,Santa Fe  NM ,23,23,9504,0,0,0,0,0,0,0,0,0,23,23,9504,0,0,0,0,0,0,0,0,0
202502,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,96,96,25848,0,0,0,1,4,935,3,65,13364,51,51,14893,0,0,0,1,4,935,1,55,11000
202502,106,20700,5,East Stroudsburg  PA ,18,18,6326,0,0,0,0,0,0,0,0,0,14,14,4935,0,0,0,0,0,0,0,0,0
202502,107,11020,2,Altoona  PA ,4,4,1060,1,2,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,107,26500,5,Huntingdon  PA ,5,5,1270,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0
202502,108,11100,2,Amarillo  TX ,46,46,13135,0,0,0,0,0,0,0,0,0,43,43,12366,0,0,0,0,0,0,0,0,0
202502,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,118,11540,2,Appleton  WI ,44,44,16067,4,8,1510,0,0,0,0,0,0,38,38,13707,3,6,1153,0,0,0,0,0,0
202502,118,36780,2,Oshkosh-Neenah  WI ,23,23,8433,0,0,0,0,0,0,0,0,0,20,20,7055,0,0,0,0,0,0,0,0,0
202502,120,11700,2,Asheville  NC ,164,164,81498,1,2,121,0,0,0,1,29,4261,113,113,65767,0,0,0,0,0,0,0,0,0
202502,120,14820,5,Brevard  NC ,18,18,10635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,120,48200,5,Waynesville  NC ,22,22,8710,1,2,257,0,0,0,0,0,0,5,5,940,0,0,0,0,0,0,0,0,0
202502,122,12020,2,Athens-Clarke County  GA ,73,73,20100,0,0,0,0,0,0,2,30,3038,50,50,13460,0,0,0,0,0,0,2,30,3038
202502,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,1971,1971,601898,4,8,2065,2,7,1497,69,774,104452,1765,1765,546530,4,8,2065,2,7,1497,63,675,95146
202502,122,15660,5,Calhoun  GA ,21,21,4882,0,0,0,0,0,0,0,0,0,11,11,2044,0,0,0,0,0,0,0,0,0
202502,122,16340,5,Cedartown  GA ,7,7,2733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,122,18460,5,Cornelia  GA ,22,22,6690,0,0,0,0,0,0,0,0,0,9,9,1628,0,0,0,0,0,0,0,0,0
202502,122,23580,2,Gainesville  GA ,126,126,29553,0,0,0,1,3,234,1,5,403,66,66,16030,0,0,0,0,0,0,0,0,0
202502,122,27600,5,Jefferson  GA ,170,170,60614,0,0,0,0,0,0,1,8,846,109,109,43376,0,0,0,0,0,0,0,0,0
202502,122,29300,5,LaGrange  GA-AL ,35,35,9740,0,0,0,0,0,0,0,0,0,29,29,8577,0,0,0,0,0,0,0,0,0
202502,122,40660,2,Rome  GA ,20,20,4357,0,0,0,0,0,0,0,0,0,20,20,4357,0,0,0,0,0,0,0,0,0
202502,122,45580,5,Thomaston  GA ,12,12,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202502,132,12940,2,Baton Rouge  LA ,257,257,65072,0,0,0,0,0,0,0,0,0,94,94,25312,0,0,0,0,0,0,0,0,0
202502,132,25220,2,Hammond  LA ,68,68,12020,1,2,100,0,0,0,1,35,3332,0,0,0,0,0,0,0,0,0,0,0,0
202502,142,13820,2,Birmingham  AL ,251,251,85046,0,0,0,0,0,0,1,14,2217,198,198,66026,0,0,0,0,0,0,0,0,0
202502,142,18980,5,Cullman  AL ,9,9,2018,0,0,0,0,0,0,0,0,0,8,8,1878,0,0,0,0,0,0,0,0,0
202502,142,45180,5,Talladega-Sylacauga  AL ,1,1,250,0,0,0,0,0,0,1,6,944,1,1,250,0,0,0,0,0,0,1,6,944
202502,144,13260,5,Bedford  IN ,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
