Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202602,101,10180,2,Abilene  TX ,149,149,41194,5,10,1616,0,0,0,23,288,49603,145,145,40448,5,10,1616,0,0,0,23,288,49603
202602,101,45020,5,Sweetwater  TX ,2,2,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,104,10580,2,Albany-Schenectady-Troy  NY ,56,56,21147,0,0,0,1,3,765,3,18,2852,28,28,11854,0,0,0,0,0,0,0,0,0
202602,104,11220,5,Amsterdam  NY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,104,24020,2,Glens Falls  NY ,13,13,6518,0,0,0,0,0,0,1,7,1035,11,11,6170,0,0,0,0,0,0,0,0,0
202602,104,24100,5,Gloversville  NY ,2,2,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,104,26460,5,Hudson  NY ,7,7,1996,0,0,0,0,0,0,0,0,0,1,1,350,0,0,0,0,0,0,0,0,0
202602,105,10740,2,Albuquerque  NM ,165,165,41270,0,0,0,0,0,0,0,0,0,145,145,35260,0,0,0,0,0,0,0,0,0
202602,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,105,31060,5,Los Alamos  NM ,1,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,105,42140,2,Santa Fe  NM ,17,17,6366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,51,51,16661,1,2,415,0,0,0,4,41,5844,30,30,11320,1,2,415,0,0,0,1,12,2139
202602,106,20700,5,East Stroudsburg  PA ,15,15,5577,0,0,0,0,0,0,1,5,450,10,10,4246,0,0,0,0,0,0,0,0,0
202602,107,11020,2,Altoona  PA ,5,5,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,107,26500,5,Huntingdon  PA ,4,4,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,108,11100,2,Amarillo  TX ,45,45,13205,2,4,646,0,0,0,0,0,0,41,41,12137,2,4,646,0,0,0,0,0,0
202602,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,118,11540,2,Appleton  WI ,36,36,12913,2,4,1190,0,0,0,2,84,8054,30,30,10803,2,4,1190,0,0,0,2,84,8054
202602,118,36780,2,Oshkosh-Neenah  WI ,24,24,9431,2,4,937,0,0,0,12,132,24281,21,21,8366,2,4,937,0,0,0,12,132,24281
202602,120,11700,2,Asheville  NC ,107,107,50842,0,0,0,0,0,0,4,101,12869,77,77,40805,0,0,0,0,0,0,3,60,5682
202602,120,14820,5,Brevard  NC ,13,13,8773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,120,48200,5,Waynesville  NC ,38,38,20477,0,0,0,0,0,0,0,0,0,38,38,20477,0,0,0,0,0,0,0,0,0
202602,122,12020,2,Athens-Clarke County  GA ,67,67,22540,0,0,0,0,0,0,0,0,0,48,48,16592,0,0,0,0,0,0,0,0,0
202602,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,1730,1730,525255,10,20,5017,1,3,461,30,1155,204351,1551,1551,475026,10,20,5017,1,3,461,26,1056,189970
202602,122,15660,5,Calhoun  GA ,35,35,9880,0,0,0,0,0,0,0,0,0,34,34,9667,0,0,0,0,0,0,0,0,0
202602,122,16340,5,Cedartown  GA ,9,9,2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,122,18460,5,Cornelia  GA ,23,23,8078,0,0,0,0,0,0,2,11,630,7,7,2343,0,0,0,0,0,0,0,0,0
202602,122,23580,2,Gainesville  GA ,118,118,33711,0,0,0,0,0,0,1,15,2302,50,50,13520,0,0,0,0,0,0,0,0,0
202602,122,27600,5,Jefferson  GA ,155,155,46811,0,0,0,0,0,0,0,0,0,108,108,33207,0,0,0,0,0,0,0,0,0
202602,122,29300,5,LaGrange  GA-AL ,53,53,15089,0,0,0,0,0,0,0,0,0,36,36,10083,0,0,0,0,0,0,0,0,0
202602,122,40660,2,Rome  GA ,67,67,13410,0,0,0,0,0,0,0,0,0,67,67,13410,0,0,0,0,0,0,0,0,0
202602,122,45580,5,Thomaston  GA ,9,9,2403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202602,132,12940,2,Baton Rouge  LA ,272,272,74035,4,8,515,0,0,0,1,5,88,39,39,9237,0,0,0,0,0,0,0,0,0
202602,132,25220,2,Hammond  LA ,65,65,13419,1,2,100,0,0,0,0,0,0,56,56,11691,0,0,0,0,0,0,0,0,0
202602,142,13820,2,Birmingham  AL ,260,260,74362,1,2,1032,0,0,0,3,232,45282,231,231,66961,0,0,0,0,0,0,2,198,38875
202602,142,18980,5,Cullman  AL ,27,27,5991,0,0,0,0,0,0,0,0,0,26,26,5833,0,0,0,0,0,0,0,0,0
202602,142,45180,5,Talladega-Sylacauga  AL ,6,6,1380,0,0,0,0,0,0,0,0,0,6,6,1380,0,0,0,0,0,0,0,0,0
202602,144,13260,5,Bedford  IN ,8,8,853,0,0,0,0,0,0,0,0,0,7,7,500,0,0,0,0,0,0,0,0,0
