Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202410,101,10180,2,Abilene  TX ,28,28,7850,10,20,3105,0,0,0,0,0,0,27,27,7702,10,20,3105,0,0,0,0,0,0
202410,101,45020,5,Sweetwater  TX ,2,2,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,104,10580,2,Albany-Schenectady-Troy  NY ,113,113,39935,0,0,0,1,4,667,5,31,3703,73,73,25713,0,0,0,1,4,667,2,13,1457
202410,104,11220,5,Amsterdam  NY ,5,5,1117,0,0,0,0,0,0,0,0,0,2,2,680,0,0,0,0,0,0,0,0,0
202410,104,24020,2,Glens Falls  NY ,28,28,8912,0,0,0,0,0,0,0,0,0,27,27,8620,0,0,0,0,0,0,0,0,0
202410,104,24100,5,Gloversville  NY ,4,4,1431,0,0,0,0,0,0,1,5,1333,0,0,0,0,0,0,0,0,0,0,0,0
202410,104,26460,5,Hudson  NY ,15,15,7161,0,0,0,0,0,0,0,0,0,3,3,1080,0,0,0,0,0,0,0,0,0
202410,105,10740,2,Albuquerque  NM ,154,154,43494,1,2,384,0,0,0,0,0,0,129,129,36073,1,2,384,0,0,0,0,0,0
202410,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,105,31060,5,Los Alamos  NM ,3,3,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,105,42140,2,Santa Fe  NM ,20,20,8518,0,0,0,0,0,0,0,0,0,20,20,8518,0,0,0,0,0,0,0,0,0
202410,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,109,109,29414,0,0,0,0,0,0,11,117,17619,55,55,16292,0,0,0,0,0,0,8,99,14425
202410,106,20700,5,East Stroudsburg  PA ,22,22,8736,0,0,0,0,0,0,0,0,0,12,12,5397,0,0,0,0,0,0,0,0,0
202410,107,11020,2,Altoona  PA ,7,7,2226,0,0,0,1,3,285,0,0,0,3,3,967,0,0,0,0,0,0,0,0,0
202410,107,26500,5,Huntingdon  PA ,8,8,1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,108,11100,2,Amarillo  TX ,54,54,15436,0,0,0,0,0,0,21,266,38175,51,51,14667,0,0,0,0,0,0,21,266,38175
202410,108,14420,5,Borger  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,118,11540,2,Appleton  WI ,65,65,23742,1,2,537,0,0,0,2,12,1913,49,49,18567,1,2,537,0,0,0,2,12,1913
202410,118,36780,2,Oshkosh-Neenah  WI ,37,37,12994,2,4,840,0,0,0,2,122,17126,32,32,10967,2,4,840,0,0,0,2,122,17126
202410,120,11700,2,Asheville  NC ,288,288,86909,0,0,0,0,0,0,2,11,1988,174,174,47095,0,0,0,0,0,0,0,0,0
202410,120,14820,5,Brevard  NC ,18,18,10635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,120,48200,5,Waynesville  NC ,19,19,7764,0,0,0,0,0,0,0,0,0,3,3,450,0,0,0,0,0,0,0,0,0
202410,122,12020,2,Athens-Clarke County  GA ,86,86,32399,0,0,0,21,84,7770,0,0,0,63,63,25711,0,0,0,21,84,7770,0,0,0
202410,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,2122,2122,616438,2,4,745,5,17,2759,26,491,79835,1872,1872,550280,1,2,310,2,8,1044,11,68,11050
202410,122,15660,5,Calhoun  GA ,44,44,9155,0,0,0,0,0,0,0,0,0,33,33,6105,0,0,0,0,0,0,0,0,0
202410,122,16340,5,Cedartown  GA ,6,6,2312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202410,122,18460,5,Cornelia  GA ,15,15,5269,0,0,0,0,0,0,0,0,0,3,3,596,0,0,0,0,0,0,0,0,0
202410,122,23580,2,Gainesville  GA ,109,109,24217,0,0,0,7,27,3738,1,5,403,50,50,10933,0,0,0,6,24,3504,0,0,0
202410,122,27600,5,Jefferson  GA ,140,140,50212,0,0,0,0,0,0,0,0,0,124,124,45671,0,0,0,0,0,0,0,0,0
202410,122,29300,5,LaGrange  GA-AL ,35,35,11187,0,0,0,0,0,0,0,0,0,28,28,9901,0,0,0,0,0,0,0,0,0
202410,122,40660,2,Rome  GA ,33,33,8863,0,0,0,0,0,0,0,0,0,33,33,8863,0,0,0,0,0,0,0,0,0
202410,122,45580,5,Thomaston  GA ,10,10,2203,0,0,0,0,0,0,0,0,0,4,4,1260,0,0,0,0,0,0,0,0,0
202410,132,12940,2,Baton Rouge  LA ,273,273,69520,0,0,0,0,0,0,1,17,1738,43,43,11791,0,0,0,0,0,0,0,0,0
202410,132,25220,2,Hammond  LA ,62,62,10961,0,0,0,0,0,0,1,29,2761,0,0,0,0,0,0,0,0,0,0,0,0
202410,142,13820,2,Birmingham  AL ,293,293,89795,1,2,1182,0,0,0,1,20,3167,251,251,79082,0,0,0,0,0,0,0,0,0
202410,142,18980,5,Cullman  AL ,9,9,2076,1,2,200,0,0,0,0,0,0,8,8,1936,1,2,200,0,0,0,0,0,0
202410,142,45180,5,Talladega-Sylacauga  AL ,22,22,3775,0,0,0,0,0,0,1,6,765,22,22,3775,0,0,0,0,0,0,1,6,765
202410,144,13260,5,Bedford  IN ,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
