Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201408,104,10580, ,Albany-Schenectady-Troy  NY ,64,64,17188,0,0,0,5,20,2572,8,83,14216,52,52,14070,0,0,0,5,20,2572,7,78,14060
201408,104,24020, ,Glens Falls  NY ,15,15,2890,0,0,0,0,0,0,0,0,0,5,5,1200,0,0,0,0,0,0,0,0,0
201408,106,10740,C,Albuquerque  NM ,95,95,18626,1,2,283,2,6,503,1,5,208,25,25,6175,0,0,0,0,0,0,0,0,0
201408,106,42140,C,Santa Fe  NM ,14,14,2947,0,0,0,0,0,0,0,0,0,14,14,2947,0,0,0,0,0,0,0,0,0
201408,108,11100, ,Amarillo  TX ,34,34,10579,0,0,0,0,0,0,0,0,0,34,34,10579,0,0,0,0,0,0,0,0,0
201408,118,11540, ,Appleton  WI ,47,47,8636,0,0,0,2,8,600,9,62,3100,47,47,8636,0,0,0,2,8,600,9,62,3100
201408,118,36780, ,Oshkosh-Neenah  WI ,21,21,4675,2,4,440,0,0,0,0,0,0,21,21,4675,2,4,440,0,0,0,0,0,0
201408,120,11700, ,Asheville  NC ,125,125,30009,0,0,0,0,0,0,1,7,224,43,43,9975,0,0,0,0,0,0,0,0,0
201408,122,12020, ,Athens-Clarke County  GA ,33,33,8196,0,0,0,0,0,0,3,266,15368,33,33,8196,0,0,0,0,0,0,3,266,15368
201408,122,12060,C,Atlanta-Sandy Springs-Roswell  GA ,1620,1620,355863,1,2,350,14,56,6690,19,321,8800,1573,1573,346783,1,2,350,14,56,6690,19,321,8800
201408,122,23580, ,Gainesville  GA ,59,59,9199,0,0,0,0,0,0,0,0,0,59,59,9199,0,0,0,0,0,0,0,0,0
201408,140,13460,C,Bend-Redmond  OR ,98,98,24435,0,0,0,0,0,0,0,0,0,89,89,22737,0,0,0,0,0,0,0,0,0
201408,142,13820, ,Birmingham-Hoover  AL ,177,177,42932,0,0,0,1,4,682,0,0,0,99,99,21269,0,0,0,1,4,682,0,0,0
201408,144,14020, ,Bloomington  IN ,15,15,2719,2,4,410,0,0,0,3,27,2150,0,0,0,0,0,0,0,0,0,0,0,0
201408,145,14010, ,Bloomington  IL ,25,25,4601,0,0,0,0,0,0,2,23,1211,7,7,948,0,0,0,0,0,0,1,6,315
201408,146,14100, ,Bloomsburg-Berwick  PA ,3,3,665,0,0,0,0,0,0,0,0,0,2,2,485,0,0,0,0,0,0,0,0,0
201408,147,14260,C,Boise City  ID ,320,320,79896,1,2,350,16,64,4430,1,8,701,320,320,79896,1,2,350,16,64,4430,1,8,701
201408,148,12700, ,Barnstable Town  MA ,44,44,10739,0,0,0,0,0,0,1,6,819,34,34,6536,0,0,0,0,0,0,0,0,0
201408,148,14460,C,Boston-Cambridge-Newton  MA-NH ,381,381,106058,11,22,3704,4,14,1972,22,464,59015,275,275,76002,7,14,2338,2,8,1150,9,246,27553
201408,148,31700, ,Manchester-Nashua  NH ,38,38,7766,1,2,246,0,0,0,4,144,14000,29,29,5859,1,2,246,0,0,0,4,144,14000
201408,148,39300, ,Providence-Warwick  RI-MA ,104,104,22492,2,4,384,1,3,468,3,23,3518,64,64,14553,1,2,200,0,0,0,1,6,678
201408,148,49340, ,Worcester  MA-CT ,60,60,12729,2,4,556,0,0,0,1,10,467,44,44,9431,1,2,186,0,0,0,0,0,0
201408,150,14540, ,Bowling Green  KY ,34,34,7330,3,6,625,0,0,0,0,0,0,34,34,7330,3,6,625,0,0,0,0,0,0
201408,154,15180, ,Brownsville-Harlingen  TX ,102,102,8002,2,4,366,3,12,529,0,0,0,101,101,7787,2,4,366,3,12,529,0,0,0
201408,160,15380, ,Buffalo-Cheektowaga-Niagara Falls  NY ,57,57,14788,1,2,130,0,0,0,8,76,5060,43,43,11348,0,0,0,0,0,0,5,48,2700
201408,162,15980,C,Cape Coral-Fort Myers  FL ,250,250,62765,6,12,1545,1,3,1131,2,11,2312,250,250,62765,6,12,1545,1,3,1131,2,11,2312
201408,162,34940,C,Naples-Immokalee-Marco Island  FL ,201,201,78825,0,0,0,2,8,1205,4,30,7554,187,187,60424,0,0,0,2,8,1205,4,30,7554
201408,164,16020, ,Cape Girardeau  MO-IL ,18,18,3501,3,6,944,0,0,0,0,0,0,18,18,3501,3,6,944,0,0,0,0,0,0
201408,168,16300, ,Cedar Rapids  IA ,50,50,5366,4,8,660,6,24,1918,1,18,1830,28,28,3135,2,4,389,5,20,1639,0,0,0
201408,168,26980, ,Iowa City  IA ,43,43,9429,1,2,216,0,0,0,0,0,0,40,40,8829,1,2,216,0,0,0,0,0,0
201408,170,16620, ,Charleston  WV ,2,2,1071,0,0,0,0,0,0,0,0,0,2,2,1071,0,0,0,0,0,0,0,0,0
201408,170,26580, ,Huntington-Ashland  WV-KY-OH ,12,12,2267,0,0,0,0,0,0,0,0,0,8,8,1725,0,0,0,0,0,0,0,0,0
201408,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,902,902,203382,8,16,1220,4,15,1105,29,568,64035,777,777,169100,8,16,1220,3,12,931,28,560,63133
201408,174,16860, ,Chattanooga  TN-GA ,104,104,18133,0,0,0,0,0,0,0,0,0,103,103,18024,0,0,0,0,0,0,0,0,0
201408,174,17420, ,Cleveland  TN ,34,34,4160,0,0,0,1,4,294,0,0,0,24,24,3050,0,0,0,0,0,0,0,0,0
201408,174,19140,C,Dalton  GA ,7,7,1131,0,0,0,0,0,0,0,0,0,3,3,647,0,0,0,0,0,0,0,0,0
