Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9008,0040,9999, ,Abilene TX MSA,5,5,452,0,0,0,3,9,750,0,0,0,5,5,452,0,0,0,3,9,750,0,0,0
9008,0120,9999, ,Albany GA MSA,11,11,761,1,2,55,0,0,0,2,10,284,0,0,0,0,0,0,0,0,0,0,0,0
9008,0160,9999, ,Albany-Schenectady-Troy NY MSA,197,197,20307,3,6,218,4,16,337,8,95,4126,143,143,15169,2,4,149,4,16,337,7,90,3783
9008,0200,9999, ,Albuquerque NM MSA,149,149,13337,0,0,0,0,0,0,1,40,903,149,149,13337,0,0,0,0,0,0,1,40,903
9008,0220,9999, ,Alexandria LA MSA,4,4,303,0,0,0,0,0,0,0,0,0,4,4,303,0,0,0,0,0,0,0,0,0
9008,0240,9999, ,Allentown-Bethlehem-Easton PA-NJ MSA,185,185,18239,1,2,100,0,0,0,0,0,0,165,165,16804,1,2,100,0,0,0,0,0,0
9008,0280,9999, ,Altoona PA MSA,8,8,609,0,0,0,1,4,200,0,0,0,3,3,129,0,0,0,1,4,200,0,0,0
9008,0320,9999, ,Amarillo TX MSA,10,10,1140,0,0,0,0,0,0,0,0,0,10,10,1140,0,0,0,0,0,0,0,0,0
9008,0380,9999, ,Anchorage AK MSA,50,50,8257,0,0,0,0,0,0,0,0,0,50,50,8257,0,0,0,0,0,0,0,0,0
9008,0400,9999, ,Anderson IN MSA,10,10,1931,3,6,300,0,0,0,0,0,0,10,10,1931,3,6,300,0,0,0,0,0,0
9008,0405,9999, ,Anderson SC MSA,56,56,4182,0,0,0,5,18,400,1,8,180,56,56,4182,0,0,0,5,18,400,1,8,180
9008,0450,9999, ,Anniston AL MSA,11,11,621,0,0,0,0,0,0,0,0,0,11,11,621,0,0,0,0,0,0,0,0,0
9008,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,74,74,6296,3,6,333,0,0,0,3,15,268,19,19,1843,1,2,140,0,0,0,0,0,0
9008,0480,9999, ,Asheville NC MSA,67,67,7916,2,4,88,0,0,0,0,0,0,67,67,7916,2,4,88,0,0,0,0,0,0
9008,0500,9999, ,Athens GA MSA,43,43,3356,4,8,375,0,0,0,0,0,0,43,43,3356,4,8,375,0,0,0,0,0,0
9008,0520,9999, ,Atlanta GA MSA,1780,1780,137612,20,40,1316,0,0,0,50,1274,60939,1770,1770,136995,20,40,1316,0,0,0,50,1274,60939
9008,0560,9999, ,Atlantic City NJ MSA,132,132,9794,7,14,1160,0,0,0,2,29,2323,128,128,9484,3,6,595,0,0,0,1,5,333
9008,0600,9999, ,Augusta GA-SC MSA,218,218,15367,0,0,0,0,0,0,10,64,912,218,218,15367,0,0,0,0,0,0,10,64,912
9008,0640,9999, ,Austin TX MSA,139,139,15262,0,0,0,0,0,0,0,0,0,139,139,15262,0,0,0,0,0,0,0,0,0
9008,0680,9999, ,Bakersfield CA MSA,342,342,32159,3,6,403,4,15,611,0,0,0,232,232,22394,3,6,403,4,15,611,0,0,0
9008,0720,9999, ,Baltimore MD MSA,682,682,54310,0,0,0,0,0,0,15,196,7105,672,672,53600,0,0,0,0,0,0,15,196,7105
9008,0730,9999, ,Bangor ME MSA,21,21,1840,0,0,0,0,0,0,3,21,717,18,18,1615,0,0,0,0,0,0,2,16,520
9008,0760,9999, ,Baton Rouge LA MSA,83,83,6087,0,0,0,0,0,0,0,0,0,83,83,6087,0,0,0,0,0,0,0,0,0
9008,0780,9999, ,Battle Creek MI MSA,2,2,270,0,0,0,0,0,0,0,0,0,2,2,270,0,0,0,0,0,0,0,0,0
9008,0840,9999, ,Beaumont-Port Arthur TX MSA,103,103,3329,0,0,0,0,0,0,0,0,0,103,103,3329,0,0,0,0,0,0,0,0,0
9008,0860,9999, ,Bellingham WA MSA,59,59,4747,4,8,460,2,7,257,4,37,1380,3,3,213,0,0,0,0,0,0,1,6,260
9008,0870,9999, ,Benton Harbor MI MSA,10,10,762,0,0,0,0,0,0,0,0,0,8,8,572,0,0,0,0,0,0,0,0,0
9008,0880,9999, ,Billings MT MSA,8,8,676,0,0,0,0,0,0,0,0,0,8,8,676,0,0,0,0,0,0,0,0,0
9008,0920,9999, ,Biloxi-Gulfport MS MSA,53,53,3205,0,0,0,0,0,0,0,0,0,52,52,3157,0,0,0,0,0,0,0,0,0
9008,0960,9999, ,Binghamton NY MSA,26,26,2563,0,0,0,0,0,0,0,0,0,20,20,1851,0,0,0,0,0,0,0,0,0
9008,1000,9999, ,Birmingham AL MSA,220,220,17952,1,2,84,0,0,0,6,72,2117,180,180,16502,1,2,84,0,0,0,6,72,2117
9008,1010,9999, ,Bismarck ND MSA,31,31,2783,0,0,0,0,0,0,1,45,1250,31,31,2783,0,0,0,0,0,0,1,45,1250
