Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201312,102,18700, ,Corvallis  OR ,5,5,1188,1,2,408,0,0,0,3,36,5776,0,0,0,0,0,0,0,0,0,0,0,0
201312,104,10580, ,Albany-Schenectady-Troy  NY ,47,47,16957,0,0,0,2,8,1167,0,0,0,47,47,16957,0,0,0,2,8,1167,0,0,0
201312,104,24020, ,Glens Falls  NY ,13,13,1798,0,0,0,0,0,0,0,0,0,5,5,1169,0,0,0,0,0,0,0,0,0
201312,112,11180, ,Ames  IA ,5,5,1575,0,0,0,0,0,0,0,0,0,5,5,1575,0,0,0,0,0,0,0,0,0
201312,118,11540, ,Appleton  WI ,8,8,2337,0,0,0,1,4,500,0,0,0,8,8,2337,0,0,0,1,4,500,0,0,0
201312,118,36780, ,Oshkosh-Neenah  WI ,15,15,3106,1,2,230,0,0,0,0,0,0,15,15,3106,1,2,230,0,0,0,0,0,0
201312,120,11700, ,Asheville  NC ,99,99,24943,0,0,0,0,0,0,0,0,0,77,77,20526,0,0,0,0,0,0,0,0,0
201312,122,12060,C,Atlanta-Sandy Springs-Marietta  GA ,1010,1010,188505,4,8,1168,1,3,164,3,422,61516,981,981,182173,4,8,1168,0,0,0,2,417,61243
201312,122,23580, ,Gainesville  GA ,54,54,9373,0,0,0,0,0,0,0,0,0,54,54,9373,0,0,0,0,0,0,0,0,0
201312,126,12420,C,Austin-Round Rock-San Marcos  TX ,616,616,136326,11,22,3292,2,8,865,123,1516,125602,509,509,118420,11,22,3292,2,8,865,103,1340,113788
201312,132,12940, ,Baton Rouge  LA ,170,170,39410,1,2,336,0,0,0,0,0,0,170,170,39410,1,2,336,0,0,0,0,0,0
201312,140,13460,C,Bend  OR ,82,82,21643,0,0,0,0,0,0,0,0,0,81,81,21427,0,0,0,0,0,0,0,0,0
201312,142,13820,C,Birmingham-Hoover  AL ,124,124,29235,0,0,0,9,36,4019,10,139,9721,81,81,20317,0,0,0,9,36,4019,4,24,1786
201312,148,14460,C,Boston-Cambridge-Quincy  MA-NH ,361,361,106044,13,26,9029,9,29,3310,19,924,690492,264,264,79509,10,20,8295,8,26,3015,6,693,657392
201312,148,31700, ,Manchester-Nashua  NH ,31,31,7137,1,2,120,2,8,1654,0,0,0,30,30,6864,1,2,120,2,8,1654,0,0,0
201312,148,39300, ,Providence-New Bedford-Fall River  RI-MA ,100,100,20412,5,10,1226,0,0,0,0,0,0,70,70,14448,3,6,870,0,0,0,0,0,0
201312,148,49340, ,Worcester  MA ,54,54,11501,1,2,200,1,4,142,1,5,68,38,38,8266,1,2,200,0,0,0,0,0,0
201312,154,15180, ,Brownsville-Harlingen  TX ,130,130,12020,2,4,217,1,4,229,0,0,0,130,130,12020,2,4,217,1,4,229,0,0,0
201312,160,15380, ,Buffalo-Niagara Falls  NY ,55,55,15249,1,2,423,2,8,1200,2,70,6500,35,35,10249,1,2,423,2,8,1200,2,70,6500
201312,164,16020, ,Cape Girardeau-Jackson  MO-IL ,5,5,1012,1,2,309,0,0,0,2,34,3556,2,2,430,0,0,0,0,0,0,1,28,3219
201312,172,16740,C,Charlotte-Gastonia-Rock Hill  NC-SC ,698,698,148500,6,12,360,4,15,1522,14,653,47595,642,642,134481,6,12,360,3,12,1347,13,630,45021
201312,174,16860, ,Chattanooga  TN-GA ,66,66,11475,2,4,201,0,0,0,2,12,1116,43,43,8347,1,2,109,0,0,0,0,0,0
201312,174,17420, ,Cleveland  TN ,15,15,2645,0,0,0,1,3,240,0,0,0,15,15,2645,0,0,0,1,3,240,0,0,0
201312,176,16980,C,Chicago-Joliet-Naperville  IL-IN-WI ,483,483,146454,7,14,3332,5,17,3115,16,187,20427,441,441,135339,6,12,3040,5,17,3115,12,163,18003
201312,176,28100, ,Kankakee-Bradley  IL ,1,1,521,0,0,0,0,0,0,0,0,0,1,1,521,0,0,0,0,0,0,0,0,0
201312,176,33140, ,Michigan City-La Porte  IN ,2,2,307,0,0,0,0,0,0,0,0,0,2,2,307,0,0,0,0,0,0,0,0,0
201312,178,17140,C,Cincinnati-Middletown  OH-KY-IN ,207,207,46246,6,12,1500,1,3,225,1,5,425,175,175,40307,6,12,1500,0,0,0,0,0,0
201312,184,10420, ,Akron  OH ,29,29,8021,0,0,0,0,0,0,0,0,0,29,29,8021,0,0,0,0,0,0,0,0,0
201312,184,17460,C,Cleveland-Elyria-Mentor  OH ,105,105,24163,0,0,0,2,8,672,3,21,1489,74,74,17279,0,0,0,2,8,672,1,6,336
201312,192,17900,C,Columbia  SC ,208,208,32996,0,0,0,0,0,0,4,61,4384,47,47,7294,0,0,0,0,0,0,0,0,0
201312,194,12220,C,Auburn-Opelika  AL ,51,51,15447,0,0,0,0,0,0,1,5,511,22,22,6478,0,0,0,0,0,0,0,0,0
201312,194,17980, ,Columbus  GA-AL ,33,33,4863,1,2,114,1,3,136,2,19,1441,12,12,2640,1,2,114,0,0,0,0,0,0
201312,198,18140,C,Columbus  OH ,197,197,47660,2,4,586,7,24,2932,19,401,35578,167,167,41498,2,4,586,6,21,2697,19,401,35578
201312,204,18580, ,Corpus Christi  TX ,90,90,17376,0,0,0,0,0,0,0,0,0,87,87,16932,0,0,0,0,0,0,0,0,0
201312,206,19100,C,Dallas-Fort Worth-Arlington  TX ,1232,1232,353982,1,2,160,6,24,2141,55,1432,114113,1127,1127,321122,1,2,160,6,24,2141,52,1406,112171
201312,206,43300, ,Sherman-Denison  TX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
