Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201711,104,10580,C,Albany-Schenectady-Troy  NY ,103,103,27645,3,6,790,4,15,1718,6,47,5425,61,61,17012,3,6,790,3,12,1450,0,0,0
201711,104,24020, ,Glens Falls  NY ,25,25,6565,1,2,250,0,0,0,0,0,0,19,19,6090,1,2,250,0,0,0,0,0,0
201711,106,10740,C,Albuquerque  NM ,147,147,29427,0,0,0,0,0,0,1,8,333,129,129,26244,0,0,0,0,0,0,0,0,0
201711,106,42140,C,Santa Fe  NM ,10,10,2496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,108,11100, ,Amarillo  TX ,38,38,9722,1,2,326,0,0,0,0,0,0,38,38,9722,1,2,326,0,0,0,0,0,0
201711,118,11540, ,Appleton  WI ,25,25,6363,3,6,1138,0,0,0,0,0,0,20,20,5220,2,4,950,0,0,0,0,0,0
201711,118,36780, ,Oshkosh-Neenah  WI ,13,13,3938,1,2,335,0,0,0,0,0,0,10,10,3251,1,2,335,0,0,0,0,0,0
201711,120,11700, ,Asheville  NC ,144,144,40853,2,4,250,0,0,0,5,84,5375,50,50,15130,1,2,113,0,0,0,0,0,0
201711,122,12020, ,Athens-Clarke County  GA ,19,19,6031,0,0,0,0,0,0,0,0,0,19,19,6031,0,0,0,0,0,0,0,0,0
201711,122,12060, ,Atlanta-Sandy Springs-Roswell  GA ,1785,1785,391901,0,0,0,1,3,579,14,196,26639,1633,1633,353691,0,0,0,1,3,579,12,158,22660
201711,122,23580, ,Gainesville  GA ,48,48,10651,0,0,0,0,0,0,0,0,0,48,48,10651,0,0,0,0,0,0,0,0,0
201711,140,13460, ,Bend-Redmond  OR ,151,151,37226,3,6,1065,3,10,736,1,31,3433,39,39,11832,0,0,0,0,0,0,0,0,0
201711,142,13820,C,Birmingham-Hoover  AL ,204,204,48850,0,0,0,0,0,0,3,43,5871,114,114,28621,0,0,0,0,0,0,0,0,0
201711,144,14020,C,Bloomington  IN ,22,22,5691,1,2,242,0,0,0,0,0,0,22,22,5691,1,2,242,0,0,0,0,0,0
201711,145,14010, ,Bloomington  IL ,9,9,1338,0,0,0,0,0,0,0,0,0,9,9,1338,0,0,0,0,0,0,0,0,0
201711,146,14100,C,Bloomsburg-Berwick  PA ,9,9,1832,0,0,0,0,0,0,1,5,675,3,3,345,0,0,0,0,0,0,0,0,0
201711,147,14260,C,Boise City  ID ,568,568,139475,4,8,657,0,0,0,7,109,10517,558,558,137723,4,8,657,0,0,0,7,109,10517
201711,148,12700, ,Barnstable Town  MA ,7,7,2791,0,0,0,0,0,0,0,0,0,3,3,1254,0,0,0,0,0,0,0,0,0
201711,148,14460,C,Boston-Cambridge-Newton  MA-NH ,489,489,155219,19,38,6233,10,35,5437,28,427,74234,349,349,114857,4,8,1247,7,25,4036,12,305,56385
201711,148,31700, ,Manchester-Nashua  NH ,35,35,7265,2,4,556,0,0,0,1,9,1155,24,24,5558,0,0,0,0,0,0,0,0,0
201711,148,39300,C,Providence-Warwick  RI-MA ,127,127,27249,4,8,1048,0,0,0,1,7,458,90,90,18512,4,8,1048,0,0,0,0,0,0
201711,148,49340, ,Worcester  MA-CT ,11,11,2148,0,0,0,0,0,0,0,0,0,8,8,1626,0,0,0,0,0,0,0,0,0
201711,150,14540, ,Bowling Green  KY ,53,53,12256,6,12,1170,0,0,0,2,32,2513,53,53,12256,6,12,1170,0,0,0,2,32,2513
201711,154,15180, ,Brownsville-Harlingen  TX ,64,64,9269,0,0,0,0,0,0,0,0,0,18,18,2458,0,0,0,0,0,0,0,0,0
201711,160,15380,C,Buffalo-Cheektowaga-Niagara Falls  NY ,68,68,18872,1,2,275,0,0,0,1,22,4961,63,63,18016,1,2,275,0,0,0,0,0,0
201711,162,15980,C,Cape Coral-Fort Myers  FL ,407,407,76955,7,14,2016,1,4,995,2,34,4196,407,407,76955,7,14,2016,1,4,995,2,34,4196
201711,162,34940, ,Naples-Immokalee-Marco Island  FL ,163,163,45742,0,0,0,4,14,2642,9,280,25315,163,163,45742,0,0,0,4,14,2642,9,280,25315
201711,164,16020, ,Cape Girardeau  MO-IL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201711,168,16300, ,Cedar Rapids  IA ,27,27,3363,7,14,1110,2,6,638,0,0,0,27,27,3363,7,14,1110,2,6,638,0,0,0
201711,168,26980, ,Iowa City  IA ,22,22,5645,0,0,0,0,0,0,0,0,0,12,12,3668,0,0,0,0,0,0,0,0,0
201711,170,16620, ,Charleston  WV ,5,5,936,1,2,216,1,4,268,1,6,382,3,3,526,0,0,0,0,0,0,0,0,0
201711,170,26580, ,Huntington-Ashland  WV-KY-OH ,9,9,1460,1,2,400,0,0,0,0,0,0,7,7,1301,1,2,400,0,0,0,0,0,0
201711,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,1052,1052,263200,9,18,4765,0,0,0,29,912,47669,918,918,219507,9,18,4765,0,0,0,27,878,44093
201711,174,16860, ,Chattanooga  TN-GA ,123,123,21883,1,2,220,0,0,0,0,0,0,123,123,21883,1,2,220,0,0,0,0,0,0
201711,174,17420, ,Cleveland  TN ,23,23,3901,0,0,0,1,4,432,0,0,0,9,9,1379,0,0,0,1,4,432,0,0,0
201711,176,16980, ,Chicago-Naperville-Elgin  IL-IN-WI ,722,722,198808,11,22,7155,14,45,10186,22,710,143080,605,605,166530,11,22,7155,14,45,10186,17,669,138142
