Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202105,104,10580,C,Albany-Schenectady-Troy  NY ,125,125,39601,4,8,1792,1,3,240,6,44,5063,93,93,30733,3,6,1330,1,3,240,2,20,2480
202105,104,24020, ,Glens Falls  NY ,18,18,4579,0,0,0,0,0,0,1,28,11043,2,2,500,0,0,0,0,0,0,1,28,11043
202105,106,10740,C,Albuquerque  NM ,257,257,65174,0,0,0,0,0,0,1,6,250,244,244,61907,0,0,0,0,0,0,0,0,0
202105,106,42140,C,Santa Fe  NM ,25,25,6791,0,0,0,0,0,0,2,27,3787,0,0,0,0,0,0,0,0,0,0,0,0
202105,107,11020, ,Altoona  PA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,108,11100, ,Amarillo  TX ,57,57,13339,0,0,0,0,0,0,3,22,2610,0,0,0,0,0,0,0,0,0,0,0,0
202105,118,11540, ,Appleton  WI ,48,48,19594,1,2,258,0,0,0,0,0,0,37,37,16942,0,0,0,0,0,0,0,0,0
202105,118,36780, ,Oshkosh-Neenah  WI ,33,33,11825,0,0,0,0,0,0,15,184,13594,33,33,11825,0,0,0,0,0,0,15,184,13594
202105,120,11700, ,Asheville  NC ,212,212,69173,2,4,340,0,0,0,4,80,7789,71,71,26661,2,4,340,0,0,0,0,0,0
202105,122,12020, ,Athens-Clarke County  GA ,30,30,11648,3,6,605,0,0,0,0,0,0,30,30,11648,3,6,605,0,0,0,0,0,0
202105,122,12060, ,Atlanta-Sandy Springs-Alpharetta  GA ,2857,2857,693661,6,12,1017,2,8,2223,29,538,70251,2591,2591,630384,6,12,1017,2,8,2223,27,528,68319
202105,122,23580, ,Gainesville  GA ,92,92,20372,0,0,0,0,0,0,1,7,910,27,27,4819,0,0,0,0,0,0,1,7,910
202105,122,40660,C,Rome  GA ,14,14,2014,0,0,0,0,0,0,0,0,0,14,14,2014,0,0,0,0,0,0,0,0,0
202105,140,13460,C,Bend  OR ,160,160,51039,0,0,0,0,0,0,4,33,3713,160,160,51039,0,0,0,0,0,0,4,33,3713
202105,142,13820,C,Birmingham-Hoover  AL ,286,286,86431,1,2,247,0,0,0,1,8,807,180,180,55235,0,0,0,0,0,0,0,0,0
202105,144,14020,C,Bloomington  IN ,27,27,7514,0,0,0,0,0,0,0,0,0,24,24,6694,0,0,0,0,0,0,0,0,0
202105,145,14010, ,Bloomington  IL ,15,15,3058,1,2,146,0,0,0,0,0,0,8,8,1500,0,0,0,0,0,0,0,0,0
202105,146,14100,C,Bloomsburg-Berwick  PA ,10,10,2809,0,0,0,0,0,0,0,0,0,7,7,1915,0,0,0,0,0,0,0,0,0
202105,147,14260,C,Boise City  ID ,656,656,171406,6,12,1526,12,48,11377,4,57,4172,516,516,149553,2,4,499,7,28,8826,2,39,3007
202105,148,12700, ,Barnstable Town  MA ,5,5,3106,0,0,0,0,0,0,0,0,0,2,2,1218,0,0,0,0,0,0,0,0,0
202105,148,14460,C,Boston-Cambridge-Newton  MA-NH ,437,437,148514,11,22,5037,9,29,3721,58,1219,131827,198,198,80050,6,12,2597,7,23,2700,15,866,89385
202105,148,31700, ,Manchester-Nashua  NH ,35,35,7880,2,4,587,0,0,0,0,0,0,17,17,4715,0,0,0,0,0,0,0,0,0
202105,148,39300,C,Providence-Warwick  RI-MA ,161,161,38787,8,16,1926,2,7,542,2,10,1861,75,75,18983,0,0,0,1,4,319,0,0,0
202105,148,49340, ,Worcester  MA-CT ,27,27,8046,0,0,0,0,0,0,0,0,0,20,20,6595,0,0,0,0,0,0,0,0,0
202105,150,14540, ,Bowling Green  KY ,78,78,18661,0,0,0,0,0,0,27,234,16775,78,78,18661,0,0,0,0,0,0,27,234,16775
202105,154,15180, ,Brownsville-Harlingen  TX ,129,129,11524,3,6,423,1,3,412,1,10,824,49,49,3094,0,0,0,0,0,0,0,0,0
202105,160,15380,C,Buffalo-Cheektowaga  NY ,84,84,26581,0,0,0,3,12,15300,3,30,6511,65,65,17184,0,0,0,3,12,15300,1,6,1683
202105,162,15540, ,Burlington-South Burlington  VT ,31,31,10608,5,10,1955,0,0,0,1,5,313,20,20,7647,4,8,1630,0,0,0,0,0,0
202105,163,15980,C,Cape Coral-Fort Myers  FL ,841,841,150542,49,98,8410,0,0,0,5,30,2813,841,841,150542,49,98,8410,0,0,0,5,30,2813
202105,163,34940, ,Naples-Marco Island  FL ,318,318,113313,1,2,3100,4,15,3170,5,139,71902,13,13,43091,1,2,3100,0,0,0,1,64,49000
202105,164,16020, ,Cape Girardeau  MO-IL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202105,168,16300, ,Cedar Rapids  IA ,22,22,3734,1,2,187,1,4,787,0,0,0,22,22,3734,1,2,187,1,4,787,0,0,0
202105,168,26980, ,Iowa City  IA ,46,46,11798,0,0,0,0,0,0,0,0,0,44,44,11522,0,0,0,0,0,0,0,0,0
202105,170,16620, ,Charleston  WV ,20,20,1939,0,0,0,0,0,0,0,0,0,17,17,1780,0,0,0,0,0,0,0,0,0
202105,170,26580, ,Huntington-Ashland  WV-KY-OH ,18,18,3099,0,0,0,0,0,0,0,0,0,1,1,200,0,0,0,0,0,0,0,0,0
202105,172,16740, ,Charlotte-Concord-Gastonia  NC-SC ,1581,1581,407720,1,2,115,0,0,0,16,371,44900,1328,1328,332230,1,2,115,0,0,0,15,359,43537
