Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200211,0040,9999,,Abilene  TX MSA ,10,10,1322,0,0,0,0,0,0,0,0,0,10,10,1322,0,0,0,0,0,0,0,0,0
200211,0120,9999,,Albany  GA MSA ,49,49,4946,10,20,1331,0,0,0,0,0,0,26,26,2317,10,20,1331,0,0,0,0,0,0
200211,0160,9999,,Albany-Schenectady-Troy  NY MSA ,156,156,31221,1,2,130,0,0,0,7,56,2480,132,132,27691,1,2,130,0,0,0,5,46,1900
200211,0200,9999,,Albuquerque  NM MSA ,425,425,45604,0,0,0,1,3,170,15,286,12800,342,342,37704,0,0,0,1,3,170,15,286,12800
200211,0220,9999,,Alexandria  LA MSA ,31,31,3203,0,0,0,0,0,0,0,0,0,31,31,3203,0,0,0,0,0,0,0,0,0
200211,0240,9999,,Allentown-Bethlehem-Easton  PA MSA ,172,172,23196,0,0,0,0,0,0,1,152,18500,151,151,19381,0,0,0,0,0,0,1,152,18500
200211,0280,9999,,Altoona  PA MSA ,3,3,582,0,0,0,0,0,0,0,0,0,3,3,582,0,0,0,0,0,0,0,0,0
200211,0320,9999,,Amarillo  TX MSA ,37,37,6110,0,0,0,0,0,0,0,0,0,37,37,6110,0,0,0,0,0,0,0,0,0
200211,0380,9999,,Anchorage  AK MSA ,40,40,8292,21,42,6042,2,7,871,0,0,0,40,40,8292,21,42,6042,2,7,871,0,0,0
200211,0450,9999,,Anniston  AL MSA ,16,16,2292,0,0,0,0,0,0,0,0,0,1,1,114,0,0,0,0,0,0,0,0,0
200211,0460,9999,,Appleton-Oshkosh-Neenah  WI MSA ,96,96,17371,1,2,170,0,0,0,2,15,670,68,68,12239,0,0,0,0,0,0,0,0,0
200211,0480,9999,,Asheville  NC MSA ,108,108,15212,4,8,377,2,8,360,1,5,139,108,108,15212,4,8,377,2,8,360,1,5,139
200211,0500,9999,,Athens  GA MSA ,103,103,15221,6,12,831,0,0,0,0,0,0,91,91,13342,6,12,831,0,0,0,0,0,0
200211,0520,9999,,Atlanta  GA MSA ,3244,3244,364611,8,16,998,2,7,510,31,863,48913,3005,3005,337908,8,16,998,2,7,510,24,768,44816
200211,0580,9999,,Auburn-Opelika  AL MSA ,47,47,6993,1,2,106,2,8,349,6,42,2809,47,47,6993,1,2,106,2,8,349,6,42,2809
200211,0600,9999,,Augusta-Aiken  GA-SC MSA ,158,158,21532,0,0,0,0,0,0,8,192,9051,133,133,18901,0,0,0,0,0,0,8,192,9051
200211,0640,9999,,Austin-San Marcos  TX MSA ,369,369,44958,8,16,1108,0,0,0,3,118,7075,314,314,38263,8,16,1108,0,0,0,2,112,6682
200211,0680,9999,,Bakersfield  CA MSA ,248,248,32898,0,0,0,0,0,0,0,0,0,12,12,1386,0,0,0,0,0,0,0,0,0
200211,0730,9999,,Bangor  ME MSA ,15,15,1811,1,2,164,0,0,0,0,0,0,7,7,899,0,0,0,0,0,0,0,0,0
200211,0740,9999,,Barnstable-Yarmouth  MA MSA ,79,79,17914,0,0,0,0,0,0,0,0,0,47,47,9714,0,0,0,0,0,0,0,0,0
200211,0760,9999,,Baton Rouge  LA MSA ,77,77,7534,0,0,0,0,0,0,22,205,10160,69,69,6988,0,0,0,0,0,0,22,205,10160
200211,0840,9999,,Beaumont-Port Arthur  TX MSA ,23,23,2977,0,0,0,0,0,0,0,0,0,23,23,2977,0,0,0,0,0,0,0,0,0
200211,0860,9999,,Bellingham  WA MSA ,76,76,11276,1,2,209,0,0,0,2,35,1829,49,49,7162,0,0,0,0,0,0,0,0,0
200211,0870,9999,,Benton Harbor  MI MSA ,9,9,1779,0,0,0,0,0,0,0,0,0,7,7,1302,0,0,0,0,0,0,0,0,0
200211,0880,9999,,Billings  MT MSA ,31,31,3774,1,2,86,0,0,0,1,51,2612,31,31,3774,1,2,86,0,0,0,1,51,2612
200211,0920,9999,,Biloxi-Gulfport-Pascagoula  MS MSA ,121,121,13367,6,12,688,0,0,0,0,0,0,111,111,12031,6,12,688,0,0,0,0,0,0
200211,0960,9999,,Binghamton  NY MSA ,7,7,1215,0,0,0,0,0,0,0,0,0,5,5,855,0,0,0,0,0,0,0,0,0
200211,1000,9999,,Birmingham  AL MSA ,314,314,43227,0,0,0,0,0,0,2,10,390,184,184,23982,0,0,0,0,0,0,1,5,190
200211,1010,9999,,Bismarck  ND MSA ,29,29,4359,0,0,0,0,0,0,1,8,576,27,27,4178,0,0,0,0,0,0,1,8,576
200211,1020,9999,,Bloomington  IN MSA ,39,39,5758,2,4,360,1,4,319,1,5,297,37,37,5607,2,4,360,1,4,319,1,5,297
200211,1040,9999,,Bloomington-Normal  IL MSA ,42,42,4634,2,4,131,0,0,0,4,40,800,42,42,4634,2,4,131,0,0,0,4,40,800
