Survey,CSA,CBSA,HHEADER,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202501,101,10180,2,Abilene  TX ,78,78,22234,2,4,621,0,0,0,0,0,0,75,75,21569,2,4,621,0,0,0,0,0,0
202501,101,45020,5,Sweetwater  TX ,1,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,104,10580,2,Albany-Schenectady-Troy  NY ,81,81,34020,0,0,0,1,3,524,7,86,11641,45,45,22562,0,0,0,0,0,0,5,76,10652
202501,104,11220,5,Amsterdam  NY ,4,4,899,0,0,0,0,0,0,0,0,0,1,1,350,0,0,0,0,0,0,0,0,0
202501,104,24020,2,Glens Falls  NY ,10,10,3252,0,0,0,0,0,0,0,0,0,9,9,2960,0,0,0,0,0,0,0,0,0
202501,104,24100,5,Gloversville  NY ,16,16,5297,0,0,0,0,0,0,1,5,1333,13,13,4315,0,0,0,0,0,0,0,0,0
202501,104,26460,5,Hudson  NY ,9,9,4417,0,0,0,0,0,0,0,0,0,2,2,680,0,0,0,0,0,0,0,0,0
202501,105,10740,2,Albuquerque  NM ,116,116,32936,15,30,2773,0,0,0,0,0,0,92,92,25812,15,30,2773,0,0,0,0,0,0
202501,105,29780,5,Las Vegas  NM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,105,31060,5,Los Alamos  NM ,3,3,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,105,42140,2,Santa Fe  NM ,29,29,10178,0,0,0,0,0,0,0,0,0,29,29,10178,0,0,0,0,0,0,0,0,0
202501,106,10900,2,Allentown-Bethlehem-Easton  PA-NJ ,62,62,17302,7,14,2215,0,0,0,1,5,1647,27,27,8065,6,12,2140,0,0,0,0,0,0
202501,106,20700,5,East Stroudsburg  PA ,23,23,8139,0,0,0,0,0,0,0,0,0,17,17,6264,0,0,0,0,0,0,0,0,0
202501,107,11020,2,Altoona  PA ,13,13,5710,0,0,0,1,3,285,0,0,0,9,9,4725,0,0,0,0,0,0,0,0,0
202501,107,26500,5,Huntingdon  PA ,2,2,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,108,11100,2,Amarillo  TX ,42,42,12016,0,0,0,0,0,0,0,0,0,40,40,11504,0,0,0,0,0,0,0,0,0
202501,108,14420,5,Borger  TX ,1,1,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,118,11540,2,Appleton  WI ,57,57,19485,0,0,0,0,0,0,0,0,0,52,52,17843,0,0,0,0,0,0,0,0,0
202501,118,36780,2,Oshkosh-Neenah  WI ,13,13,4782,1,2,420,0,0,0,0,0,0,10,10,3751,1,2,420,0,0,0,0,0,0
202501,120,11700,2,Asheville  NC ,166,166,83696,0,0,0,0,0,0,4,128,32811,118,118,71194,0,0,0,0,0,0,3,120,30978
202501,120,14820,5,Brevard  NC ,17,17,10045,0,0,0,0,0,0,1,5,1327,0,0,0,0,0,0,0,0,0,0,0,0
202501,120,48200,5,Waynesville  NC ,24,24,9399,1,2,257,0,0,0,0,0,0,8,8,2086,0,0,0,0,0,0,0,0,0
202501,122,12020,2,Athens-Clarke County  GA ,76,76,21989,0,0,0,0,0,0,0,0,0,55,55,16050,0,0,0,0,0,0,0,0,0
202501,122,12060,2,Atlanta-Sandy Springs-Roswell  GA ,1859,1859,562637,11,22,3851,15,53,6979,76,1199,177508,1682,1682,514543,11,22,3851,14,50,6390,73,1157,169661
202501,122,15660,5,Calhoun  GA ,24,24,5005,0,0,0,0,0,0,0,0,0,14,14,2167,0,0,0,0,0,0,0,0,0
202501,122,16340,5,Cedartown  GA ,5,5,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,122,18460,5,Cornelia  GA ,24,24,7093,0,0,0,0,0,0,1,5,1476,13,13,2810,0,0,0,0,0,0,0,0,0
202501,122,23580,2,Gainesville  GA ,103,103,22242,0,0,0,1,3,234,1,5,403,46,46,9436,0,0,0,0,0,0,0,0,0
202501,122,27600,5,Jefferson  GA ,127,127,46213,0,0,0,0,0,0,1,5,870,110,110,41431,0,0,0,0,0,0,1,5,870
202501,122,29300,5,LaGrange  GA-AL ,46,46,15459,2,4,668,0,0,0,0,0,0,41,41,14481,2,4,668,0,0,0,0,0,0
202501,122,40660,2,Rome  GA ,13,13,392,0,0,0,0,0,0,0,0,0,13,13,392,0,0,0,0,0,0,0,0,0
202501,122,45580,5,Thomaston  GA ,12,12,2336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202501,132,12940,2,Baton Rouge  LA ,261,261,76536,0,0,0,0,0,0,1,12,1227,40,40,20199,0,0,0,0,0,0,0,0,0
202501,132,25220,2,Hammond  LA ,65,65,11565,0,0,0,0,0,0,1,21,1999,0,0,0,0,0,0,0,0,0,0,0,0
202501,142,13820,2,Birmingham  AL ,241,241,77317,0,0,0,0,0,0,2,20,3167,175,175,58356,0,0,0,0,0,0,0,0,0
202501,142,18980,5,Cullman  AL ,25,25,4526,0,0,0,0,0,0,0,0,0,24,24,4386,0,0,0,0,0,0,0,0,0
202501,142,45180,5,Talladega-Sylacauga  AL ,9,9,2121,0,0,0,0,0,0,0,0,0,9,9,2121,0,0,0,0,0,0,0,0,0
202501,144,13260,5,Bedford  IN ,1,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
