Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200304,1122,5400,,New Bedford  MA PMSA ,48,48,6027,0,0,0,0,0,0,0,0,0,35,35,4166,0,0,0,0,0,0,0,0,0
200304,1122,6450,,Portsmouth-Rochester  NH-ME PMSA ,104,104,18020,9,18,2026,1,3,236,2,11,745,59,59,10338,7,14,1634,0,0,0,0,0,0
200304,1122,9240,,Worcester  MA-CT PMSA ,171,171,27118,0,0,0,0,0,0,1,6,610,73,73,14275,0,0,0,0,0,0,1,6,610
200304,1240,9999,,Brownsville-Harlingen-San Benito  TX MSA ,262,262,20017,3,6,241,1,4,215,1,8,225,195,195,16463,1,2,126,1,4,215,1,8,225
200304,1260,9999,,Bryan-College Station  TX MSA ,126,126,15574,74,148,10942,0,0,0,0,0,0,126,126,15574,74,148,10942,0,0,0,0,0,0
200304,1280,9999,,Buffalo-Niagara Falls  NY MSA ,163,163,27060,1,2,200,2,8,729,0,0,0,119,119,19943,1,2,200,2,8,729,0,0,0
200304,1305,9999,,Burlington  VT MSA ,39,39,5927,1,2,109,1,3,180,2,11,636,23,23,3071,0,0,0,0,0,0,1,6,416
200304,1320,9999,,Canton-Massillon  OH MSA ,129,129,25173,3,6,464,0,0,0,0,0,0,116,116,23753,0,0,0,0,0,0,0,0,0
200304,1350,9999,,Casper  WY MSA ,14,14,2431,0,0,0,0,0,0,0,0,0,11,11,1809,0,0,0,0,0,0,0,0,0
200304,1360,9999,,Cedar Rapids  IA MSA ,103,103,11334,5,10,980,0,0,0,0,0,0,99,99,10907,5,10,980,0,0,0,0,0,0
200304,1400,9999,,Champaign-Urbana  IL MSA ,61,61,9574,1,2,231,0,0,0,2,16,781,61,61,9574,1,2,231,0,0,0,2,16,781
200304,1440,9999,,Charleston-North Charleston  SC MSA ,464,464,72837,14,28,1978,1,3,231,2,32,2347,204,204,31760,13,26,1754,0,0,0,0,0,0
200304,1480,9999,,Charleston  WV MSA ,22,22,2995,0,0,0,0,0,0,0,0,0,22,22,2995,0,0,0,0,0,0,0,0,0
200304,1520,9999,,Charlotte-Gastonia-Rock Hill  NC-SC MSA ,1620,1620,219344,4,8,498,4,16,1388,15,92,6520,1492,1492,202318,2,4,277,4,16,1388,14,87,6147
