Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201005,216,19740,C,Denver-Aurora-Broomfield  CO ,288,288,70035,8,16,2245,2,6,456,1,8,816,245,245,58216,8,16,2245,2,6,456,1,8,816
201005,216,24540,C,Greeley  CO ,76,76,16437,0,0,0,0,0,0,1,5,145,56,56,11403,0,0,0,0,0,0,0,0,0
201005,218,19780,C,Des Moines-West Des Moines  IA ,175,175,37971,2,4,410,4,16,2367,0,0,0,172,172,37475,2,4,410,4,16,2367,0,0,0
201005,220,11460, ,Ann Arbor  MI ,27,27,3965,0,0,0,0,0,0,1,5,302,17,17,2373,0,0,0,0,0,0,0,0,0
201005,220,19820,C,Detroit-Warren-Livonia  MI ,159,159,36577,6,12,1128,10,40,3702,0,0,0,136,136,29589,6,12,1128,9,36,3384,0,0,0
201005,220,22420, ,Flint  MI ,2,2,216,0,0,0,0,0,0,0,0,0,2,2,216,0,0,0,0,0,0,0,0,0
201005,220,33780, ,Monroe  MI ,4,4,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201005,222,20020, ,Dothan  AL ,11,11,2222,0,0,0,0,0,0,0,0,0,11,11,2222,0,0,0,0,0,0,0,0,0
201005,232,20740, ,Eau Claire  WI ,31,31,6326,3,6,750,1,4,190,0,0,0,31,31,6326,3,6,750,1,4,190,0,0,0
201005,244,22020, ,Fargo  ND-MN ,94,94,14373,0,0,0,0,0,0,1,12,650,94,94,14373,0,0,0,0,0,0,1,12,650
201005,252,22540, ,Fond du Lac  WI ,10,10,1769,0,0,0,0,0,0,0,0,0,9,9,1551,0,0,0,0,0,0,0,0,0
201005,258,23060,C,Fort Wayne  IN ,54,54,12980,0,0,0,0,0,0,2,14,400,54,54,12980,0,0,0,0,0,0,2,14,400
201005,260,23420, ,Fresno  CA ,138,138,22422,0,0,0,1,3,215,0,0,0,31,31,6912,0,0,0,0,0,0,0,0,0
201005,260,31460, ,Madera-Chowchilla  CA ,7,7,3053,0,0,0,0,0,0,0,0,0,7,7,3053,0,0,0,0,0,0,0,0,0
201005,266,24340,C,Grand Rapids-Wyoming  MI ,83,83,12431,0,0,0,0,0,0,0,0,0,61,61,9912,0,0,0,0,0,0,0,0,0
201005,266,26100, ,Holland-Grand Haven  MI ,25,25,4197,0,0,0,0,0,0,1,5,437,18,18,2604,0,0,0,0,0,0,0,0,0
201005,266,34740, ,Muskegon-Norton Shores  MI ,5,5,797,1,2,240,0,0,0,0,0,0,5,5,797,1,2,240,0,0,0,0,0,0
201005,268,15500, ,Burlington  NC ,49,49,7693,0,0,0,1,4,463,11,277,11994,49,49,7693,0,0,0,1,4,463,11,277,11994
201005,268,24660,C,Greensboro-High Point  NC ,104,104,18529,0,0,0,1,4,634,1,7,338,72,72,11106,0,0,0,1,4,634,1,7,338
201005,268,49180, ,Winston-Salem  NC ,52,52,7622,0,0,0,0,0,0,9,80,3210,52,52,7622,0,0,0,0,0,0,9,80,3210
201005,273,11340, ,Anderson  SC ,21,21,3536,0,0,0,0,0,0,0,0,0,21,21,3536,0,0,0,0,0,0,0,0,0
201005,273,24860,C,Greenville-Maudlin-Easley  SC ,128,128,30512,0,0,0,0,0,0,0,0,0,125,125,30077,0,0,0,0,0,0,0,0,0
201005,273,43900, ,Spartanburg  SC ,48,48,5221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201005,274,25060, ,Gulfport-Biloxi  MS ,87,87,12451,3,6,550,0,0,0,2,26,3921,81,81,11782,2,4,305,0,0,0,2,26,3921
201005,274,37700, ,Pascagoula  MS ,21,21,3226,0,0,0,0,0,0,0,0,0,21,21,3226,0,0,0,0,0,0,0,0,0
201005,276,25420, ,Harrisburg-Carlisle  PA ,48,48,9780,0,0,0,0,0,0,1,16,900,41,41,8268,0,0,0,0,0,0,1,16,900
201005,276,30140, ,Lebanon  PA ,18,18,2755,0,0,0,0,0,0,0,0,0,12,12,1888,0,0,0,0,0,0,0,0,0
201005,278,25540, ,Hartford-West Hartford-East Hartford  CT ,79,79,16024,0,0,0,0,0,0,2,15,840,63,63,13319,0,0,0,0,0,0,1,10,775
201005,288,26420,C,Houston-Sugar Land-Baytown  TX ,2126,2126,389119,1,2,221,0,0,0,16,390,26768,2035,2035,373278,1,2,221,0,0,0,13,368,25641
201005,290,19460, ,Decatur  AL ,5,5,904,0,0,0,0,0,0,0,0,0,5,5,904,0,0,0,0,0,0,0,0,0
201005,290,26620, ,Huntsville  AL ,183,183,29038,0,0,0,0,0,0,0,0,0,183,183,29038,0,0,0,0,0,0,0,0,0
201005,292,26820, ,Idaho Falls  ID ,30,30,4071,0,0,0,0,0,0,0,0,0,30,30,4071,0,0,0,0,0,0,0,0,0
201005,294,11300, ,Anderson  IN ,5,5,1540,0,0,0,0,0,0,0,0,0,3,3,1022,0,0,0,0,0,0,0,0,0
201005,294,18020, ,Columbus  IN ,7,7,1317,0,0,0,0,0,0,0,0,0,7,7,1317,0,0,0,0,0,0,0,0,0
201005,294,26900,C,Indianapolis-Carmel  IN ,354,354,64598,1,2,239,1,3,0,4,65,5363,335,335,61705,1,2,239,0,0,0,4,65,5363
201005,296,27060, ,Ithaca  NY ,5,5,1126,1,2,150,0,0,0,0,0,0,3,3,508,1,2,150,0,0,0,0,0,0
201005,297,27180, ,Jackson  TN ,20,20,3180,0,0,0,0,0,0,0,0,0,20,20,3180,0,0,0,0,0,0,0,0,0
201005,298,27140, ,Jackson  MS ,130,130,25636,0,0,0,0,0,0,0,0,0,126,126,25200,0,0,0,0,0,0,0,0,0
201005,304,27740, ,Johnson City  TN ,82,82,6491,0,0,0,0,0,0,0,0,0,82,82,6491,0,0,0,0,0,0,0,0,0
201005,304,28700, ,Kingsport-Bristol-Bristol  TN-VA ,33,33,5105,2,4,317,0,0,0,0,0,0,14,14,2238,2,4,317,0,0,0,0,0,0
201005,308,27860, ,Jonesboro  AR ,58,58,4891,0,0,0,0,0,0,0,0,0,56,56,4729,0,0,0,0,0,0,0,0,0
201005,312,28140,C,Kansas City  MO-KS ,183,183,38319,1,2,248,3,11,716,0,0,0,127,127,25947,0,0,0,2,8,371,0,0,0
201005,314,28940, ,Knoxville  TN ,89,89,13710,0,0,0,0,0,0,4,150,10414,89,89,13710,0,0,0,0,0,0,4,150,10414
201005,314,34100, ,Morristown  TN ,21,21,3091,0,0,0,0,0,0,0,0,0,18,18,2785,0,0,0,0,0,0,0,0,0
201005,316,29020, ,Kokomo  IN ,2,2,376,0,0,0,0,0,0,0,0,0,2,2,376,0,0,0,0,0,0,0,0,0
201005,318,29180, ,Lafayette  LA ,41,41,6136,0,0,0,0,0,0,1,5,244,10,10,2043,0,0,0,0,0,0,0,0,0
201005,320,29140, ,Lafayette  IN ,27,27,4712,0,0,0,0,0,0,0,0,0,27,27,4712,0,0,0,0,0,0,0,0,0
201005,324,29340, ,Lake Charles  LA ,47,47,8454,5,10,581,0,0,0,0,0,0,39,39,7032,5,10,581,0,0,0,0,0,0
201005,330,29620, ,Lansing-East Lansing  MI ,18,18,4109,0,0,0,0,0,0,0,0,0,13,13,3122,0,0,0,0,0,0,0,0,0
201005,332,29820,C,Las Vegas-Paradise  NV ,412,412,54934,0,0,0,6,18,1566,0,0,0,411,411,54641,0,0,0,6,18,1566,0,0,0
201005,336,30460, ,Lexington-Fayette  KY ,77,77,12573,0,0,0,0,0,0,0,0,0,73,73,11780,0,0,0,0,0,0,0,0,0
201005,338,30620, ,Lima  OH ,2,2,472,0,0,0,8,32,1200,0,0,0,1,1,284,0,0,0,8,32,1200,0,0,0
201005,340,30780, ,Little Rock-North Little Rock-Conway  AR ,135,135,22610,8,16,1596,0,0,0,3,66,3480,128,128,22007,8,16,1596,0,0,0,3,66,3480
201005,340,38220, ,Pine Bluff  AR ,5,5,311,0,0,0,0,0,0,4,48,2100,5,5,311,0,0,0,0,0,0,4,48,2100
201005,346,30980, ,Longview  TX ,13,13,2364,0,0,0,0,0,0,6,60,4500,13,13,2364,0,0,0,0,0,0,6,60,4500
201005,348,31100,C,Los Angeles-Long Beach-Santa Ana  CA ,301,301,104645,15,30,5740,10,33,5265,19,248,39353,246,246,83652,15,30,5740,9,30,4970,15,213,33384
201005,348,37100, ,Oxnard-Thousand Oaks-Ventura  CA ,23,23,7029,0,0,0,0,0,0,1,5,537,14,14,4273,0,0,0,0,0,0,0,0,0
201005,348,40140,C,Riverside-San Bernardino-Ontario  CA ,326,326,74998,0,0,0,0,0,0,2,10,894,299,299,70327,0,0,0,0,0,0,0,0,0
201005,350,21060, ,Elizabethtown  KY ,17,17,2780,2,4,280,0,0,0,0,0,0,3,3,699,2,4,280,0,0,0,0,0,0
201005,350,31140,C,Louisville-Jefferson County  KY-IN ,195,195,33204,1,2,300,0,0,0,1,5,202,95,95,16318,1,2,300,0,0,0,0,0,0
201005,352,31180, ,Lubbock  TX ,57,57,12750,0,0,0,0,0,0,0,0,0,57,57,12750,0,0,0,0,0,0,0,0,0
201005,356,31420, ,Macon  GA ,10,10,1341,0,0,0,0,0,0,0,0,0,10,10,1341,0,0,0,0,0,0,0,0,0
201005,356,47580, ,Warner Robins  GA ,45,45,7451,0,0,0,0,0,0,0,0,0,45,45,7451,0,0,0,0,0,0,0,0,0
201005,358,31540,C,Madison  WI ,82,82,16010,3,6,990,2,6,722,3,49,5013,55,55,10378,3,6,990,1,3,450,0,0,0
201005,360,31900, ,Mansfield  OH ,4,4,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201005,372,33260,C,Midland  TX ,37,37,5364,0,0,0,0,0,0,0,0,0,37,37,5364,0,0,0,0,0,0,0,0,0
201005,372,36220,C,Odessa  TX ,19,19,3298,0,0,0,0,0,0,0,0,0,19,19,3298,0,0,0,0,0,0,0,0,0
201005,376,33340,C,Milwaukee-Waukesha-West Allis  WI ,113,113,27851,10,20,2180,0,0,0,0,0,0,100,100,22512,10,20,2180,0,0,0,0,0,0
201005,376,39540, ,Racine  WI ,13,13,2983,0,0,0,0,0,0,0,0,0,13,13,2983,0,0,0,0,0,0,0,0,0
201005,378,33460,C,Minneapolis-St. Paul-Bloomington  MN-WI ,350,350,90730,0,0,0,0,0,0,5,117,12768,323,323,85177,0,0,0,0,0,0,4,109,11393
201005,378,41060, ,St. Cloud  MN ,21,21,3462,0,0,0,0,0,0,1,6,421,11,11,1741,0,0,0,0,0,0,0,0,0
201005,380,33660, ,Mobile  AL ,51,51,8599,0,0,0,0,0,0,0,0,0,49,49,8216,0,0,0,0,0,0,0,0,0
201005,384,33740, ,Monroe  LA ,14,14,2364,0,0,0,0,0,0,0,0,0,1,1,130,0,0,0,0,0,0,0,0,0
201005,388,33860, ,Montgomery  AL ,46,46,6419,0,0,0,0,0,0,1,5,122,39,39,5684,0,0,0,0,0,0,0,0,0
201005,396,34820, ,Myrtle Beach-North Myrtle Beach-Conway  SC ,106,106,15757,0,0,0,0,0,0,1,13,2897,97,97,13465,0,0,0,0,0,0,0,0,0
201005,400,34980,C,Nashville-Davidson--Murfreesboro-Franklin  TN ,275,275,55488,1,2,122,0,0,0,2,16,400,238,238,46711,1,2,122,0,0,0,2,16,400
201005,406,35380,C,New Orleans-Metairie-Kenner  LA ,119,119,23153,4,8,869,0,0,0,0,0,0,117,117,22771,4,8,869,0,0,0,0,0,0
201005,408,14860, ,Bridgeport-Stamford-Norwalk  CT ,48,48,21773,1,2,272,3,10,1139,0,0,0,39,39,12602,1,2,272,3,10,1139,0,0,0
201005,408,28740, ,Kingston  NY ,10,10,1631,0,0,0,0,0,0,0,0,0,8,8,1272,0,0,0,0,0,0,0,0,0
201005,408,35300, ,New Haven-Milford  CT ,26,26,3431,1,2,70,0,0,0,1,5,385,21,21,2735,1,2,70,0,0,0,0,0,0
201005,408,35620,C,New York-Northern New Jersey-Long Island  NY-NJ-PA ,600,600,150821,46,92,9372,23,76,6848,26,584,64472,403,403,97789,42,84,8788,21,70,5964,17,536,59091
201005,408,39100, ,Poughkeepsie-Newburgh-Middletown  NY ,53,53,5328,0,0,0,0,0,0,1,6,664,41,41,3397,0,0,0,0,0,0,0,0,0
201005,408,45940,C,Trenton-Ewing  NJ ,13,13,3326,0,0,0,0,0,0,0,0,0,3,3,525,0,0,0,0,0,0,0,0,0
201005,416,36420,C,Oklahoma City  OK ,233,233,40159,0,0,0,0,0,0,1,5,285,94,94,18873,0,0,0,0,0,0,0,0,0
201005,420,36540,C,Omaha-Council Bluffs  NE-IA ,196,196,30326,1,2,228,0,0,0,0,0,0,175,175,26494,1,2,228,0,0,0,0,0,0
