target_name,fold_id,solver_name,convergence_info_code,converged,iterations,maxiter,requested_tolerance,achieved_absolute_residual,achieved_relative_residual,rhs_norm,solution_norm,maximum_absolute_solution_entry,riesz_ridge,scaling_value,cached_scale,elapsed_seconds,contains_nonfinite
asinh_permits_mean,0,scipy.sparse.linalg.cg,0,True,732,2000,1e-05,8.7278087985461e-08,8.642433896326132e-06,0.010098785716204622,1.3973685087330048,0.01573213118896525,1e-05,326.5659492403002,False,0.7548531999345869,False
asinh_permits_mean,1,scipy.sparse.linalg.cg,0,True,567,2000,1e-05,8.726302515209804e-08,8.640914991257144e-06,0.010098817687755354,1.421723530839077,0.015810294121352573,1e-05,330.399059744407,False,0.5924026999855414,False
asinh_permits_mean,2,scipy.sparse.linalg.cg,0,True,658,2000,1e-05,9.894643183560674e-08,9.797845650220047e-06,0.010098794711405209,1.3710978901591195,0.015543811371090259,1e-05,331.4174863215181,False,0.7167558999499306,False
asinh_permits_mean,3,scipy.sparse.linalg.cg,0,True,550,2000,1e-05,8.072870982633838e-08,7.993869296247764e-06,0.010098827843511472,1.4062068208021203,0.015621094159854238,1e-05,334.22510300386244,False,0.590295200003311,False
asinh_permits_mean,4,scipy.sparse.linalg.cg,0,True,634,2000,1e-05,6.562273999527364e-08,6.49806497633391e-06,0.01009881252869478,1.4162371831722829,0.015857190864343403,1e-05,331.5717125409598,False,0.6992695000953972,False
asinh_permits_mean,5,scipy.sparse.linalg.cg,0,True,521,2000,1e-05,5.912038588318036e-08,5.854194431306359e-06,0.010098808055814383,1.4237137409846612,0.01579667238272274,1e-05,330.0311745789464,False,0.6001457999227569,False
asinh_permits_mean,6,scipy.sparse.linalg.cg,0,True,536,2000,1e-05,8.382413673063535e-08,8.300416331078928e-06,0.010098787023100983,1.3844584804823648,0.01579505177818179,1e-05,330.2070239852344,False,0.5446752000134438,False
asinh_permits_mean,7,scipy.sparse.linalg.cg,0,True,594,2000,1e-05,8.816154426862668e-08,8.729892695289894e-06,0.01009881190363235,1.416255467516986,0.015853747655852027,1e-05,332.26363062901754,False,0.6399078000104055,False
asinh_permits_mean,8,scipy.sparse.linalg.cg,0,True,533,2000,1e-05,9.61902601730826e-08,9.524905262673302e-06,0.010098815423397231,1.4378077466838426,0.0160502090798273,1e-05,326.416964622167,False,0.5584133999655023,False
asinh_permits_mean,9,scipy.sparse.linalg.cg,0,True,500,2000,1e-05,8.648359870171985e-08,8.563744203372246e-06,0.010098806859231525,1.4234242621924944,0.01584608040589259,1e-05,329.89277740356044,False,0.48702440003398806,False
lag_log_zhvi_mean,0,scipy.sparse.linalg.cg,0,True,626,2000,1e-05,8.56269373661413e-08,8.476634329982072e-06,0.010101525444276466,1.4828421568977055,0.01675776808857945,1e-05,325.17109979106493,False,0.9729392000008374,False
lag_log_zhvi_mean,1,scipy.sparse.linalg.cg,0,True,491,2000,1e-05,8.945065434921351e-08,8.855162999488046e-06,0.010101525443900358,1.507941227838273,0.0167048234572018,1e-05,329.43728217254215,False,0.5223150999518111,False
lag_log_zhvi_mean,2,scipy.sparse.linalg.cg,0,True,645,2000,1e-05,8.692450231536954e-08,8.605086706620352e-06,0.010101525444071807,1.4533089671849109,0.016145439895032584,1e-05,330.43280858757856,False,0.6723168999888003,False
lag_log_zhvi_mean,3,scipy.sparse.linalg.cg,0,True,539,2000,1e-05,9.504637145327746e-08,9.409110731096155e-06,0.010101525443755154,1.4922938757426765,0.01662617749338292,1e-05,333.0982748470902,False,0.5351131999632344,False
lag_log_zhvi_mean,4,scipy.sparse.linalg.cg,0,True,620,2000,1e-05,9.193923887194602e-08,9.10152029870225e-06,0.010101525443508078,1.5031927579716735,0.016671866464155426,1e-05,330.37707587357755,False,0.6854823000030592,False
lag_log_zhvi_mean,5,scipy.sparse.linalg.cg,0,True,457,2000,1e-05,6.50302439005465e-08,6.437665703451024e-06,0.010101525443560373,1.5098364131236393,0.016771435023098403,1e-05,329.13788328497895,False,0.49423599999863654,False
lag_log_zhvi_mean,6,scipy.sparse.linalg.cg,0,True,528,2000,1e-05,9.676226490762387e-08,9.578975516398592e-06,0.010101525444132628,1.4679124248615578,0.016445959401695315,1e-05,329.16054029210244,False,0.6415815999498591,False
lag_log_zhvi_mean,7,scipy.sparse.linalg.cg,0,True,510,2000,1e-05,9.66315000564214e-08,9.566030456810198e-06,0.010101525443882316,1.501613077478456,0.016611464529516815,1e-05,331.4136391262415,False,0.5518243999686092,False
lag_log_zhvi_mean,8,scipy.sparse.linalg.cg,0,True,521,2000,1e-05,8.770083411959148e-08,8.68193963474087e-06,0.010101525443537488,1.5266452495655658,0.017021524140821025,1e-05,325.1482102256242,False,0.5555305999005213,False
lag_log_zhvi_mean,9,scipy.sparse.linalg.cg,0,True,555,2000,1e-05,8.119315583571623e-08,8.037712352094473e-06,0.010101525443935408,1.5103268372635754,0.0167690263586623,1e-05,328.8139186999042,False,0.5562731000827625,False
